ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
EEM,2026-03-23 17:47:26.004383+00:00,CALL,58.0,2026-06-18,123320,423,532,54002,57.11,REPEATEDHITSDESCENDINGFILL,False,False,52852,70468,87,BID,SHORT,0.5
SLB,2026-03-23 17:47:21.198709+00:00,CALL,60.0,2027-01-15,234723,652,1128,4963,49.43,REPEATEDHITSDESCENDINGFILL,False,False,0,234723,298,BID,SHORT,0.5
IREN,2026-03-23 17:47:21.198709+00:00,CALL,60.0,2026-10-16,33880,49,64,225,41.45,REPEATEDHITSASCENDINGFILL,False,False,4865,29015,207,BID,SHORT,0.5
CHRW,2026-03-23 17:47:16.793335+00:00,CALL,195.0,2026-04-17,10320,258,5113,303,169.66,REPEATEDHITS,False,False,0,10320,25,BID,SHORT,0.5
ADBE,2026-03-23 17:47:09.986458+00:00,PUT,270.0,2026-04-10,77854,34,35,43,248.27,REPEATEDHITS,True,False,77854,0,18,ASK,SHORT,1.0
BE,2026-03-23 17:47:09.986458+00:00,PUT,120.0,2026-07-17,33360,16,43,547,143.69,REPEATEDHITS,True,False,33360,0,116,ASK,SHORT,1.0
USAR,2026-03-23 17:47:03.980084+00:00,PUT,19.0,2026-03-27,33919,160,322,325,17.11,REPEATEDHITSDESCENDINGFILL,False,False,0,33919,4,BID,LONG,0.5
COP,2026-03-23 17:46:56.773660+00:00,CALL,110.0,2026-05-15,52920,27,55,2849,127.85,REPEATEDHITS,True,False,0,52920,53,BID,SHORT,0.5
ONDS,2026-03-23 17:46:50.566149+00:00,PUT,5.0,2026-09-18,13800,300,922,659,10.605,REPEATEDHITS,False,False,13800,0,179,ASK,SHORT,1.0
PLTR,2026-03-23 17:46:50.566149+00:00,CALL,280.0,2026-09-18,52750,250,610,2413,158.31,REPEATEDHITS,False,False,0,52750,179,BID,SHORT,0.5
GLD,2026-03-23 17:46:32.952950+00:00,CALL,470.0,2026-09-18,50880,32,106,29023,405.91,REPEATEDHITS,False,False,0,50880,179,BID,SHORT,0.5
RGTI,2026-03-23 17:46:29.143459+00:00,PUT,15.0,2026-03-27,10248,244,1436,452,15.505,REPEATEDHITS,False,False,10248,0,4,ASK,SHORT,1.0
IWM,2026-03-23 17:46:29.143459+00:00,PUT,190.0,2026-06-18,208330,1255,1333,47211,248.51,REPEATEDHITS,False,False,0,208330,87,BID,LONG,0.5
ADBE,2026-03-23 17:46:20.937261+00:00,PUT,245.0,2026-04-10,185905,286,289,39,248.47,REPEATEDHITS,False,False,0,185905,18,BID,LONG,0.5
VRT,2026-03-23 17:46:10.929478+00:00,PUT,247.5,2026-04-17,224400,170,171,0,255.235,REPEATEDHITS,False,False,1320,223080,25,BID,LONG,0.5
QLD,2026-03-23 17:46:10.929478+00:00,CALL,69.0,2027-01-15,200030,241,242,2,63.63,REPEATEDHITS,False,False,0,200030,298,BID,SHORT,0.5
SLV,2026-03-23 17:46:00.320938+00:00,CALL,63.0,2026-03-23,12950,350,12033,1402,62.9097,REPEATEDHITS,False,False,12950,0,0,ASK,LONG,1.0
SMCI,2026-03-23 17:46:00.320938+00:00,CALL,30.0,2026-04-17,10200,600,3795,2073,21.9299,REPEATEDHITS,False,False,10200,0,25,ASK,LONG,1.0
SPY,2026-03-23 17:45:56.117062+00:00,PUT,635.0,2026-03-31,341730,1000,6216,13208,656.63,REPEATEDHITSASCENDINGFILL,False,False,341730,0,8,ASK,SHORT,1.0
SPY,2026-03-23 17:45:48.301208+00:00,CALL,680.0,2026-04-17,110500,250,9630,15771,656.67,REPEATEDHITS,False,False,110500,0,25,ASK,LONG,1.0
BABA,2026-03-23 17:45:48.301208+00:00,PUT,80.0,2028-06-16,54381,77,77,30,125.4425,REPEATEDHITSDESCENDINGFILL,False,False,0,54381,816,BID,LONG,0.5
CMI,2026-03-23 17:45:40.292212+00:00,PUT,550.0,2026-04-17,170850,85,101,181,547.82,REPEATEDHITS,False,False,170850,0,25,ASK,SHORT,1.0
NVDA,2026-03-23 17:45:34.276930+00:00,PUT,167.5,2026-03-27,105300,1350,8603,26892,175.875,REPEATEDHITS,False,False,0,105300,4,BID,LONG,0.5
SLV,2026-03-23 17:45:27.666486+00:00,CALL,65.0,2026-07-17,31395,39,1317,3923,62.95,REPEATEDHITS,False,False,31395,0,116,ASK,LONG,1.0
SLV,2026-03-23 17:45:27.666486+00:00,CALL,65.0,2026-04-17,13125,35,3319,26752,62.93,REPEATEDHITS,False,False,13125,0,25,ASK,LONG,1.0
KNX,2026-03-23 17:45:14.054209+00:00,PUT,50.0,2027-01-15,27441,49,457,100,54.5,REPEATEDHITS,False,False,0,27441,298,BID,LONG,0.5
CVNA,2026-03-23 17:45:14.054209+00:00,PUT,307.5,2026-03-27,18265,13,213,34,300.4339,REPEATEDHITS,True,False,16860,1405,4,ASK,SHORT,1.0
SPY,2026-03-23 17:45:08.248569+00:00,PUT,655.0,2026-03-24,153087,505,38155,1728,656.94,REPEATEDHITSDESCENDINGFILL,False,False,0,149439,1,BID,LONG,0.5
SLV,2026-03-23 17:45:05.043775+00:00,CALL,65.0,2026-06-18,30315,43,2190,22555,62.91,REPEATEDHITS,False,False,2115,6345,87,BID,SHORT,0.5
NVDA,2026-03-23 17:45:02.430009+00:00,CALL,215.0,2026-09-18,314505,385,490,1570,175.815,REPEATEDHITSASCENDINGFILL,False,False,99796,214709,179,BID,SHORT,0.5
QQQ,2026-03-23 17:44:53.414245+00:00,CALL,561.0,2026-04-02,103983,33,37,16,588.53,REPEATEDHITS,False,False,103983,0,10,ASK,LONG,1.0
IREN,2026-03-23 17:44:43.402630+00:00,CALL,70.0,2026-05-15,13284,162,250,7273,41.58,REPEATEDHITS,True,False,0,11480,53,BID,SHORT,0.5
UPST,2026-03-23 17:44:34.579519+00:00,CALL,28.5,2026-04-17,10899,50,62,0,28.0,REPEATEDHITS,False,False,10682,0,25,ASK,LONG,1.0
COIN,2026-03-23 17:44:34.579519+00:00,CALL,215.0,2026-03-27,37056,192,2287,15895,200.295,REPEATEDHITS,False,False,37056,0,4,ASK,LONG,1.0
GME,2026-03-23 17:44:14.160347+00:00,PUT,23.0,2026-03-27,11786,142,1818,6638,23.01,REPEATEDHITS,False,False,11786,0,4,ASK,SHORT,1.0
XYZ,2026-03-23 17:44:06.352426+00:00,CALL,62.0,2026-04-10,60452,238,648,88,61.21,REPEATEDHITS,False,False,0,60452,18,BID,SHORT,0.5
IWM,2026-03-23 17:44:06.352426+00:00,PUT,240.0,2026-03-31,642096,2744,20911,18424,248.67,REPEATEDHITS,False,False,0,642096,8,BID,LONG,0.5
