ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
CORZ,2026-03-26 14:59:04.393709+00:00,CALL,16.0,2026-04-10,13596,100,100,210,16.0,REPEATEDHITS,False,False,0,13596,15,BID,SHORT,0.5
GLD,2026-03-26 14:59:04.393709+00:00,CALL,420.0,2026-03-31,13770,34,80,1219,410.0,REPEATEDHITS,False,False,13770,0,5,ASK,LONG,1.0
VIAV,2026-03-26 14:58:59.188305+00:00,CALL,35.0,2026-09-18,23004,30,32,4176,35.0,REPEATEDHITSDESCENDINGFILL,False,False,0,23004,176,BID,SHORT,0.5
PLTR,2026-03-26 14:58:54.982380+00:00,PUT,155.0,2026-04-02,77120,100,1542,1799,149.0,REPEATEDHITS,False,False,0,77120,7,BID,LONG,0.5
AMZN,2026-03-26 14:58:50.777430+00:00,CALL,340.0,2028-01-21,370234,251,252,5286,212.0,REPEATEDHITS,False,False,38350,331884,666,BID,SHORT,0.5
LRCX,2026-03-26 14:58:44.771943+00:00,PUT,135.0,2026-05-15,839136,5000,5000,36,214.0,REPEATEDHITSDESCENDINGFILL,False,False,0,839136,50,BID,LONG,0.5
MU,2026-03-26 14:58:39.962030+00:00,CALL,500.0,2026-05-15,57389,132,1051,4486,362.0,REPEATEDHITSASCENDINGFILL,False,False,57389,0,50,ASK,LONG,1.0
GME,2026-03-26 14:58:39.962030+00:00,CALL,23.0,2026-04-10,113640,1894,2084,499,22.0,REPEATEDHITS,False,False,113640,0,15,ASK,LONG,1.0
SPY,2026-03-26 14:58:39.962030+00:00,CALL,657.0,2026-03-26,179335,6184,76876,5162,651.0,REPEATEDHITSASCENDINGFILL,True,False,179307,28,0,ASK,LONG,1.0
SPY,2026-03-26 14:58:39.962030+00:00,CALL,657.0,2026-03-26,107100,3825,70692,5162,651.0,REPEATEDHITS,False,False,107100,0,0,ASK,LONG,1.0
ONDS,2026-03-26 14:58:29.752941+00:00,CALL,18.0,2026-09-18,10243,95,913,7279,9.0,REPEATEDHITS,False,False,10243,0,176,ASK,LONG,1.0
QQQ,2026-03-26 14:58:29.752941+00:00,PUT,576.0,2026-03-26,178976,5593,37970,2330,581.0,REPEATEDHITS,False,False,178976,0,0,ASK,SHORT,1.0
IWM,2026-03-26 14:58:18.744525+00:00,CALL,250.0,2026-03-26,147174,1488,15315,1173,249.0,REPEATEDHITSASCENDINGFILL,True,False,85596,0,0,ASK,LONG,1.0
IONQ,2026-03-26 14:58:18.744525+00:00,CALL,35.0,2026-06-18,36500,100,147,3639,30.0,REPEATEDHITS,False,False,36500,0,84,ASK,LONG,1.0
SPY,2026-03-26 14:58:06.934536+00:00,PUT,605.0,2026-05-15,173197,209,420,28435,652.0,REPEATEDHITSDESCENDINGFILL,False,False,120205,52992,50,ASK,SHORT,1.0
QQQ,2026-03-26 14:58:06.934536+00:00,CALL,585.0,2026-08-21,133518,34,115,1066,581.0,REPEATEDHITS,False,False,133518,0,148,ASK,LONG,1.0
IGV,2026-03-26 14:58:03.129959+00:00,CALL,81.0,2026-04-02,16635,100,1115,154,80.0,REPEATEDHITSASCENDINGFILL,False,False,16635,0,7,ASK,LONG,1.0
ADBE,2026-03-26 14:57:55.923561+00:00,CALL,270.0,2026-06-18,50475,48,80,1332,243.0,REPEATEDHITSASCENDINGFILL,True,False,20020,30455,84,BID,SHORT,0.5
LUNR,2026-03-26 14:57:44.513770+00:00,CALL,19.5,2026-03-27,38590,702,733,1402,19.0,REPEATEDHITSASCENDINGFILL,False,False,4125,34410,1,BID,SHORT,0.5
