ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
MSTR,2026-03-26 18:42:23.904166+00:00,CALL,149.0,2026-04-17,16920,47,102,0,133.59,REPEATEDHITS,False,False,16920,0,43702466282.0,22,ASK,LONG,1.0
COHR,2026-03-26 18:42:21.500178+00:00,PUT,240.0,2027-01-15,264800,40,40,41,246.225,REPEATEDHITS,False,False,6620,258180,51002563018.0,295,BID,LONG,0.5
XLE,2026-03-26 18:42:17.095550+00:00,CALL,60.0,2026-03-27,16988,100,1194,3260,61.645,REPEATEDHITSASCENDINGFILL,False,False,0,16988,60.571127,1,BID,SHORT,0.5
XLE,2026-03-26 18:42:08.286098+00:00,CALL,62.5,2026-04-17,13524,92,496,49669,61.64,REPEATEDHITS,False,False,13524,0,60.571127,22,ASK,LONG,1.0
SLV,2026-03-26 18:42:08.286098+00:00,CALL,61.0,2026-04-24,17640,36,65,111,61.16,REPEATEDHITS,False,False,17150,0,36481492373.0,29,ASK,LONG,1.0
DIA,2026-03-26 18:42:01.277923+00:00,PUT,416.0,2026-09-30,14400,12,419,540,460.36,REPEATEDHITS,False,False,13200,1200,464.152332,188,ASK,SHORT,1.0
ARM,2026-03-26 18:42:01.277923+00:00,PUT,150.0,2026-04-17,106470,169,922,2343,155.66,REPEATEDHITS,False,False,106470,0,165946612828.0,22,ASK,SHORT,1.0
ORCL,2026-03-26 18:42:01.277923+00:00,CALL,170.0,2026-04-17,124200,1800,2393,10813,143.425,REPEATEDHITS,True,False,106743,0,419960236920.0,22,ASK,LONG,1.0
QQQ,2026-03-26 18:42:01.277923+00:00,PUT,574.0,2026-03-27,506302,1973,18999,4403,575.69,REPEATEDHITSASCENDINGFILL,False,False,437932,47730,379308098817.0,1,ASK,SHORT,1.0
QQQ,2026-03-26 18:41:55.271852+00:00,PUT,564.0,2026-03-27,281994,6558,10148,1449,575.78,REPEATEDHITS,False,False,0,281994,379308098817.0,1,BID,LONG,0.5
ARM,2026-03-26 18:41:52.464701+00:00,PUT,152.5,2026-04-17,78645,107,204,0,155.7,REPEATEDHITS,True,False,0,78645,165946612828.0,22,BID,LONG,0.5
HOOD,2026-03-26 18:41:52.464701+00:00,PUT,47.0,2026-06-18,76302,486,711,874,70.28,REPEATEDHITS,False,False,0,76302,57310564601.0,84,BID,LONG,0.5
CAR,2026-03-26 18:41:52.464701+00:00,PUT,110.0,2026-09-18,17820,18,18,40,144.945,REPEATEDHITS,False,False,4950,12870,4356559041.0,176,BID,LONG,0.5
SOFI,2026-03-26 18:41:52.464701+00:00,PUT,15.0,2026-04-17,11222,181,4482,18839,15.96,REPEATEDHITS,False,False,0,11222,21118369356.0,22,BID,LONG,0.5
UAL,2026-03-26 18:41:44.647205+00:00,CALL,100.0,2026-04-17,16560,46,446,13200,93.165,REPEATEDHITS,False,False,16560,0,30062857446.0,22,ASK,LONG,1.0
SLV,2026-03-26 18:41:44.647205+00:00,CALL,62.5,2026-04-01,29058,174,1386,6,61.1303,REPEATEDHITS,False,False,0,29058,36481492373.0,6,BID,SHORT,0.5
IREN,2026-03-26 18:41:44.647205+00:00,CALL,50.0,2026-04-17,11859,201,6372,13089,37.68,REPEATEDHITS,False,False,0,11859,13766376268.0,22,BID,SHORT,0.5
