ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
UNH,2026-03-25 17:53:52.691057+00:00,PUT,280.0,2026-07-17,84914,30,32,3044,269.0,REPEATEDHITSASCENDINGFILL,False,False,84914,0,114,ASK,SHORT,1.0
GOOGL,2026-03-25 17:53:52.691057+00:00,PUT,270.0,2026-05-15,235209,320,453,5370,290.755,REPEATEDHITSDESCENDINGFILL,True,False,0,235209,51,BID,LONG,0.5
SPY,2026-03-25 17:53:47.686572+00:00,PUT,650.0,2026-06-18,1070000,500,3455,38746,657.39,REPEATEDHITS,False,False,0,1070000,85,BID,LONG,0.5
GLD,2026-03-25 17:53:39.476723+00:00,PUT,416.0,2026-04-02,25340,28,38,0,417.83,REPEATEDHITS,False,False,25340,0,8,ASK,SHORT,1.0
GLD,2026-03-25 17:53:39.476723+00:00,PUT,416.0,2026-04-02,13610,15,53,0,417.8,REPEATEDHITSDESCENDINGFILL,True,False,8180,5430,8,ASK,SHORT,1.0
GLD,2026-03-25 17:53:39.476723+00:00,PUT,342.0,2026-09-30,72715,101,198,40,418.01,REPEATEDHITS,False,False,72715,0,189,ASK,SHORT,1.0
LUNR,2026-03-25 17:53:39.476723+00:00,PUT,21.0,2026-05-01,13950,45,74,2,20.44,REPEATEDHITS,False,False,13950,0,37,ASK,SHORT,1.0
GLD,2026-03-25 17:53:39.476723+00:00,PUT,410.0,2026-04-02,23615,35,526,5004,417.8,REPEATEDHITSDESCENDINGFILL,False,False,22945,670,8,ASK,SHORT,1.0
TSLA,2026-03-25 17:53:39.476723+00:00,PUT,387.5,2026-03-27,108070,214,12819,1310,387.57,REPEATEDHITS,False,False,3030,101000,2,BID,LONG,0.5
GLD,2026-03-25 17:53:35.272008+00:00,PUT,360.0,2026-06-18,95795,161,402,5118,418.02,REPEATEDHITS,False,False,95795,0,85,ASK,SHORT,1.0
QQQ,2026-03-25 17:53:32.666568+00:00,PUT,587.0,2026-03-26,128000,500,38971,1604,588.49,REPEATEDHITS,True,False,0,128000,1,BID,LONG,0.5
ZM,2026-03-25 17:53:31.262700+00:00,CALL,80.0,2026-03-27,41120,1000,1070,522,77.95,REPEATEDHITSASCENDINGFILL,False,False,41120,0,2,ASK,LONG,1.0
GDX,2026-03-25 17:53:31.262700+00:00,PUT,85.0,2026-04-10,24750,75,937,717,86.47,REPEATEDHITS,False,False,24750,0,16,ASK,SHORT,1.0
CRM,2026-03-25 17:53:28.057034+00:00,PUT,175.0,2027-01-15,61011,27,32,1444,181.39,REPEATEDHITS,True,False,61011,0,296,ASK,SHORT,1.0
MSTR,2026-03-25 17:53:28.057034+00:00,CALL,141.0,2026-03-27,15870,69,4014,15403,138.9,REPEATEDHITS,True,False,0,15870,2,BID,SHORT,0.5
QQQ,2026-03-25 17:53:28.057034+00:00,PUT,588.0,2026-03-25,149629,1995,242031,2007,588.655,REPEATEDHITS,False,False,149629,0,0,ASK,SHORT,1.0
