ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
CHTR,2026-03-24 18:03:56.138436+00:00,CALL,280.0,2026-06-18,11700,26,189,519,219.1,REPEATEDHITS,False,False,0,11700,86,BID,SHORT,0.5
CHTR,2026-03-24 18:03:27.118394+00:00,CALL,280.0,2026-06-18,18860,41,105,519,219.11,REPEATEDHITS,False,False,15180,920,86,ASK,LONG,1.0
PDD,2026-03-24 18:03:27.118394+00:00,CALL,103.0,2026-04-10,336756,1266,1266,29,97.9,REPEATEDHITS,False,False,0,336756,17,BID,SHORT,0.5
CHTR,2026-03-24 18:03:27.118394+00:00,CALL,280.0,2026-06-18,21600,48,153,519,219.11,REPEATEDHITS,False,False,0,21600,86,BID,SHORT,0.5
NIO,2026-03-24 18:03:21.313448+00:00,PUT,4.0,2027-01-15,13694,334,335,65954,5.775,REPEATEDHITS,False,False,12956,0,297,ASK,SHORT,1.0
NIO,2026-03-24 18:03:14.908187+00:00,CALL,5.0,2026-05-15,10000,100,17083,68008,5.775,REPEATEDHITS,False,False,0,10000,52,BID,SHORT,0.5
OPEN,2026-03-24 18:03:12.103941+00:00,PUT,5.0,2026-04-24,10714,250,264,393,5.0599,REPEATEDHITSASCENDINGFILL,False,False,0,10714,31,BID,LONG,0.5
XLE,2026-03-24 18:03:07.497619+00:00,PUT,61.0,2026-04-02,51480,440,730,18,60.975,REPEATEDHITS,False,False,0,51480,9,BID,LONG,0.5
XLE,2026-03-24 18:03:07.497619+00:00,PUT,59.0,2026-04-02,15337,313,5022,252,60.975,REPEATEDHITS,False,False,0,15337,9,BID,LONG,0.5
MU,2026-03-24 18:03:07.497619+00:00,CALL,405.0,2026-03-27,99000,198,3366,1129,392.0,REPEATEDHITS,False,False,99000,0,3,ASK,LONG,1.0
NVDA,2026-03-24 18:03:02.092422+00:00,CALL,180.0,2026-05-15,159050,200,2442,34438,175.5723,REPEATEDHITSDESCENDINGFILL,False,False,0,159050,52,BID,SHORT,0.5
TTD,2026-03-24 18:02:52.885448+00:00,CALL,22.5,2026-04-17,19176,141,467,593,22.17,REPEATEDHITS,False,False,19176,0,24,ASK,LONG,1.0
NVDA,2026-03-24 18:02:47.078119+00:00,CALL,175.0,2026-05-15,211000,200,3359,14014,175.5234,REPEATEDHITS,False,False,0,211000,52,BID,SHORT,0.5
NIO,2026-03-24 18:02:47.078119+00:00,CALL,5.0,2026-05-15,10000,100,16983,68008,5.7701,REPEATEDHITS,False,False,8800,0,52,ASK,LONG,1.0
SHOP,2026-03-24 18:02:37.667329+00:00,CALL,140.0,2026-06-18,162590,250,370,1182,115.73,REPEATEDHITS,True,False,0,162590,86,BID,SHORT,0.5
AMD,2026-03-24 18:02:37.667329+00:00,PUT,180.0,2026-04-02,51537,419,639,1857,203.5,REPEATEDHITS,False,False,0,51537,9,BID,LONG,0.5
