ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction
JCI,2026-03-23 14:51:42.095291+00:00,CALL,140.0,2026-04-17,164099,746,751,889,134.99,REPEATEDHITSDESCENDINGFILL,False,False,164099,0,25,ASK,LONG
BITF,2026-03-23 14:51:42.095291+00:00,CALL,2.5,2026-04-02,17770,1777,5766,2115,2.295,REPEATEDHITS,False,False,17770,0,10,ASK,LONG
SLV,2026-03-23 14:51:42.095291+00:00,PUT,55.0,2026-03-31,10494,150,293,1586,63.26,REPEATEDHITS,False,False,0,1394,8,BID,
ASTS,2026-03-23 14:51:30.284575+00:00,PUT,89.0,2026-04-17,23130,26,40,0,89.68,REPEATEDHITS,False,False,21360,1770,25,ASK,SHORT
CORZ,2026-03-23 14:51:30.284575+00:00,CALL,18.0,2026-03-27,14928,933,1318,3668,16.62,REPEATEDHITS,False,False,0,14928,4,BID,
SPX,2026-03-23 14:51:27.473165+00:00,CALL,8200.0,2026-12-18,1282450,650,1560,9069,6634.42,REPEATEDHITS,False,False,0,0,270,MIXED,
SPX,2026-03-23 14:51:27.473165+00:00,PUT,7150.0,2026-12-18,6578220,110,611,3323,6634.42,REPEATEDHITS,False,False,0,0,270,MIXED,
SPX,2026-03-23 14:51:27.473165+00:00,PUT,7150.0,2026-12-18,18538930,310,921,3323,6634.42,REPEATEDHITS,False,False,0,0,270,MIXED,
SPX,2026-03-23 14:51:27.473165+00:00,PUT,6000.0,2026-12-18,14547000,650,1581,111201,6634.42,REPEATEDHITS,False,False,0,0,270,MIXED,
SPX,2026-03-23 14:51:27.473165+00:00,CALL,7150.0,2026-12-18,10632300,420,920,5701,6634.42,REPEATEDHITS,False,False,0,0,270,MIXED,
BITF,2026-03-23 14:51:27.473165+00:00,CALL,2.5,2026-04-02,16919,1797,3966,2115,2.295,REPEATEDHITSASCENDINGFILL,False,False,16919,0,10,ASK,LONG
SPX,2026-03-23 14:51:27.473165+00:00,CALL,6680.0,2026-06-18,742400,29,883,1231,6634.42,REPEATEDHITS,False,False,0,0,87,MIXED,
SPX,2026-03-23 14:51:27.473165+00:00,PUT,6680.0,2026-06-18,713400,29,883,1235,6634.42,REPEATEDHITS,False,False,0,0,87,MIXED,
IREN,2026-03-23 14:51:25.669760+00:00,CALL,50.0,2026-04-17,17700,100,5962,12089,42.96,REPEATEDHITS,False,False,0,17700,25,BID,
GLD,2026-03-23 14:51:23.265605+00:00,CALL,605.0,2027-01-15,62765,86,163,1852,409.996,REPEATEDHITSASCENDINGFILL,False,False,1475,61290,298,BID,
IREN,2026-03-23 14:51:21.462720+00:00,PUT,39.5,2026-03-27,30800,400,520,4384,42.96,REPEATEDHITS,False,False,30800,0,4,ASK,SHORT
CRWV,2026-03-23 14:51:18.658014+00:00,CALL,135.0,2027-12-17,207581,85,88,135,83.21,REPEATEDHITSDESCENDINGFILL,False,False,2440,205141,634,BID,
TSM,2026-03-23 14:51:18.658014+00:00,PUT,300.0,2026-04-17,114800,280,417,7899,340.03,REPEATEDHITS,False,False,27880,86920,25,BID,
SPY,2026-03-23 14:51:12.852552+00:00,PUT,610.0,2026-05-15,1081500,1500,3346,5894,660.79,REPEATEDHITS,False,False,1081500,0,53,ASK,SHORT
BABA,2026-03-23 14:51:10.849439+00:00,PUT,120.0,2026-04-17,50740,215,1023,5409,126.65,REPEATEDHITS,False,False,50740,0,25,ASK,SHORT
TSLA,2026-03-23 14:51:08.444146+00:00,CALL,500.0,2027-03-19,998010,234,280,943,383.27,REPEATEDHITS,False,False,998010,0,361,ASK,LONG
TSLA,2026-03-23 14:51:08.444146+00:00,CALL,380.0,2026-03-23,127500,300,53760,4619,383.27,REPEATEDHITS,False,False,0,127500,0,BID,
CVX,2026-03-23 14:51:04.038577+00:00,CALL,200.0,2026-04-17,188324,208,663,13836,204.395,REPEATEDHITSASCENDINGFILL,False,False,0,188324,25,BID,
NBIS,2026-03-23 14:51:04.038577+00:00,CALL,120.0,2026-04-17,57035,61,563,5015,118.09,REPEATEDHITS,False,False,57035,0,25,ASK,LONG
BBAI,2026-03-23 14:50:59.231634+00:00,CALL,4.0,2026-06-18,10000,200,468,7078,3.65,REPEATEDHITS,False,False,10000,0,87,ASK,LONG
COIN,2026-03-23 14:50:59.231634+00:00,CALL,250.0,2026-09-18,64420,28,123,1212,200.84,REPEATEDHITSDESCENDINGFILL,False,False,2290,62130,179,BID,
IYW,2026-03-23 14:50:59.231634+00:00,CALL,194.0,2026-09-18,12100,10,10,10,188.68,REPEATEDHITS,False,False,4840,7260,179,BID,
LMND,2026-03-23 14:50:56.626113+00:00,PUT,67.0,2026-03-27,57960,276,288,26,67.98,REPEATEDHITS,False,False,57960,0,4,ASK,SHORT
ROKU,2026-03-23 14:50:54.822482+00:00,CALL,110.0,2026-04-17,74750,575,596,755,96.98,REPEATEDHITS,False,False,1300,34970,25,BID,
NBIS,2026-03-23 14:50:54.218319+00:00,CALL,120.0,2026-04-17,29920,32,494,5015,118.165,REPEATEDHITS,False,False,29920,0,25,ASK,LONG
ADBE,2026-03-23 14:50:54.218319+00:00,PUT,240.0,2026-06-18,230230,154,585,3975,249.28,REPEATEDHITS,False,False,125580,104650,87,ASK,SHORT
IREN,2026-03-23 14:50:54.218319+00:00,CALL,50.0,2026-04-17,33998,191,4965,12089,42.955,REPEATEDHITS,False,False,0,33998,25,BID,
ADBE,2026-03-23 14:50:51.612915+00:00,PUT,240.0,2026-06-18,372690,250,431,3975,249.27,REPEATEDHITSASCENDINGFILL,False,False,372690,0,87,ASK,SHORT
NBIS,2026-03-23 14:50:51.612915+00:00,CALL,120.0,2026-04-17,29920,32,373,5015,118.14,REPEATEDHITS,True,False,9350,20570,25,BID,
NBIS,2026-03-23 14:50:51.612915+00:00,CALL,120.0,2026-04-17,31810,34,422,5015,118.165,REPEATEDHITSDESCENDINGFILL,False,False,940,30870,25,BID,
SPY,2026-03-23 14:50:46.804050+00:00,PUT,660.0,2026-03-25,119196,258,2684,2441,660.55,REPEATEDHITS,False,False,0,119196,2,BID,
SOXS,2026-03-23 14:50:46.804050+00:00,CALL,50.0,2026-05-15,18425,55,129,90,37.105,REPEATEDHITS,True,False,18425,0,53,ASK,LONG
ADBE,2026-03-23 14:50:46.804050+00:00,PUT,240.0,2026-06-18,148500,100,181,3975,249.4,REPEATEDHITS,False,False,44550,103950,87,BID,
SOXS,2026-03-23 14:50:46.804050+00:00,CALL,50.0,2026-05-15,17340,51,180,90,37.11,REPEATEDHITS,False,False,17340,0,53,ASK,LONG
GGLL,2026-03-23 14:50:40.796247+00:00,CALL,107.15,2028-01-21,15300,6,134,8,88.745,REPEATEDHITS,False,False,0,15300,669,BID,
NUGT,2026-03-23 14:50:40.796247+00:00,CALL,140.0,2026-03-27,50160,24,30,14,158.78,REPEATEDHITS,False,False,0,50160,4,BID,
SLB,2026-03-23 14:50:40.796247+00:00,PUT,47.5,2026-04-17,240808,1942,1965,1646,49.68,REPEATEDHITS,False,False,240808,0,25,ASK,SHORT
LQD,2026-03-23 14:50:36.992199+00:00,PUT,107.0,2026-05-15,375000,3750,3750,64346,108.585,FLOORTRADELARGECAP,False,True,375000,0,53,ASK,SHORT
RKLB,2026-03-23 14:50:35.788596+00:00,CALL,90.0,2026-04-10,12518,300,346,823,67.82,REPEATEDHITSASCENDINGFILL,True,False,0,12518,18,BID,
SLV,2026-03-23 14:50:34.384486+00:00,PUT,61.5,2026-03-31,11150,50,781,2919,63.255,REPEATEDHITS,False,False,6690,2230,8,ASK,SHORT
SLV,2026-03-23 14:50:34.384486+00:00,PUT,55.5,2026-09-18,56500,100,100,2025,63.24,REPEATEDHITS,False,False,56500,0,179,ASK,SHORT
NVDA,2026-03-23 14:50:29.577791+00:00,CALL,180.0,2026-04-17,212000,400,5453,34235,177.335,REPEATEDHITS,False,False,0,212000,25,BID,
COIN,2026-03-23 14:50:29.577791+00:00,CALL,195.0,2026-05-15,27960,11,34,481,201.11,REPEATEDHITSDESCENDINGFILL,False,False,17820,10140,53,ASK,LONG
COIN,2026-03-23 14:50:29.577791+00:00,CALL,195.0,2026-05-15,106992,42,76,481,201.11,REPEATEDHITS,True,False,51000,5092,53,ASK,LONG
GOOG,2026-03-23 14:50:23.966127+00:00,CALL,335.0,2026-05-15,818425,2045,6045,1670,301.0901,REPEATEDHITSASCENDINGFILL,True,False,0,185225,53,BID,
GOOG,2026-03-23 14:50:23.966127+00:00,CALL,335.0,2026-05-15,630875,1555,4000,1670,301.1155,REPEATEDHITSDESCENDINGFILL,True,False,5810,625065,53,BID,
GGLL,2026-03-23 14:50:23.966127+00:00,CALL,107.15,2028-01-21,15360,6,122,8,88.745,REPEATEDHITS,False,False,0,15360,669,BID,
MSTR,2026-03-23 14:50:23.966127+00:00,PUT,138.0,2026-03-27,56875,125,2264,486,138.01,REPEATEDHITS,True,False,56875,0,4,ASK,SHORT
CRWV,2026-03-23 14:50:23.966127+00:00,CALL,97.5,2026-09-18,96817,62,62,174,83.24,REPEATEDHITSASCENDINGFILL,False,False,7850,88967,179,BID,
WDC,2026-03-23 14:50:16.756260+00:00,PUT,210.0,2026-09-18,50070,22,23,250,305.185,REPEATEDHITS,False,False,4520,45550,179,BID,
COIN,2026-03-23 14:50:16.756260+00:00,PUT,200.0,2026-04-10,14620,13,28,280,201.14,REPEATEDHITS,False,False,12375,2245,18,ASK,SHORT
MU,2026-03-23 14:50:16.756260+00:00,PUT,310.0,2026-10-16,120745,38,44,63,420.33,REPEATEDHITSDESCENDINGFILL,False,False,85870,34875,207,ASK,SHORT
MU,2026-03-23 14:50:16.756260+00:00,PUT,310.0,2026-10-16,54036,17,61,63,420.6499,REPEATEDHITSASCENDINGFILL,False,False,44507,9529,207,ASK,SHORT
GOOG,2026-03-23 14:50:16.756260+00:00,CALL,335.0,2026-05-15,841422,2049,2282,1670,301.24,REPEATEDHITSDESCENDINGFILL,True,False,0,841422,53,BID,
QQQ,2026-03-23 14:50:14.950181+00:00,CALL,570.0,2026-05-29,266107,63,88,13,593.22,REPEATEDHITSASCENDINGFILL,False,False,25356,240751,67,BID,
OKTA,2026-03-23 14:50:14.950181+00:00,CALL,82.5,2026-05-15,191900,380,513,4321,81.0701,REPEATEDHITS,False,False,0,30300,53,BID,
TZA,2026-03-23 14:50:14.950181+00:00,CALL,6.0,2026-04-10,17270,157,191,153,6.998,REPEATEDHITS,False,False,17270,0,18,ASK,LONG
GLD,2026-03-23 14:50:12.946991+00:00,PUT,350.0,2026-12-18,22000,20,28,537,411.26,REPEATEDHITS,True,False,1100,1100,270,MIXED,
SMCI,2026-03-23 14:50:09.941615+00:00,PUT,20.0,2026-03-27,22546,501,14108,25764,21.395,REPEATEDHITS,False,False,46,22500,4,BID,
CVNA,2026-03-23 14:50:09.941615+00:00,CALL,307.5,2026-03-27,20265,21,305,72,303.81,REPEATEDHITS,False,False,20265,0,4,ASK,LONG
CVNA,2026-03-23 14:50:09.941615+00:00,PUT,300.0,2026-03-27,27960,29,1796,401,303.6,REPEATEDHITS,True,False,27020,940,4,ASK,SHORT
TSLA,2026-03-23 14:50:05.134651+00:00,PUT,405.0,2026-11-20,112200,17,43,123,384.14,REPEATEDHITS,True,False,99000,13200,242,ASK,SHORT
