ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
AAL,2026-03-24 18:55:17.164164+00:00,PUT,11.0,2026-05-15,13890,125,487,27119,10.655,REPEATEDHITSASCENDINGFILL,False,False,0,13890,52,BID,LONG,0.5
MU,2026-03-24 18:55:17.164164+00:00,PUT,380.0,2026-03-27,50000,100,8690,10243,393.265,REPEATEDHITS,False,False,50000,0,3,ASK,SHORT,1.0
CAT,2026-03-24 18:55:11.358146+00:00,CALL,730.0,2026-03-27,80500,100,369,182,720.06,REPEATEDHITS,False,False,80500,0,3,ASK,LONG,1.0
MU,2026-03-24 18:55:11.358146+00:00,PUT,380.0,2026-03-27,319057,650,8590,10243,393.435,REPEATEDHITSDESCENDINGFILL,False,False,0,316087,3,BID,LONG,0.5
AAL,2026-03-24 18:55:00.348342+00:00,CALL,12.0,2026-05-15,25000,500,3942,3192,10.655,REPEATEDHITS,False,False,25000,0,52,ASK,LONG,1.0
EWZ,2026-03-24 18:54:50.741872+00:00,PUT,38.0,2026-05-15,73759,287,354,8946,36.645,REPEATEDHITS,False,False,0,73759,52,BID,LONG,0.5
EQT,2026-03-24 18:54:46.936494+00:00,CALL,70.0,2026-06-18,71000,200,295,5328,65.83,REPEATEDHITS,False,False,0,71000,86,BID,SHORT,0.5
DELL,2026-03-24 18:54:46.936494+00:00,CALL,240.0,2026-05-15,76462,781,1871,579,177.44,REPEATEDHITS,True,False,69308,0,52,ASK,LONG,1.0
ASHR,2026-03-24 18:54:39.923741+00:00,CALL,36.0,2028-01-21,57570,202,6000,18706,32.1,REPEATEDHITS,False,False,46455,11115,668,ASK,LONG,1.0
SPY,2026-03-24 18:54:23.310611+00:00,PUT,654.0,2026-03-24,105751,2000,402768,3663,655.02,REPEATEDHITSASCENDINGFILL,True,False,105751,0,0,ASK,SHORT,1.0
MARA,2026-03-24 18:54:23.310611+00:00,CALL,10.0,2026-06-18,22230,234,310,16933,8.325,REPEATEDHITS,False,False,22135,95,86,ASK,LONG,1.0
