ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
SLV,2026-03-23 16:53:54.616070+00:00,CALL,62.5,2026-03-23,33221,582,8605,577,62.59,REPEATEDHITSASCENDINGFILL,True,False,0,33221,0,BID,SHORT,0.5
SPX,2026-03-23 16:53:47.008000+00:00,PUT,5500.0,2026-04-17,102720,96,1326,18750,6584.91,REPEATEDHITS,False,False,0,102720,25,BID,LONG,0.5
DAL,2026-03-23 16:53:47.008000+00:00,PUT,65.0,2026-04-17,30030,91,1423,17675,65.94,REPEATEDHITS,False,False,0,30030,25,BID,LONG,0.5
ONDS,2026-03-23 16:53:47.008000+00:00,PUT,7.5,2026-05-01,20532,708,4008,152,10.495,REPEATEDHITS,False,False,0,20532,39,BID,LONG,0.5
CVNA,2026-03-23 16:53:40.800826+00:00,CALL,330.0,2026-04-02,346050,1000,4021,43,297.24,REPEATEDHITSDESCENDINGFILL,False,False,742,345308,10,BID,SHORT,0.5
ONDS,2026-03-23 16:53:40.800826+00:00,PUT,7.5,2026-05-01,74940,2498,3167,152,10.49,REPEATEDHITS,False,False,0,74940,39,BID,LONG,0.5
EEM,2026-03-23 16:53:34.993420+00:00,PUT,56.5,2026-05-15,69689,303,305,511,57.0,REPEATEDHITSASCENDINGFILL,False,False,689,69000,53,BID,LONG,0.5
ONDS,2026-03-23 16:53:34.993420+00:00,PUT,7.5,2026-05-01,19830,661,669,152,10.48,REPEATEDHITS,False,False,0,19830,39,BID,LONG,0.5
MSTR,2026-03-23 16:53:34.993420+00:00,CALL,155.0,2026-03-27,12470,430,3995,8281,135.46,REPEATEDHITS,False,False,0,12470,4,BID,SHORT,0.5
GLD,2026-03-23 16:53:30.988710+00:00,PUT,405.0,2026-04-02,21450,15,473,426,402.74,REPEATEDHITS,False,False,1430,20020,10,BID,LONG,0.5
SPX,2026-03-23 16:53:30.988710+00:00,PUT,5500.0,2026-04-17,108000,100,1230,18750,6582.89,REPEATEDHITS,False,False,0,108000,25,BID,LONG,0.5
SPY,2026-03-23 16:53:26.777432+00:00,CALL,658.0,2026-03-25,149852,334,4681,2243,655.74,REPEATEDHITSDESCENDINGFILL,True,False,0,149852,2,BID,SHORT,0.5
VNET,2026-03-23 16:53:21.969503+00:00,PUT,9.0,2026-04-17,36002,500,501,346,8.94,REPEATEDHITSDESCENDINGFILL,False,False,0,36002,25,BID,LONG,0.5
NVDA,2026-03-23 16:53:21.969503+00:00,PUT,175.0,2027-01-15,445900,182,395,8900,175.735,REPEATEDHITS,False,False,445900,0,298,ASK,SHORT,1.0
