ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
IWM,2026-03-26 16:14:37.791951+00:00,PUT,244.0,2026-03-31,205000,1000,2297,20708,250.225,REPEATEDHITS,False,False,205000,0,5,ASK,SHORT,1.0
GLD,2026-03-26 16:14:37.791951+00:00,CALL,440.0,2026-04-17,68085,153,1364,6738,408.0,REPEATEDHITS,False,False,65415,2670,22,ASK,LONG,1.0
OXY,2026-03-26 16:14:30.585278+00:00,CALL,65.0,2026-06-18,86000,200,3446,15837,63.5,REPEATEDHITS,False,False,86000,0,84,ASK,LONG,1.0
NKE,2026-03-26 16:14:28.380554+00:00,CALL,53.0,2026-04-02,74483,353,751,828,52.56,REPEATEDHITS,False,False,74483,0,7,ASK,LONG,1.0
GLD,2026-03-26 16:14:25.576471+00:00,PUT,401.0,2026-03-30,32565,74,78,25,407.76,REPEATEDHITS,False,False,0,32565,4,BID,LONG,0.5
GOOGL,2026-03-26 16:14:22.768602+00:00,PUT,315.0,2026-07-17,160640,42,47,837,284.63,REPEATEDHITSASCENDINGFILL,False,False,160640,0,113,ASK,SHORT,1.0
XOP,2026-03-26 16:14:22.768602+00:00,PUT,187.0,2026-03-27,17688,88,88,0,186.5,REPEATEDHITS,True,False,17688,0,1,ASK,SHORT,1.0
SBET,2026-03-26 16:14:21.565468+00:00,PUT,7.0,2026-05-15,10800,100,202,940,6.5798,REPEATEDHITS,True,False,0,10800,50,BID,LONG,0.5
META,2026-03-26 16:14:16.156516+00:00,CALL,900.0,2027-01-15,245000,250,8706,7954,556.605,REPEATEDHITS,False,False,49980,195020,295,BID,SHORT,0.5
SPY,2026-03-26 16:14:16.156516+00:00,CALL,675.0,2026-04-30,115868,166,247,2013,651.14,REPEATEDHITS,False,False,0,115868,35,BID,SHORT,0.5
BRO,2026-03-26 16:14:05.948119+00:00,CALL,60.0,2026-05-15,18400,23,23,0,64.63,REPEATEDHITS,True,False,18400,0,50,ASK,LONG,1.0
XPEV,2026-03-26 16:14:02.345232+00:00,CALL,18.5,2026-04-02,11600,580,1096,593,17.415,REPEATEDHITS,False,False,11600,0,7,ASK,LONG,1.0
CCJ,2026-03-26 16:13:49.130795+00:00,PUT,100.0,2026-04-17,10850,31,262,5953,106.525,REPEATEDHITS,False,False,0,10850,22,BID,LONG,0.5
HIMS,2026-03-26 16:13:49.130795+00:00,CALL,21.5,2026-04-02,12696,184,2884,2240,20.7001,REPEATEDHITS,False,False,0,12696,7,BID,SHORT,0.5
RKLB,2026-03-26 16:13:40.722574+00:00,CALL,68.0,2026-03-27,21800,100,1019,874,69.04,REPEATEDHITS,False,False,21800,0,1,ASK,LONG,1.0
XLE,2026-03-26 16:13:36.717654+00:00,CALL,62.0,2026-03-31,18000,250,545,4230,61.695,REPEATEDHITS,False,False,18000,0,5,ASK,LONG,1.0
USO,2026-03-26 16:13:31.510009+00:00,CALL,118.0,2026-05-08,14882,10,20,0,117.67,REPEATEDHITSDESCENDINGFILL,False,False,14882,0,43,ASK,LONG,1.0
