ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
NXT,2026-05-13 16:17:38.216006+00:00,CALL,150.0,2026-08-21,2160000,1200,1865,109,138.875,FLOORTRADELARGECAP,False,True,False,0,2160000,18614416437.0,100,BID,SHORT,0.5
LITE,2026-05-13 16:13:11.341138+00:00,PUT,1090.0,2026-05-29,520720,41,41,2,1026.45,REPEATEDHITS,False,False,False,12720,508000,77206386000.0,16,BID,LONG,0.5
QQQ,2026-05-13 16:11:41.751739+00:00,CALL,711.0,2026-05-22,1803692,1513,10665,715,712.0,REPEATEDHITSDESCENDINGFILL,False,False,False,10728,1790580,463250305119.0,9,BID,SHORT,0.5
NBIS,2026-05-13 16:06:56.687547+00:00,CALL,210.0,2028-12-15,937980,81,123,25,206.66,REPEATEDHITS,False,False,False,11580,23160,39308391912.0,947,BID,SHORT,0.5
ABT,2026-05-13 16:06:33.827890+00:00,PUT,77.5,2027-01-15,605432,1081,1085,19,84.07,REPEATEDHITSASCENDINGFILL,False,False,False,0,605432,146921878386.0,247,BID,LONG,0.5
LLY,2026-05-13 16:06:22.814951+00:00,CALL,1005.0,2026-05-22,602149,281,1032,41,1003.73,REPEATEDHITSASCENDINGFILL,True,False,False,149963,452186,932201565557.0,9,BID,SHORT,0.5
CELH,2026-05-13 16:06:09.594207+00:00,PUT,25.0,2026-10-16,1213158,4071,4074,463,28.41,REPEATEDHITS,False,False,False,1196768,0,7569511060.0,156,ASK,SHORT,1.0
XOP,2026-05-13 16:02:10.529003+00:00,PUT,165.0,2026-06-18,9667715,17111,17282,1676,167.665,LOWHISTORICVOLUMEFLOOR,False,True,True,9667715,0,169.815892,36,ASK,SHORT,1.0
CRM,2026-05-13 16:01:59.504177+00:00,PUT,165.0,2026-05-15,817054,3818,5426,3568,165.83,REPEATEDHITSASCENDINGFILL,False,False,False,136534,680520,158119130000.0,2,BID,LONG,0.5
CG,2026-05-13 16:01:53.872565+00:00,CALL,42.5,2026-06-18,616465,934,934,81,48.8,REPEATEDHITSASCENDINGFILL,False,False,False,0,616465,18013120327.0,36,BID,SHORT,0.5
QCOM,2026-05-13 15:59:08.904487+00:00,CALL,215.0,2026-06-26,1495637,702,771,41,213.0945,REPEATEDHITSDESCENDINGFILL,True,False,False,296992,1012465,221666740000.0,44,BID,SHORT,0.5
RKLB,2026-05-13 15:53:59.401994+00:00,CALL,116.0,2026-05-15,1267344,1370,1478,475,123.89,REPEATEDHITSASCENDINGFILL,False,False,False,0,1267344,68037966384.0,2,BID,SHORT,0.5
COST,2026-05-13 15:53:21.538320+00:00,CALL,970.0,2026-06-05,569070,82,82,20,1027.66,REPEATEDHITS,True,False,False,569070,0,453359657575.0,23,ASK,LONG,1.0
