ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
SPX,2026-03-20 20:40:05.434806+00:00,PUT,6225.0,2026-04-17,515410,70,1029,2939,6490.0,REPEATEDHITS,False,False,0,515410,28,BID,LONG,0.5
SPX,2026-03-20 20:40:05.434806+00:00,PUT,6100.0,2026-04-17,374710,70,3495,16626,6490.0,REPEATEDHITS,False,False,374710,0,28,ASK,SHORT,1.0
QQQ,2026-03-20 20:15:33.961685+00:00,CALL,588.0,2026-03-23,142319,1029,32586,530,582.0,REPEATEDHITSDESCENDINGFILL,False,False,106130,36189,3,ASK,LONG,1.0
TLT,2026-03-20 20:15:33.961685+00:00,PUT,87.0,2026-07-17,52500,150,463,3245,85.0,REPEATEDHITS,True,False,52500,0,119,ASK,SHORT,1.0
SPY,2026-03-20 20:15:01.142400+00:00,CALL,655.0,2026-03-27,130000,200,42239,2646,649.0,REPEATEDHITS,False,False,0,130000,7,BID,SHORT,0.5
SLV,2026-03-20 20:15:01.142400+00:00,PUT,61.0,2026-03-27,19006,86,3394,989,61.0,REPEATEDHITS,False,False,0,0,7,MIXED,,0.0
TLT,2026-03-20 20:14:35.527989+00:00,CALL,86.0,2026-03-27,56316,722,25745,793,85.0,REPEATEDHITS,False,False,156,56082,7,BID,SHORT,0.5
TLT,2026-03-20 20:14:31.122653+00:00,CALL,90.0,2026-04-17,12216,509,41792,103626,85.0,REPEATEDHITS,False,False,0,12216,28,BID,SHORT,0.5
SPY,2026-03-20 20:14:21.713412+00:00,PUT,645.0,2026-03-23,158000,632,53691,2572,649.0,REPEATEDHITS,False,False,0,158000,3,BID,LONG,0.5
SLV,2026-03-20 20:14:21.713412+00:00,PUT,60.5,2026-03-23,28000,280,3087,1728,61.0,REPEATEDHITS,False,False,0,0,3,MIXED,,0.0
