ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
NVDA,2026-03-25 18:49:09.070768+00:00,PUT,170.0,2026-04-10,104151,447,3104,9413,178.8345,REPEATEDHITS,False,False,104151,0,16,ASK,SHORT,1.0
RITM,2026-03-25 18:48:53.661497+00:00,CALL,10.0,2026-05-15,44826,2989,10364,1727,9.265,REPEATEDHITS,True,False,41526,3300,51,ASK,LONG,1.0
MSFT,2026-03-25 18:48:42.652892+00:00,CALL,415.0,2026-06-18,210975,291,512,2702,370.3298,REPEATEDHITS,False,False,210975,0,85,ASK,LONG,1.0
PINS,2026-03-25 18:48:27.642404+00:00,CALL,19.0,2026-06-18,12100,55,164,711,18.665,REPEATEDHITS,False,False,0,12100,85,BID,SHORT,0.5
ZM,2026-03-25 18:48:27.642404+00:00,PUT,75.0,2026-06-18,11375,25,29,969,78.335,REPEATEDHITS,False,False,1365,5005,85,BID,LONG,0.5
USO,2026-03-25 18:48:23.637359+00:00,PUT,107.0,2026-04-08,648000,1200,1207,1,112.87,FLOORTRADESMALLCAP,False,True,0,648000,14,BID,LONG,0.5
SBSW,2026-03-25 18:48:21.832770+00:00,CALL,15.0,2027-01-15,155800,820,2695,5747,11.875,REPEATEDHITS,False,False,0,155800,296,BID,SHORT,0.5
META,2026-03-25 18:48:21.832770+00:00,CALL,600.0,2026-07-17,113300,22,581,470,598.64,REPEATEDHITS,True,False,0,113300,114,BID,SHORT,0.5
CRCL,2026-03-25 18:48:04.420380+00:00,CALL,110.0,2026-04-02,23535,82,2856,1032,102.24,REPEATEDHITS,False,False,23535,0,8,ASK,LONG,1.0
RITM,2026-03-25 18:47:59.813641+00:00,CALL,10.0,2026-05-15,77633,5180,5355,1727,9.2325,REPEATEDHITSDESCENDINGFILL,False,False,77603,30,51,ASK,LONG,1.0
MAGS,2026-03-25 18:47:59.813641+00:00,CALL,61.5,2026-04-17,75249,1075,2982,100,59.035,REPEATEDHITS,True,False,22329,17710,23,ASK,LONG,1.0
MAGS,2026-03-25 18:47:59.813641+00:00,CALL,61.5,2026-04-17,10500,150,3132,100,59.035,REPEATEDHITS,False,False,10500,0,23,ASK,LONG,1.0
EWY,2026-03-25 18:47:59.813641+00:00,PUT,115.0,2026-04-02,78019,743,5345,1419,128.76,REPEATEDHITSASCENDINGFILL,False,False,105,77914,8,BID,LONG,0.5
MAGS,2026-03-25 18:47:49.206354+00:00,CALL,61.5,2026-04-17,41644,595,1907,100,59.035,REPEATEDHITS,False,False,41510,134,23,ASK,LONG,1.0
BA,2026-03-25 18:47:45.746537+00:00,CALL,210.0,2026-07-17,66250,50,322,1404,199.915,REPEATEDHITS,False,False,0,66250,114,BID,SHORT,0.5
TEAM,2026-03-25 18:47:45.746537+00:00,CALL,70.0,2026-04-17,41760,116,2731,1024,66.84,REPEATEDHITS,False,False,41760,0,23,ASK,LONG,1.0
XYZ,2026-03-25 18:47:45.746537+00:00,CALL,65.0,2026-04-17,26880,210,269,2973,60.19,REPEATEDHITS,False,False,13440,10752,23,ASK,LONG,1.0
NOW,2026-03-25 18:47:35.139785+00:00,CALL,100.0,2026-04-17,52440,76,2543,1001,102.81,REPEATEDHITS,False,False,2760,2760,23,MIXED,,0.0
XLV,2026-03-25 18:47:25.932958+00:00,CALL,147.0,2026-04-17,11115,39,182,309,146.28,REPEATEDHITS,True,False,4560,4560,23,MIXED,,0.0
XLV,2026-03-25 18:47:21.328635+00:00,CALL,147.0,2026-04-17,22152,78,143,309,146.275,REPEATEDHITS,False,False,0,18176,23,BID,SHORT,0.5
PENG,2026-03-25 18:47:13.520881+00:00,CALL,20.0,2026-04-17,30299,404,478,107,18.17,REPEATEDHITS,False,False,30299,0,23,ASK,LONG,1.0
CLSK,2026-03-25 18:47:13.520881+00:00,CALL,12.0,2026-04-17,11370,400,5943,23042,9.7702,REPEATEDHITSDESCENDINGFILL,False,False,2550,0,23,ASK,LONG,1.0
GLD,2026-03-25 18:47:13.520881+00:00,CALL,451.0,2026-05-01,48180,66,66,9,417.79,REPEATEDHITS,True,False,0,47450,37,BID,SHORT,0.5
XLV,2026-03-25 18:47:03.712295+00:00,CALL,147.0,2026-04-17,12880,46,65,309,146.265,REPEATEDHITS,True,False,0,5600,23,BID,SHORT,0.5
SMH,2026-03-25 18:47:00.508062+00:00,PUT,382.5,2026-04-10,83640,123,515,72,399.7,REPEATEDHITS,True,False,0,35360,16,BID,LONG,0.5
COIN,2026-03-25 18:46:52.700717+00:00,CALL,220.0,2026-05-15,62780,86,1764,3375,180.9,REPEATEDHITS,False,False,0,62050,51,BID,SHORT,0.5
SMH,2026-03-25 18:46:52.700717+00:00,CALL,402.5,2026-03-27,19000,50,354,720,399.73,REPEATEDHITS,False,False,7980,11020,2,BID,SHORT,0.5
CORZ,2026-03-25 18:46:45.894422+00:00,CALL,25.0,2026-06-18,63434,1033,4635,48040,16.9,REPEATEDHITSASCENDINGFILL,False,False,5246,58188,85,BID,SHORT,0.5
XOM,2026-03-25 18:46:45.894422+00:00,PUT,160.0,2026-09-18,113000,100,278,381,163.895,REPEATEDHITS,False,False,0,113000,177,BID,LONG,0.5
CORZ,2026-03-25 18:46:45.894422+00:00,CALL,27.0,2026-09-18,59914,474,1563,7359,16.895,REPEATEDHITSASCENDINGFILL,True,False,126,47692,177,BID,SHORT,0.5
SMH,2026-03-25 18:46:20.879913+00:00,PUT,382.5,2026-03-27,72000,720,2397,2544,399.72,REPEATEDHITS,True,False,28700,5100,2,ASK,SHORT,1.0
