ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
DELL,2026-07-28 16:04:17.302267+00:00,PUT,385.0,2026-08-14,1775550,623,643,36,386.725,REPEATEDHITS,False,False,False,0,1775550,138691805652.0,17,BID,LONG,0.5
SPY,2026-07-28 16:03:03.396246+00:00,PUT,742.0,2026-08-07,995400,1400,9030,1064,742.09,REPEATEDHITS,False,False,False,189126,806274,738.929303,10,BID,LONG,0.5
BE,2026-07-28 16:02:24.544708+00:00,CALL,230.0,2026-08-21,4163355,4162,19206,1620,167.09,SWEEPSFOLLOWEDBYFLOOR,True,True,False,7075,4151155,53526647080.0,24,BID,SHORT,0.5
CIEN,2026-07-28 16:01:39.084185+00:00,CALL,330.0,2026-09-18,905115,155,162,1,344.8,REPEATEDHITSDESCENDINGFILL,False,False,False,881795,23320,53403670883.0,52,ASK,LONG,1.0
SPY,2026-07-28 16:00:27.367795+00:00,PUT,742.0,2026-08-07,837062,1174,5969,1064,742.08,REPEATEDHITS,False,False,False,178250,633144,738.929303,10,BID,LONG,0.5
TSLA,2026-07-28 15:59:55.326684+00:00,CALL,310.0,2026-08-03,1373100,1881,3148,667,309.525,REPEATEDHITSDESCENDINGFILL,False,False,False,1373100,0,1221279045173.0,6,ASK,LONG,1.0
ASML,2026-07-28 15:56:58.912624+00:00,CALL,1650.0,2026-07-31,531197,219,294,114,1592.665,REPEATEDHITSASCENDINGFILL,False,False,False,531197,0,637966444168.0,3,ASK,LONG,1.0
MRVL,2026-07-28 15:51:57.635607+00:00,CALL,182.5,2026-08-21,1026369,672,727,105,178.29,REPEATEDHITSDESCENDINGFILL,True,False,False,244520,781849,165485916000.0,24,BID,SHORT,0.5
COIN,2026-07-28 15:50:13.657301+00:00,CALL,167.5,2026-08-07,976672,967,1160,257,166.8,REPEATEDHITS,False,False,False,0,976672,37254277294.0,10,BID,SHORT,0.5
BE,2026-07-28 15:48:55.695596+00:00,CALL,230.0,2026-08-21,1669610,1678,7042,1620,166.13,REPEATEDHITS,False,False,False,1669610,0,53526647080.0,24,ASK,LONG,1.0
SPCX,2026-07-28 15:48:42.269620+00:00,CALL,115.0,2026-08-07,1027780,871,3925,559,115.45,REPEATEDHITS,False,False,False,566400,461380,1770000000000.0,10,ASK,LONG,1.0
AVGO,2026-07-28 15:48:03.220441+00:00,PUT,377.5,2026-07-29,545413,1969,2329,259,384.855,REPEATEDHITS,False,False,False,0,545413,1823199883478.0,1,BID,LONG,0.5
AMD,2026-07-28 15:46:56.678273+00:00,CALL,500.0,2026-07-31,1553766,3237,8450,1750,464.25,REPEATEDHITS,False,False,False,1553766,0,807065786273.0,3,ASK,LONG,1.0
AMD,2026-07-28 15:45:43.175638+00:00,PUT,452.5,2026-07-29,571207,1036,4736,153,463.05,REPEATEDHITSASCENDINGFILL,True,False,False,60178,507144,807065786273.0,1,BID,LONG,0.5
CMI,2026-07-28 15:45:08.721089+00:00,PUT,690.0,2026-09-18,598032,79,113,76,633.94,REPEATEDHITSASCENDINGFILL,False,False,False,0,598032,91326684103.0,52,BID,LONG,0.5
AMD,2026-07-28 15:40:50.139197+00:00,CALL,450.0,2026-07-31,1977020,909,2256,822,458.94,REPEATEDHITSDESCENDINGFILL,False,False,False,1972670,4350,807065786273.0,3,ASK,LONG,1.0
MU,2026-07-28 15:40:20.299453+00:00,CALL,860.0,2026-08-07,552420,132,199,89,819.5,REPEATEDHITS,False,False,False,4185,548235,1016679714530.0,10,BID,SHORT,0.5
MU,2026-07-28 15:34:52.671719+00:00,CALL,825.0,2026-07-29,3772029,1640,4904,13,823.09,REPEATEDHITSASCENDINGFILL,False,False,False,0,3772029,1016679714530.0,1,BID,SHORT,0.5
QQQ,2026-07-28 15:33:19.100180+00:00,CALL,670.0,2026-07-28,506719,700,92768,652,677.0,REPEATEDHITSDESCENDINGFILL,False,False,False,0,255144,452036198925.0,0,BID,SHORT,0.5
EXPE,2026-07-28 15:32:43.653539+00:00,PUT,280.0,2026-08-07,557500,500,500,0,292.905,FLOORTRADELARGECAP,False,True,True,557500,0,31872982241.0,10,ASK,SHORT,1.0
CRWV,2026-07-28 15:31:52.778421+00:00,CALL,120.0,2026-10-16,752500,3500,3560,1400,66.445,REPEATEDHITS,False,False,False,0,752500,31683759142.0,80,BID,SHORT,0.5
SMH,2026-07-28 15:30:55.675836+00:00,CALL,550.0,2026-08-14,624810,353,1027,31,529.59,REPEATEDHITS,True,False,False,0,624810,63654769983.0,17,BID,SHORT,0.5
QQQ,2026-07-28 15:29:35.945461+00:00,CALL,674.0,2026-08-03,592992,522,6808,31,676.6,REPEATEDHITS,False,False,False,6816,586176,452036198925.0,6,BID,SHORT,0.5
