ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
SPY,2026-07-17 20:04:47.625384+00:00,CALL,744.0,2026-08-14,694537,538,2754,192,742.4,REPEATEDHITS,False,False,False,0,693245,750.828671,28,BID,SHORT,0.5
SPY,2026-07-17 20:03:17.355125+00:00,PUT,718.0,2026-07-31,851221,3073,16739,676,742.55,REPEATEDHITS,False,False,False,0,851221,750.828671,14,BID,LONG,0.5
SPY,2026-07-17 20:03:17.355125+00:00,PUT,718.0,2026-07-31,638485,2305,19044,676,742.6,REPEATEDHITS,False,False,False,0,638485,750.828671,14,BID,LONG,0.5
QQQ,2026-07-17 20:00:20.437363+00:00,CALL,700.0,2026-07-20,1412301,5122,59497,691,695.27,REPEATEDHITSDESCENDINGFILL,True,False,False,665864,444132,471587989855.0,3,ASK,LONG,1.0
SNDK,2026-07-17 19:58:23.181023+00:00,CALL,1360.0,2026-07-24,1508000,130,185,5,1350.64,REPEATEDHITS,False,False,False,0,1508000,208966495719.0,7,BID,SHORT,0.5
BE,2026-07-17 19:57:46.695786+00:00,CALL,195.0,2026-07-24,1388510,500,1753,6,211.59,REPEATEDHITSASCENDINGFILL,False,False,False,557775,317360,58803080832.0,7,ASK,LONG,1.0
NBIS,2026-07-17 19:57:05.996982+00:00,CALL,165.0,2026-07-24,661160,300,1328,42,177.585,REPEATEDHITSASCENDINGFILL,False,False,False,330000,331160,37697518166.0,7,BID,SHORT,0.5
BE,2026-07-17 19:56:44.753781+00:00,CALL,195.0,2026-07-24,720317,256,1253,6,212.445,REPEATEDHITSDESCENDINGFILL,False,False,False,2862,717455,58803080832.0,7,BID,SHORT,0.5
BE,2026-07-17 19:56:32.536579+00:00,CALL,195.0,2026-07-24,541440,188,997,6,212.46,REPEATEDHITS,False,False,False,478080,0,58803080832.0,7,ASK,LONG,1.0
NBIS,2026-07-17 19:55:33.782714+00:00,CALL,165.0,2026-07-24,637500,300,1028,42,176.505,REPEATEDHITS,False,False,False,0,38250,37697518166.0,7,BID,SHORT,0.5
SPY,2026-07-17 19:52:17.227106+00:00,CALL,665.0,2026-11-30,3366941,346,957,16,744.14,REPEATEDHITSASCENDINGFILL,False,False,False,9733,3357208,750.828671,136,BID,SHORT,0.5
SION,2026-07-17 19:49:39.229578+00:00,PUT,35.0,2026-09-18,1312500,1250,1250,2,49.49,LOWHISTORICVOLUMEFLOOR,False,True,False,1312500,0,2044858446.0,63,ASK,SHORT,1.0
LLY,2026-07-17 19:49:02.690198+00:00,PUT,1150.0,2026-08-07,547838,128,280,121,1176.215,REPEATEDHITS,False,False,False,547838,0,1101055799653.0,21,ASK,SHORT,1.0
BE,2026-07-17 19:48:28.008669+00:00,CALL,195.0,2026-07-24,1960000,700,743,6,212.025,REPEATEDHITS,False,False,False,316400,0,58803080832.0,7,ASK,LONG,1.0
AAPL,2026-07-17 19:36:49.566137+00:00,PUT,335.0,2026-07-20,2940000,7000,26742,707,332.8,REPEATEDHITS,True,False,False,0,2940000,4894708260560.0,3,BID,LONG,0.5
WMT,2026-07-17 19:33:50.559660+00:00,CALL,115.0,2026-10-16,1100850,1643,2428,892,114.46,REPEATEDHITSASCENDINGFILL,False,False,False,0,1100850,914781198867.0,91,BID,SHORT,0.5
AAPL,2026-07-17 19:29:38.804621+00:00,PUT,335.0,2026-07-20,2181820,5074,11723,707,332.71,REPEATEDHITS,False,False,False,0,2181820,4894708260560.0,3,BID,LONG,0.5
SMCI,2026-07-17 19:28:48.914600+00:00,PUT,24.0,2026-12-18,1236000,2400,3325,480,24.43,REPEATEDHITS,False,False,False,0,1236000,14843008136.0,154,BID,LONG,0.5
