ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_pattern_vol,price_pattern_candle,price_momentum,price_confirm_vol
BA,LONG,0.7041039543501222,7.041039543501222,1.98,5.8745,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",8.8,NEGATIVE,unknown,-114849680.16,195.09,250.0,180.0,28.13,7.75,529256.0,444281.0,0.839,131194.0,286353.0,376068.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16,0.83
AA,LONG,0.6122474772872593,6.122474772872593,3.39,5.6382,price_validation_failed,"confirmation_volume, not_extended, pullback_volume, room_to_target, support_ema_confluence","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",7.8,NEGATIVE,unknown,-3810796.97,,65.0,25.0,15.15,55.71,182082.0,165075.0,0.907,79672.0,55876.0,90293.0,0.0,0.32,0.73,1.6,0.24,0.0,0.09,0.4
VSAT,LONG,0.5933333333333333,5.933333333333333,4.86,5.7847,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, trend_aligned","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_continuation",6.8,NEUTRAL,unknown,,,70.0,32.0,50.89,31.02,66104.0,18489.0,0.28,27396.0,15875.0,8857.0,1.5,0.9,0.19,1.2,0.0,0.0,0.07,1.0
RVMD,LONG,0.5933333333333333,5.933333333333333,3.61,5.6497,price_validation_failed,"confirmation_volume, not_extended, pullback_volume, room_to_target, support_ema_confluence","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",8.0,NEUTRAL,unknown,,,105.0,80.0,9.63,16.48,76569.0,66014.0,0.862,27482.0,53820.0,10590.0,0.0,0.58,0.3,1.6,0.42,0.0,0.24,0.46
CORZ,LONG,0.5800000000000001,5.800000000000001,3.2,5.72,price_validation_failed,"ema_pullback, not_extended, pullback_volume, room_to_target","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",9.3,NEGATIVE,unknown,-1530640.06,15.8,25.0,14.0,58.13,11.45,1358483.0,751254.0,0.553,411183.0,499051.0,353152.0,0.0,0.7,0.34,1.2,0.4,0.0,0.29,0.26
AAP,LONG,0.5800000000000001,5.800000000000001,1.4,4.7,price_validation_failed,"not_extended, room_to_target","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",6.9,NEUTRAL,unknown,,,50.0,40.0,6.29,14.97,106885.0,36382.0,0.34,30003.0,14300.0,32619.0,0.0,0.18,0.86,0.0,0.0,0.0,0.09,0.26
GLNG,LONG,0.5472564443294652,5.472564443294652,0.0,3.2835,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GPRE,LONG,0.545280807926619,5.45280807926619,5.36,5.8344,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pullback_volume, strong_trend, trend_aligned","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.5,NEUTRAL,unknown,,,17.0,3.0,9.68,80.65,46351.0,17069.0,0.368,8012.0,2217.0,41783.0,2.14,0.85,0.0,1.2,0.13,0.0,0.34,0.7
CVI,LONG,0.5082431121387032,5.082431121387032,0.0,3.0495,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
IONQ,LONG,0.5064392826440021,5.06439282644002,3.05,4.9472,price_validation_failed,"not_extended, pullback_to_support, pullback_volume, room_to_target","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, structural_breakout, trend_aligned, trend_continuation",7.5,NEGATIVE,pullback_to_support,-2409822.61,,40.0,20.0,28.21,35.9,292765.0,300577.0,1.027,175528.0,82778.0,209816.0,0.0,0.37,0.4,1.4,0.46,0.0,0.27,0.15
ACHR,LONG,0.4550174586299671,4.550174586299671,1.75,3.8201,price_validation_failed,"confirmation_volume, not_extended, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",5.1,POSITIVE,unknown,757713.52,5.75,10.0,5.0,73.61,13.19,639768.0,150075.0,0.235,213670.0,126315.0,319723.0,0.0,0.14,1.0,0.0,0.0,0.0,0.21,0.39
HD,LONG,0.44068301301274854,4.406830130127485,2.03,4.6124,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",9.0,NEGATIVE,unknown,-119224309.8,,425.0,320.0,32.5,0.23,131479.0,122384.0,0.931,35056.0,55496.0,76574.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03,1.0
KRE,LONG,0.4383398061156126,4.383398061156126,2.3,4.5417,price_validation_failed,"momentum_aligned, not_extended, room_to_target","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",8.3,NEGATIVE,unknown,-151238779.07,,75.0,60.0,18.97,4.82,923548.0,1576874.0,1.707,496775.0,844715.0,624878.0,0.0,0.32,1.0,0.0,0.0,0.0,0.7,0.28
AGRO,LONG,0.42155706475975463,4.215570647597547,6.46,5.2658,price_validation_failed,"breakout_volume, confirmation_volume, momentum_aligned, strong_trend, trend_aligned, trend_continuation","bounce_and_fail, flag_breakout, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout",6.1,NEUTRAL,unknown,,,15.0,7.5,6.31,46.85,22099.0,3073.0,0.139,5764.0,3561.0,11531.0,2.5,0.0,0.16,1.4,0.5,0.0,1.22,0.68
USAR,LONG,0.4121972921342345,4.121972921342345,1.71,4.454,price_validation_failed,"confirmation_volume, not_extended, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",9.4,NEGATIVE,unknown,-137072.07,16.23,25.0,15.0,53.94,7.64,404405.0,188041.0,0.465,127258.0,134515.0,96426.0,0.0,0.19,0.38,0.0,0.0,0.0,0.14,1.0
CMG,LONG,0.4046433970269144,4.046433970269144,0.0,2.4279,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
SMH,LONG,0.40362189038449914,4.036218903844992,3.79,4.3751,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pullback_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",6.1,NEGATIVE,unknown,-18302415.55,,400.0,300.0,3.97,22.03,455154.0,879723.0,1.933,310560.0,276866.0,259892.0,0.0,0.52,0.98,1.2,0.3,0.0,0.31,0.49
JBL,LONG,0.396428139794654,3.9642813979465403,5.19,4.7591,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned","bounce_and_fail, breakout_volume, flag_breakout, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_continuation",6.1,NEUTRAL,unknown,,,300.0,240.0,18.28,5.37,32086.0,28445.0,0.887,12080.0,4265.0,13711.0,1.3,0.88,0.0,1.6,0.0,0.0,0.72,0.68
GLXY,LONG,0.3866205215788709,3.866205215788709,0.0,2.3197,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
RKLB,LONG,0.38346530417960883,3.8346530417960882,3.45,4.4923,price_validation_failed,"confirmation_volume, not_extended, room_to_target, support_ema_confluence","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",7.7,NEGATIVE,unknown,-1182714.03,67.3,100.0,7.0,48.74,89.59,484326.0,345492.0,0.713,238244.0,40607.0,383762.0,0.0,0.66,0.34,1.6,0.0,0.0,0.1,0.75
AAOI,LONG,0.3772784877025362,3.772784877025362,0.0,2.2637,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
DDOG,LONG,0.37460560741783694,3.7460560741783695,4.66,4.371,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pullback_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",5.5,POSITIVE,unknown,446419.86,125.08,150.0,95.0,19.92,24.05,157136.0,137184.0,0.873,71325.0,56997.0,78754.0,0.0,0.93,0.99,1.2,0.5,0.0,0.09,0.96
WULF,LONG,0.36537833087926963,3.653783308792696,4.46,4.4449,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pullback_volume, trend_aligned","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, room_to_target, structural_breakout, trend_continuation",6.4,POSITIVE,unknown,11841373.45,15.12,20.0,11.0,32.45,27.15,1285698.0,775392.0,0.603,443760.0,501692.0,572500.0,1.28,0.92,0.0,1.2,0.33,0.0,0.39,0.34
SQQQ,LONG,0.3567748855204279,3.567748855204279,4.68,4.6079,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, pullback_volume, trend_aligned","breakout_volume, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.1,NEUTRAL,bounce_and_fail,,,90.0,65.0,12.15,19.0,159466.0,81567.0,0.512,91644.0,33503.0,29955.0,1.71,0.03,0.0,1.0,0.35,0.0,1.31,0.27
CRWD,LONG,0.3438577394584664,3.438577394584664,0.0,2.0631,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
ULTA,LONG,0.3425,3.4250000000000003,0.0,2.055,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
VST,LONG,0.33773796053244254,3.3773796053244256,0.0,2.0264,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
UVXY,LONG,0.3367810987489566,3.367810987489566,5.46,4.7619,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, pullback_volume, strong_trend, trend_aligned","breakout_volume, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.2,NEUTRAL,bounce_and_fail,,,75.0,35.0,38.63,35.3,161251.0,87246.0,0.541,96040.0,54969.0,28278.0,2.1,0.24,0.1,1.0,0.43,0.0,1.32,0.27
CRK,LONG,0.330521147057948,3.30521147057948,5.16,4.7406,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, pullback_volume, trend_aligned","bounce_and_fail, breakout_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.7,NEUTRAL,unknown,,,35.0,8.0,61.36,63.12,47991.0,24541.0,0.511,4998.0,16815.0,36552.0,1.29,0.54,0.0,1.2,0.3,0.0,0.94,0.89
ALAB,LONG,0.33,3.3000000000000003,0.0,1.98,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
MU,LONG,0.3294213229704274,3.2942132297042743,0.0,1.9765,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
MRVL,LONG,0.32096921130424405,3.2096921130424407,0.0,1.9258,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
FCX,LONG,0.307267476554338,3.07267476554338,1.53,3.7553,price_validation_failed,room_to_target,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",8.8,NEGATIVE,unknown,-5046156.16,,65.0,35.0,24.78,32.81,749348.0,663996.0,0.886,144250.0,349865.0,507848.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.28
CRM,LONG,0.30725518412279607,3.072551841227961,0.0,1.8435,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
TEM,LONG,0.30476455385811085,3.0476455385811088,0.0,1.8286,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
OPEN,LONG,0.2969485746149083,2.969485746149083,3.64,3.8567,price_validation_failed,"not_extended, pullback_volume, room_to_target, support_ema_confluence","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",6.4,POSITIVE,unknown,1394038.83,4.92,7.0,4.0,42.57,18.53,615813.0,212161.0,0.345,159344.0,176468.0,312440.0,0.0,0.74,0.46,1.6,0.5,0.0,0.19,0.15
DVA,LONG,0.29002676202406846,2.9002676202406845,5.58,4.0641,price_validation_failed,"not_extended, pullback_volume, support_ema_confluence, trend_aligned","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, pullback_to_support, room_to_target, structural_breakout, trend_continuation",4.7,NEUTRAL,unknown,,,160.0,110.0,7.16,26.33,15242.0,21495.0,1.41,2978.0,16.0,15361.0,1.79,0.96,0.09,1.6,0.34,0.0,0.49,0.3
DAL,LONG,0.2892160807095799,2.8921608070957987,0.0,1.7353,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GS,LONG,0.2856766190476191,2.8567661904761907,0.0,1.7141,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
SBUX,LONG,0.27597803780572894,2.7597803780572896,0.0,1.6559,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
VRT,LONG,0.27289311326920695,2.7289311326920695,0.0,1.6374,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GOOG,LONG,0.2683724198669805,2.6837241986698053,0.0,1.6102,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
META,LONG,0.26690846626959325,2.6690846626959326,1.92,3.7905,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",9.4,NEGATIVE,unknown,-162388.63,593.42,700.0,500.0,17.91,15.78,1424810.0,921015.0,0.646,397445.0,664060.0,859859.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19,0.73
PLTR,LONG,0.2663794285714286,2.6637942857142862,0.0,1.5983,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
ZS,LONG,0.26197399022214574,2.6197399022214576,0.0,1.5718,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
SCHW,LONG,0.2609401552051197,2.609401552051197,0.0,1.5656,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
CEG,LONG,0.2600393886833568,2.600393886833568,1.27,3.0612,price_validation_failed,"confirmation_volume, not_extended","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",6.9,NEUTRAL,unknown,,,310.0,200.0,9.93,29.08,99079.0,122560.0,1.237,31438.0,84007.0,57088.0,0.0,0.14,0.1,0.0,0.0,0.0,0.14,0.89
EBAY,LONG,0.25437115482271067,2.5437115482271064,4.49,3.2989,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pullback_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",3.4,NEUTRAL,unknown,,,90.0,80.0,1.15,10.09,78887.0,77005.0,0.976,23542.0,18869.0,41570.0,0.0,0.79,0.95,1.2,0.37,0.0,0.17,1.0
CDE,LONG,0.2502364866460742,2.502364866460742,1.83,3.0202,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, structural_breakout, trend_aligned, trend_continuation",6.1,POSITIVE,unknown,607818.34,17.66,30.0,17.5,69.78,0.96,389598.0,98628.0,0.253,53458.0,120024.0,179829.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21,0.62
AEM,LONG,0.24518294000000002,2.4518294000000003,0.0,1.4711,weak_bullish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pullback_to_support, pullback_volume, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
CVI,SHORT,0.6183333333333334,6.183333333333334,1.94,4.8737,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, structural_breakdown, trend_aligned, trend_continuation",6.0,NEUTRAL,unknown,,,35.0,25.0,3.49,26.08,25564.0,9922.0,0.388,9509.0,2463.0,9315.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.79
RVMD,SHORT,0.6066155877825912,6.066155877825912,0.0,3.6397,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
PL,SHORT,0.5598326154011876,5.598326154011875,2.29,4.3662,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, structural_breakdown, trend_aligned, trend_continuation",4.4,POSITIVE,unknown,1346110.36,33.84,35.0,15.0,3.46,55.66,155861.0,96208.0,0.617,67937.0,31615.0,97070.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29,1.0
CRM,SHORT,0.5469110290850058,5.4691102908500575,0.0,3.2815,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
LYV,SHORT,0.5403184565682556,5.403184565682556,5.18,5.6156,price_validation_failed,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target","bounce_and_fail, breakout_volume, pullback_to_resistance, pullback_volume, structural_breakdown, trend_aligned, trend_continuation",6.8,NEUTRAL,flag_breakdown,,,180.0,120.0,20.93,19.38,76306.0,84698.0,1.11,22345.0,17116.0,93789.0,0.0,0.31,0.64,1.6,0.0,0.49,1.42,0.72
DAL,SHORT,0.5105548161671066,5.1055481616710665,5.83,5.8418,price_validation_failed,"not_extended, pullback_volume, retest_and_confirm, room_to_target, trend_aligned","bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, pullback_to_resistance, structural_breakdown, trend_continuation",7.7,NEGATIVE,unknown,-9121908.55,,70.0,60.0,10.34,5.42,534488.0,384540.0,0.719,332919.0,201759.0,168535.0,1.66,0.96,0.93,1.4,0.11,0.0,0.52,0.24
CMG,SHORT,0.5074469337506415,5.074469337506415,4.98,5.7712,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, pullback_volume, trend_aligned","breakout_volume, flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown, trend_continuation",8.7,NEGATIVE,bounce_and_fail,-20873567.94,,40.0,27.5,19.87,17.59,549899.0,495953.0,0.902,118249.0,270210.0,385496.0,1.74,0.39,0.12,1.0,0.17,0.0,0.9,0.66
BA,SHORT,0.5070463206350906,5.070463206350906,0.0,3.0423,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GLNG,SHORT,0.5015757964129484,5.015757964129484,0.0,3.0095,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GPRE,SHORT,0.49324469314955033,4.9324469314955035,0.0,2.9595,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
ULTA,SHORT,0.47294632468686065,4.729463246868606,5.1,5.0947,price_validation_failed,"breakout_volume, momentum_aligned, strong_trend, trend_aligned, trend_continuation","bounce_and_fail, confirmation_volume, flag_breakdown, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown",6.0,NEUTRAL,unknown,,,640.0,500.0,20.76,5.66,34257.0,23563.0,0.688,13921.0,8954.0,15258.0,2.35,0.0,0.04,1.4,0.06,0.2,0.72,0.33
VSAT,SHORT,0.46963623177841624,4.696362317784162,0.0,2.8178,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
NEXT,SHORT,0.4604792466666667,4.604792466666667,2.47,3.5634,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, breakout_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, structural_breakdown, trend_aligned, trend_continuation",2.6,POSITIVE,unknown,915959.26,7.32,15.0,7.0,104.64,4.5,197947.0,71428.0,0.361,90441.0,21595.0,130363.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47,1.0
RKLB,SHORT,0.45069091778936704,4.506909177893671,0.0,2.7041,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
LVS,SHORT,0.4389491241567581,4.389491241567581,6.01,5.4777,price_validation_failed,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, trend_aligned","bounce_and_fail, breakout_volume, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_continuation",7.4,NEUTRAL,flag_breakdown,,,55.0,45.0,3.91,14.98,127311.0,69565.0,0.546,18544.0,62143.0,35612.0,1.61,0.45,0.09,1.6,0.0,0.24,1.25,0.76
ZS,SHORT,0.43405804217662486,4.340580421766249,5.83,5.3393,price_validation_failed,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target, trend_aligned","bounce_and_fail, breakout_volume, pullback_to_resistance, pullback_volume, structural_breakdown, trend_continuation",7.1,NEUTRAL,flag_breakdown,,,200.0,120.0,32.04,20.78,92538.0,70945.0,0.767,20848.0,37664.0,61430.0,1.81,0.56,0.3,1.6,0.0,0.0,1.15,0.41
AAP,SHORT,0.43,4.3,0.0,2.58,weak_bearish_flow,none,"bounce_and_fail, breakout_volume, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pullback_to_resistance, pullback_volume, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
