ticker,direction,flow_score_raw,flow_score_scaled,price_score,reject_reason,checks_passed,checks_failed
GLNG,LONG,0.8895403222205508,10.0,6,price_validation_failed,"confirmation_volume, pullback_to_ema, trend_aligned","bullish_rejection_wick, bullish_strong_close, healthy_pullback_volume, not_extended, pullback_to_support"
SPY,LONG,0.6458467373950418,6.365712137431983,0,weak_bullish_flow,none,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_support, trend_aligned"
NEM,LONG,0.5820767861117174,5.41468849800592,3,price_validation_failed,"confirmation_volume, pullback_to_support","bullish_rejection_wick, bullish_strong_close, healthy_pullback_volume, not_extended, pullback_to_ema, trend_aligned"
NFLX,LONG,0.5737411892982613,5.290376820502815,7,price_validation_failed,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","pullback_to_support, trend_aligned"
SLV,LONG,0.5728344106542276,5.276853712693443,4,price_validation_failed,"confirmation_volume, healthy_pullback_volume, pullback_to_support","bullish_rejection_wick, bullish_strong_close, not_extended, pullback_to_ema, trend_aligned"
TQQQ,LONG,0.566309878548345,5.179551078082349,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support","bullish_rejection_wick, bullish_strong_close, pullback_to_ema, trend_aligned"
SOXS,LONG,0.5585883793412673,5.064397653468383,5,price_validation_failed,"healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, bullish_strong_close, confirmation_volume, pullback_to_support, trend_aligned"
TSM,LONG,0.5391771203645117,4.774910743310694,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support","bullish_rejection_wick, bullish_strong_close, pullback_to_ema, trend_aligned"
ORCL,LONG,0.5335624550192845,4.691177270674756,0,weak_bullish_flow,none,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_support, trend_aligned"
BMNR,LONG,0.515563297445754,4.422749523786099,7,price_validation_failed,"bullish_rejection_wick, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_strong_close, pullback_to_support, trend_aligned"
USAR,LONG,0.49221130912344724,4.074493135390167,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, bullish_strong_close, pullback_to_support, trend_aligned"
CRM,LONG,0.4252044296304919,3.075196050798574,6,price_validation_failed,"bullish_strong_close, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, confirmation_volume, pullback_to_support, trend_aligned"
NOW,LONG,0.34363379175143954,1.8587045317541244,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, bullish_strong_close, pullback_to_support, trend_aligned"
HOOD,LONG,0.2190001943031294,0.0,0,weak_bullish_flow,none,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_support, trend_aligned"
XLI,SHORT,0.8603456014778575,10.0,4,price_validation_failed,"confirmation_volume, healthy_pullback_volume, pullback_to_ema","bearish_rejection_wick, bearish_strong_close, not_extended, pullback_to_resistance, trend_aligned"
SPY,SHORT,0.7555382868648509,8.493055543790764,0,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_resistance, trend_aligned"
XLU,SHORT,0.6411175759726384,6.847887393159209,5,price_validation_failed,"bearish_strong_close, confirmation_volume, healthy_pullback_volume, pullback_to_resistance","bearish_rejection_wick, not_extended, pullback_to_ema, trend_aligned"
CIA,SHORT,0.5553405761470825,5.614565321749694,7,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, trend_aligned","bearish_rejection_wick, bearish_strong_close, pullback_to_ema, pullback_to_resistance"
PLTR,SHORT,0.528953254776247,5.235162149358353,6,price_validation_failed,"bearish_strong_close, healthy_pullback_volume, not_extended, pullback_to_ema","bearish_rejection_wick, confirmation_volume, pullback_to_resistance, trend_aligned"
TLT,SHORT,0.5196761611952879,5.101773894987168,8,price_validation_failed,"bearish_strong_close, confirmation_volume, healthy_pullback_volume, pullback_to_ema, trend_aligned","bearish_rejection_wick, not_extended, pullback_to_resistance"
HIMS,SHORT,0.47448206662081643,4.451962471768583,6,price_validation_failed,"bearish_strong_close, healthy_pullback_volume, not_extended, pullback_to_ema","bearish_rejection_wick, confirmation_volume, pullback_to_resistance, trend_aligned"
CRM,SHORT,0.4537308490385233,4.153596537952858,0,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_resistance, trend_aligned"
HPQ,SHORT,0.18314581439971733,0.2630606589663139,8,price_validation_failed,"healthy_pullback_volume, not_extended, pullback_to_ema, trend_aligned","bearish_rejection_wick, bearish_strong_close, confirmation_volume, pullback_to_resistance"
MU,LONG,6.8227394011081,6.8227394011081,8,watchlist_reeval_failed,"confirmation_volume, not_extended, pullback_to_ema, trend_aligned","bullish_rejection_wick, bullish_strong_close, healthy_pullback_volume, pullback_to_support"
