ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
SEI,LONG,0.5734305406662672,5.734305406662672,4.99,5.4442,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.4,NEUTRAL,retest_and_confirm,,,100.0,30.0,57.9,52.63,52077.0,29228.0,0.561,30859.0,8360.0,42086.0,0.5,0.742,0.0,0.67,1.0,1.4,1.92,0.0,False,default,2.5,False,1,1.0,99.0,0.000129,0.0,432545.1284929542,0.0,6.023392,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4.4e-05,0.0,0.400047,0.0,0.0,0.0,1.0,0.5734305406662672,0.5734305406662672,n/a,2026-08-14,2026-08-14,False,
BIRK,LONG,0.5065163738543761,5.065163738543761,4.32,4.8686,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,5.2,NEUTRAL,ema_pullback,,,45.0,27.5,14.21,30.2,15718.0,72777.0,4.63,29530.0,48281.0,10684.0,7.5,0.431,0.0,0.87,0.38,1.2,0.87,1.0,False,default,2.5,False,1,1.0,99.0,0.000135,0.0,2541.1261711065827,0.0,1842.235294,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.02616,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-14,2026-08-14,False,
BNO,LONG,0.45896438668726924,4.589643866872692,6.01,5.4178,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.6,POSITIVE,retest_and_confirm,7667688.85,50.58,60.0,50.0,18.62,1.15,314612.0,30352.0,0.096,91350.0,145758.0,107856.0,32.8,0.498,1.68,0.8,0.54,1.4,1.59,0.0,False,sustained_trend,5.0,False,6,1.0,15.85878971600409,0.014792,0.008102,0.0006812160921508036,2.1477556117140078e-05,1070.00935,0,0,0.0,0.072319,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.52239,0.46446,0.0,0.0,1.0,0.45896438668726924,0.45896438668726924,n/a,2026-08-14,2026-08-14,False,171.947854
NOK,LONG,0.43589681990545565,4.358968199054557,4.91,4.9925,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.7,POSITIVE,retest_and_confirm,15915461.14,10.79,15.0,10.0,39.02,7.32,2957105.0,1046657.0,0.354,749959.0,1095243.0,2158560.0,50.7,0.604,0.0,0.55,1.0,1.4,1.87,0.09,False,default,2.5,False,7,1.0,99.0,7.8e-05,9e-06,1.1004128267747836e-14,1.1914779926671073e-21,8.00213,0,0,0.602158,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.293267,0.266689,0.0,0.0,1.0,0.43589681990545565,0.43589681990545565,n/a,2026-08-14,2026-08-14,False,1.332458
ABVX,LONG,0.4201384721984219,4.201384721984219,2.47,4.0617,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.1,NEUTRAL,ema_pullback,,,200.0,60.0,68.86,49.34,120936.0,49475.0,0.409,80226.0,20291.0,69894.0,12.9,0.67,0.0,0.48,0.49,1.2,0.06,0.24,False,default,2.5,False,4,1.0,1.6952570362034882,0.000291,0.000163,3.1979930147300336e-49,5.659306429233719e-49,10.020761,1,0,0.441379,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558737,0.551194,0.0,0.0,1.0,0.4201384721984219,0.4201384721984219,n/a,2026-08-14,2026-08-14,False,10.844291
RMBS,LONG,0.4172950528554392,4.172950528554392,4.52,4.7225,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.4,NEUTRAL,ema_pullback,,,150.0,100.0,49.51,0.33,33607.0,27525.0,0.819,35782.0,8135.0,17215.0,20.0,0.684,0.0,0.97,1.0,1.2,1.35,0.0,False,default,2.5,False,1,0.7,99.0,4.2e-05,0.0,327497.03367476974,0.0,4.539062,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.5e-05,0.0,0.48294,0.0,0.0,0.0,1.0,0.4172950528554392,0.4172950528554392,n/a,2026-08-14,2026-08-14,False,
TPL,LONG,0.3947340023450771,3.947340023450771,4.16,4.5217,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.5,NEUTRAL,bounce_and_fail,,,560.0,300.0,55.86,16.5,17558.0,12956.0,0.738,4040.0,17064.0,9410.0,18.2,0.443,0.0,0.63,1.0,1.0,1.43,0.1,False,default,2.5,False,1,1.0,99.0,2.3e-05,0.0,1.427164988305063e-20,0.0,8.111111,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.819098,0.0,0.0,0.0,1.0,0.3947340023450771,0.3947340023450771,n/a,2026-08-14,2026-08-14,False,
CW,LONG,0.3911528995119631,3.911528995119631,3.56,4.7038,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",8.4,NEUTRAL,pullback_to_support,,,790.0,610.0,13.26,12.55,1523.0,1489.0,0.978,899.0,1063.0,1050.0,45.2,0.396,0.0,0.71,0.64,1.4,0.71,0.11,False,default,2.5,False,2,1.0,1.8892126993287256e-13,2.1e-05,1.2e-05,2.7951715634160015e-20,1.479543073370818e-07,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.766599,0.844174,0.0,0.0,1.0,0.3911528995119631,0.3911528995119631,n/a,2026-08-14,2026-08-14,False,3.333333
STX,LONG,0.3735992750456531,3.735992750456531,6.49,4.935,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.6,NEGATIVE,trend_continuation,-1292230.49,972.06,1000.0,500.0,2.85,48.58,118156.0,166641.0,1.41,79948.0,59185.0,145664.0,17.0,0.72,1.59,0.7,0.73,1.4,1.82,0.25,False,sustained_trend,5.0,False,10,1.0,99.0,2.2e-05,2e-06,50818.79138812026,0.0006669373188490425,15.761725,1,0,0.000231,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.16997,0.046979,0.0,0.0,1.0,0.3735992750456531,0.3735992750456531,n/a,2026-08-14,2026-08-14,False,5.472222
COST,LONG,0.37175787117916553,3.7175787117916554,4.14,3.6408,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",2.7,POSITIVE,ema_pullback,51435983.79,960.51,1000.0,900.0,4.15,6.26,160908.0,203488.0,1.265,175133.0,71906.0,117357.0,11.7,0.2,0.0,0.77,0.51,1.2,1.66,0.0,False,default,2.5,False,5,1.0,99.0,1.2e-05,0.0,9406.88960430387,0.0,2.845185,2,0,0.04091,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.415256,0.0,0.0,0.0,1.0,0.37175787117916553,0.37175787117916553,n/a,2026-08-14,2026-08-14,False,
NXPI,LONG,0.36512248395621205,3.6512248395621203,2.98,4.2596,price_validation_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",7.7,NEUTRAL,bounce_and_fail,,,350.0,210.0,49.85,10.09,99301.0,34252.0,0.345,20005.0,26763.0,86785.0,25.5,0.416,0.0,0.54,1.0,1.0,0.43,0.0,False,default,2.5,False,2,1.0,99.0,2.2e-05,6e-06,1.5605155578565185e-23,5.649548130793729e-29,2.3,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.060541,0.374462,0.0,0.0,1.0,0.36512248395621205,0.36512248395621205,n/a,2026-08-14,2026-08-14,False,1.207493
