ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
PWR,LONG,0.6219487032122122,6.219487032122122,4.39,5.3867,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.8,NEUTRAL,bounce_and_fail,,,700.0,540.0,9.12,15.82,13526.0,18316.0,1.354,14507.0,5221.0,12114.0,99.0,0.584,0.0,0.68,1.0,1.0,1.71,0.0,False,default,2.5,False,16,1.0,99.0,6.7e-05,2.9e-05,0.0033918027489573347,1.111600938234317e-19,42.459607,47.4375,0,0,0.001301,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.556559,0.492874,0.0,0.0,1.0,0.6219487032122122,0.6219487032122122,n/a,2026-07-22,2026-07-22,False
KORU,LONG,0.4632210545666476,4.632210545666476,0.0,2.7793,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,1.198217136239472,0.00084,0.000912,65175.80192289762,36262.65499059028,7.800127,9.420738,1,2,0.38531,0.408256,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,1e-06,0.009363,0.014782,0.0,0.0,,,,,,,False
CAT,LONG,0.4115660167697949,4.115660167697949,5.04,4.7298,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.8,NEGATIVE,retest_and_confirm,-879769.86,,1000.0,600.0,11.26,33.24,125986.0,131078.0,1.04,97530.0,56351.0,103183.0,98.8,0.53,0.0,0.73,1.0,1.4,1.9,0.01,False,default,2.5,False,7,1.0,99.0,2.8e-05,6e-06,48754.367042330676,2.3922456581047777,45.359608,14.961538,1,0,0.494776,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.490766,0.15189,0.0,0.0,1.0,0.4115660167697949,0.4115660167697949,n/a,2026-07-22,2026-07-22,False
IBM,LONG,0.3929612109165532,3.9296121091655323,2.94,4.1068,price_validation_failed,"bounce_and_fail, momentum_aligned, room_to_target","confirmation_volume, not_extended, trend_aligned",6.3,NEGATIVE,bounce_and_fail,-28523119.64,,300.0,200.0,42.81,4.79,424330.0,322499.0,0.76,302798.0,146878.0,297153.0,85.0,0.488,0.0,0.0,1.0,1.0,0.73,0.22,True,default,2.5,False,7,1.0,99.0,4.8e-05,1.4e-05,29496.17491538626,0.07722877793953278,133.733538,2.264955,1,0,1.6e-05,0.423482,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.384863,0.499282,0.0,0.0,1.0,0.3929612109165532,0.3929612109165532,n/a,2026-07-22,2026-07-22,False
GLD,LONG,0.3634492205090065,3.634492205090065,5.42,4.6432,price_validation_failed,"confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,6.0,POSITIVE,unknown,191990685.58,381.64,550.0,350.0,44.1,8.3,2454390.0,1206630.0,0.492,600205.0,1280934.0,1779881.0,18.9,0.218,0.0,0.74,1.0,1.2,1.97,0.5,False,consolidation_break,3.0,False,2,1.0,99.0,0.0,0.0,25046.399144682382,0.0,23.782609,,0,0,0.458807,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.358537,0.0,0.0,0.0,1.0,0.3634492205090065,0.3634492205090065,n/a,2026-07-22,2026-07-22,False
NXPI,LONG,0.3575130584513155,3.575130584513155,5.1,4.4176,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.5,NEUTRAL,retest_and_confirm,,,320.0,210.0,15.36,24.3,33045.0,23835.0,0.721,14070.0,16606.0,26204.0,100.0,0.708,0.0,0.88,1.0,1.4,1.82,0.0,False,default,2.5,False,1,1.0,99.0,1.8e-05,0.0,124196.40603325302,0.0,2.3,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.060541,0.0,0.0,0.0,1.0,0.3575130584513155,0.3575130584513155,n/a,2026-07-22,2026-07-22,False
CVX,LONG,0.35505926655222086,3.550592665522209,5.25,3.9303,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",2.9,POSITIVE,trend_continuation,113293919.73,192.22,200.0,170.0,4.01,11.59,304932.0,202800.0,0.665,149695.0,125387.0,232650.0,89.3,0.302,2.01,0.0,0.0,1.4,1.76,0.09,True,default,2.5,True,4,1.0,99.0,9e-06,0.0,2.7163030176730866e-05,0.0,12.904649,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.437786,0.0,0.0,0.0,1.0,0.35505926655222086,0.35505926655222086,n/a,2026-07-22,2026-07-22,False
MA,LONG,0.32682234969660806,3.2682234969660806,3.87,3.5551,price_validation_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",3.8,NEUTRAL,unknown,,,550.0,450.0,2.58,16.07,66951.0,62838.0,0.939,31983.0,28522.0,69284.0,89.3,0.288,2.25,0.71,0.68,0.0,0.22,0.0,False,default,2.5,False,3,0.7,3.634283924758998e-11,5e-06,2e-06,4.936814941726768e-14,0.0027168020132351907,13.721175,35.666667,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.538884,0.550388,0.0,0.0,1.0,0.32682234969660806,0.32682234969660806,n/a,2026-07-22,2026-07-22,False
SOXX,LONG,0.32180497697260585,3.2180497697260586,0.0,1.9308,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,2.181832439657994,3.9e-05,0.000126,15292.815069922886,21027.483309836654,8.398519,53.567568,0,0,0.450982,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.000413,0.124029,0.0,0.0,,,,,,,False
JBL,LONG,0.32168511040729414,3.2168511040729415,4.66,4.0464,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.2,NEUTRAL,bounce_and_fail,,,400.0,230.0,24.05,28.67,20666.0,16671.0,0.807,9520.0,5013.0,22804.0,80.7,0.607,0.0,0.76,1.0,1.0,1.9,0.0,False,default,2.5,False,1,1.0,99.0,2e-05,0.0,2297.5319900394493,0.0,5.454545,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.484369,0.0,0.0,0.0,1.0,0.32168511040729414,0.32168511040729414,n/a,2026-07-22,2026-07-22,False
MSTR,LONG,0.31911962890012924,3.1911962890012924,4.69,3.8026,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.0,NEGATIVE,trend_continuation,-10355479.31,99.05,100.0,50.0,0.94,49.53,1276107.0,1210032.0,0.948,950513.0,426575.0,1109051.0,80.6,0.818,0.0,0.93,1.0,1.4,1.24,0.13,False,default,2.5,False,2,1.0,99.0,4.4e-05,0.0,0.048803719130227366,0.0,2.056589,,0,0,0.406679,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.004944,0.0,0.0,0.0,1.0,0.31911962890012924,0.31911962890012924,n/a,2026-07-22,2026-07-22,False
CCJ,LONG,0.30041850458516306,3.0041850458516306,0.0,1.8025,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,2.6e-05,2.3e-05,3.239800760904386e-06,3.73660613031038e-20,1048.05,3250.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.023731,0.008844,0.0,0.0,,,,,,,False
TWLO,LONG,0.3000273092571919,3.000273092571919,1.7,2.9901,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",4.9,NEUTRAL,unknown,,,220.0,130.0,19.16,29.59,42919.0,29004.0,0.676,23674.0,14611.0,33638.0,97.0,0.801,0.0,0.29,1.0,0.0,0.03,0.38,False,default,2.5,False,1,1.0,99.0,2e-05,0.0,5.145733129248982e-13,0.0,3.970297,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.188837,0.0,0.0,0.0,1.0,0.3000273092571919,0.3000273092571919,n/a,2026-07-22,2026-07-22,False
CNC,LONG,0.29787266589780415,2.9787266589780415,5.94,4.1114,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.2,POSITIVE,trend_continuation,2284829.0,66.88,70.0,20.0,4.68,70.09,211534.0,87489.0,0.414,32362.0,61345.0,205316.0,77.7,0.56,1.81,0.92,0.22,1.4,1.51,0.08,False,sustained_trend,5.0,False,1,1.0,99.0,1.1e-05,0.0,6.127305690180879e-23,0.0,5.386885,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.499716,0.0,0.0,0.0,1.0,0.29787266589780415,0.29787266589780415,n/a,2026-07-22,2026-07-22,False
