ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
RIVN,LONG,0.4432761917986709,4.432761917986709,4.12,4.6124,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",5.8,POSITIVE,support_ema_confluence,9746778.91,16.07,20.0,5.0,24.49,68.88,1062741.0,1069126.0,1.006,395412.0,406139.0,1330316.0,0.0,0.78,0.34,1.6,1.09,0.31,4.411898678267038,2.0,1.0,8.823797356534076,0.000355,5.4e-05,17028.015037346166,1929.7831023665583,5.974737,0.067872,0.0,1.0,0.0,0.0,,,,
META,LONG,0.4163811512956308,4.163811512956308,0.0,2.4983,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,71.11201599222996,14.0,1.0,0.43312670158189515,0.00022,0.000555,137568.42493153727,176453.91628041246,0.287905,1.846968,0.0,1.0,0.267774,0.234455,,,,
GOOG,LONG,0.41586088682329625,4.158608868232962,0.0,2.4952,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,5.1736618053880745,21.0,1.0,0.07991387371659844,0.000185,0.000617,12036.786728868354,60248.79620554928,0.137086,4.77954,5.0,9.0,0.710882,0.609191,,,,
UPRO,LONG,0.40282183235938823,4.028218323593882,0.0,2.4169,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,90.96169460226902,5.0,1.0,0.005509821308670209,0.000165,0.000338,148.2753858356418,17940.73740072319,72.9,29.894737,1.0,2.0,0.45372,0.007801,,,,
UBER,LONG,0.39681344868061763,3.9681344868061763,0.0,2.3809,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,215634075.0385845,14.0,1.0,0.011655974057872696,0.000601,0.000554,631.8137685709736,198752.1997953934,0.229741,1.018694,0.0,0.0,0.078818,0.0,,,,
ADBE,LONG,0.39255095999534595,3.9255095999534593,0.0,2.3553,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,39.675234799187145,17.0,1.0,0.4606326739772908,0.000503,0.00105,2503.6462236870116,4831.3188266226325,0.25579,0.329775,1.0,1.0,0.4014,0.692295,,,,
ASTS,LONG,0.3817306859973082,3.817306859973082,6.34,5.5507,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target,8.7,NEGATIVE,retest_and_confirm,-1041947.63,96.9,150.0,80.0,54.85,17.42,501652.0,250801.0,0.5,236367.0,143680.0,372406.0,1.51,0.63,0.0,1.4,1.79,1.0,0.919774788817145,6.0,1.0,5.96686917242256,0.000495,7.7e-05,116782.69448484005,39143.70873910951,0.055027,0.037109,0.0,0.0,0.654307,0.441979,,,,
DUOL,LONG,0.3635857502020221,3.635857502020221,0.0,2.1815,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.71,0.0,0.0,0.0,0.0,18.72573816216521,2.0,1.0,99.0,0.00016,0.0,1083.3055055213288,0.0,29.69666,,0.0,0.0,0.050695,0.0,,,,
SDOW,LONG,0.3503696423371648,3.5036964233716477,5.06,4.2698,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned","continuation_pattern, momentum_aligned",5.0,NEUTRAL,unknown,,,36.0,20.0,3.05,42.75,8955.0,10463.0,1.168,5680.0,3466.0,10272.0,2.52,0.65,0.57,0.0,0.32,1.0,16.513576455809794,2.0,1.0,33.02715291161959,0.000276,8.3e-05,84350.5556221304,2553.9759920527167,0.612462,0.324111,0.0,0.0,0.0,0.0,,,,
XLK,LONG,0.34369090020240517,3.4369090020240516,0.0,2.0621,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,25.949188454168358,11.0,1.0,0.12297335292628167,0.000141,0.000286,996.6664844741829,6753.946151459132,1.135914,7.987715,2.0,3.0,0.559312,0.431438,,,,
