ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi
TEM,SHORT,0.284609765029201,2.84609765029201,6.43,4.732,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.9,NEGATIVE,trend_continuation,-3551272.29,,70.0,45.0,51.65,2.51,207467.0,135577.0,0.653,78253.0,78849.0,185942.0,30.5,0.693,1.81,0.73,0.37,1.4,1.56,0.55,False,sustained_trend,5.0,False,1,1.0,0.0,0.0,7.4e-05,0.0,2.477363060925507e-20,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.604367,0.0,0.0,1.0,0.284609765029201,0.284609765029201,n/a,2026-05-13,2026-05-13,,,,,,2.709402
BE,SHORT,0.2808897251513651,2.808897251513651,3.03,3.4334,watchlist_reeval_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",5.6,POSITIVE,trend_continuation,2810779.8,298.41,300.0,75.0,0.4,74.9,379365.0,443635.0,1.169,273260.0,235129.0,314611.0,34.3,1.077,0.0,0.28,1.0,1.4,0.15,0.2,False,default,2.5,False,5,1.0,99.0,2.3e-05,4.5e-05,1724.7296265830907,1.8585120110242792,1.940484,2,1,0.456576,5.2e-05,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.167876,0.296827,0.0,0.0,1.0,0.2808897251513651,0.2808897251513651,n/a,2026-05-13,2026-05-13,,,,,,6.232361
XOP,SHORT,0.2645469931059138,2.6454699310591376,3.64,3.7347,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.6,NEGATIVE,ema_rally,-11269676.88,,180.0,165.0,6.37,2.49,185079.0,394584.0,2.132,179367.0,243604.0,156692.0,71.5,0.332,0.0,0.89,1.0,1.2,0.48,0.07,False,default,2.5,False,1,1.0,0.0,0.0,0.0,0.0,9308713.64163288,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.420457,0.0,0.0,1.0,0.2645469931059138,0.2645469931059138,n/a,2026-05-13,2026-05-13,,,,,,10.311456
WFC,SHORT,0.24855713373550906,2.4855713373550907,5.81,4.5458,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",7.8,NEGATIVE,trend_continuation,-82582359.07,,85.0,70.0,14.52,5.69,498570.0,701439.0,1.407,263551.0,390518.0,545940.0,77.6,0.319,2.13,0.6,0.07,1.4,1.56,0.05,False,sustained_trend,5.0,False,2,0.7,0.4281745275884864,1e-06,2e-06,0.22215926259972227,0.5188521228736824,3.451677,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.436928,0.373079,0.0,0.0,1.0,0.24855713373550906,0.24855713373550906,n/a,2026-05-13,2026-05-13,,,,,,2.821308
XLE,SHORT,0.18082455509565998,1.8082455509565998,3.33,3.5031,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.0,NEGATIVE,ema_rally,-61200522.93,,60.0,55.0,3.61,5.03,1961284.0,3212992.0,1.638,692579.0,1745438.0,2736259.0,69.7,0.266,0.0,0.89,1.0,1.2,0.15,0.09,False,default,2.5,False,1,0.7,0.0,0.0,0.0,0.0,0.011738710011257168,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.382285,0.0,0.0,1.0,0.18082455509565998,0.18082455509565998,n/a,2026-05-13,2026-05-13,,,,,,1.53821
HCA,LONG,0.3321640483702622,3.321640483702622,4.32,4.1768,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",6.1,NEUTRAL,trend_continuation,,,540.0,380.0,25.0,12.04,20401.0,19558.0,0.959,7736.0,13632.0,18591.0,71.5,0.31,0.0,0.62,1.0,1.4,1.3,0.0,False,default,2.5,False,1,1.0,99.0,3e-06,0.0,1.8205832637229766e-13,0.0,2.99637,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.357285,0.0,0.0,0.0,1.0,0.3321640483702622,0.3321640483702622,n/a,2026-05-13,2026-05-13,,,,,,
VST,LONG,0.2685209377897966,2.6852093778979658,1.77,3.4136,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.7,NEGATIVE,unknown,-31455568.53,,210.0,130.0,49.34,7.55,240011.0,235017.0,0.979,110274.0,169863.0,194891.0,13.9,0.483,0.0,0.27,1.0,0.0,0.14,0.35,False,default,2.5,False,1,1.0,99.0,8e-06,0.0,4.339404130283908e-12,0.0,1.474551,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.253723,0.0,0.0,0.0,1.0,0.2685209377897966,0.2685209377897966,n/a,2026-05-13,2026-05-13,,,,,,
JPM,LONG,0.252692331243923,2.52692331243923,4.32,3.9995,watchlist_reeval_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",7.2,NEGATIVE,pullback_to_support,-81143361.74,,320.0,280.0,5.91,7.33,369248.0,376668.0,1.02,182200.0,229918.0,333798.0,72.0,0.269,0.0,0.75,1.0,1.4,0.98,0.19,False,default,2.5,False,1,1.0,99.0,0.0,0.0,0.3344764452439816,0.0,1.072349,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.198372,0.0,0.0,0.0,1.0,0.252692331243923,0.252692331243923,n/a,2026-05-13,2026-05-13,,,,,,
HIMS,LONG,0.24481094971058795,2.4481094971058797,3.52,3.9201,watchlist_reeval_failed,"not_extended, retest_and_confirm, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.2,NEGATIVE,retest_and_confirm,-1353452.46,,30.0,15.0,22.98,38.51,760993.0,495173.0,0.651,486573.0,245462.0,524131.0,29.0,0.79,0.0,0.68,1.0,1.4,0.32,0.13,False,default,2.5,False,1,0.7,99.0,9e-05,0.0,6.331427371940078e-05,0.0,2.726562,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.343049,0.0,0.0,0.0,1.0,0.24481094971058795,0.24481094971058795,n/a,2026-05-13,2026-05-13,,,,,,
ADBE,LONG,0.23948051059995482,2.394805105999548,2.32,3.3934,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",7.5,NEGATIVE,unknown,-52271450.41,236.18,300.0,220.0,26.84,6.99,373944.0,251117.0,0.672,122941.0,159584.0,342536.0,94.1,0.534,0.0,0.6,1.0,0.0,0.4,0.32,False,default,2.5,False,1,0.7,99.0,6e-06,0.0,5.226501796999532e-13,0.0,5.048544,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.563475,0.0,0.0,0.0,1.0,0.23948051059995482,0.23948051059995482,n/a,2026-05-13,2026-05-13,,,,,,
