ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
TTMI,LONG,0.676516373854376,6.765163738543761,7.66,6.7806,poor_rr (1.8:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.5,NEUTRAL,trend_continuation,,,230.0,85.0,21.1,55.24,19449.0,6377.0,0.328,18591.0,995.0,6240.0,88.2,0.906,2.4,0.5,1.0,1.4,1.92,0.44,False,sustained_trend,5.0,False,189.92,167.13,230.0,1.76,1,1.0,99.0,0.000184,0.0,1758497.2608410565,0.0,47.849057,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.5e-05,0.0,0.362922,0.0,0.0,0.0,1.0,0.676516373854376,0.676516373854376,n/a,2026-05-22,2026-05-22,False,
TRIP,LONG,0.5110740554953614,5.1107405549536145,5.42,5.7014,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.6,NEUTRAL,retest_and_confirm,,,20.0,8.0,98.41,20.63,123592.0,101635.0,0.822,40945.0,9042.0,175240.0,45.4,0.55,0.0,0.91,1.0,1.4,1.91,0.21,False,default,2.5,False,,,,,1,1.0,99.0,0.000533,0.0,1825.7176097474025,0.0,23.465863,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.499092,0.0,0.0,0.0,1.0,0.5110740554953614,0.5110740554953614,n/a,2026-05-22,2026-05-22,False,
BWA,LONG,0.5065163738543761,5.065163738543761,7.24,5.7646,poor_rr (0.5:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.3,NEUTRAL,trend_continuation,,,70.0,60.0,6.35,8.84,31262.0,8300.0,0.265,19858.0,7922.0,11782.0,90.6,0.45,2.16,0.63,1.0,1.4,1.54,0.51,False,sustained_trend,5.0,False,65.82,57.92,70.0,0.53,1,1.0,99.0,5.5e-05,0.0,1.364117990604766e-21,0.0,833.333333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.173028,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-22,2026-05-22,False,
BURL,LONG,0.5026839699198212,5.026839699198212,5.56,5.2014,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,5.1,NEUTRAL,support_ema_confluence,,,400.0,260.0,23.26,19.88,7034.0,40055.0,5.694,40811.0,1374.0,4904.0,79.9,0.491,0.0,0.51,1.0,1.6,1.98,0.48,False,consolidation_break,3.0,False,,,,,1,1.0,99.0,3.6e-05,0.0,319806.4954794404,0.0,41.988636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.092825,0.0,0.0,0.0,1.0,0.5026839699198212,0.5026839699198212,n/a,2026-05-22,2026-05-22,False,
IGV,LONG,0.49661050650329674,4.966105065032967,6.52,5.3591,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.6,POSITIVE,trend_continuation,74464103.85,94.0,100.0,80.0,6.37,14.9,612096.0,1080930.0,1.766,587226.0,42356.0,1063444.0,65.5,0.346,1.82,0.67,1.0,1.4,1.63,0.0,False,sustained_trend,5.0,False,,,,,1,0.7,99.0,0.000659,0.0,7652963.7565269135,0.0,1.097548,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000147,0.0,0.257692,0.0,0.0,0.0,1.0,0.49661050650329674,0.49661050650329674,n/a,2026-05-22,2026-05-22,False,
APH,LONG,0.4950845105899002,4.950845105899003,6.14,5.3974,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,5.4,NEUTRAL,flag_breakout,,,150.0,115.0,13.58,12.92,76896.0,77367.0,1.006,62439.0,32783.0,59041.0,67.0,0.485,0.0,0.93,1.0,1.6,1.93,0.68,False,consolidation_break,3.0,False,,,,,5,1.0,99.0,2.2e-05,6e-06,1.9012987705073912e-05,6.3444173544021185e-12,64.020873,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.443061,0.289316,0.0,0.0,1.0,0.4950845105899002,0.4950845105899002,n/a,2026-05-22,2026-05-22,False,1.635546
CORZ,LONG,0.46810666453298505,4.68106664532985,5.36,4.7685,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",4.1,POSITIVE,ema_pullback,30071148.6,25.25,27.0,12.0,6.89,52.49,1176486.0,611530.0,0.52,882880.0,59361.0,845775.0,3.0,0.715,1.9,0.32,0.0,1.2,1.81,0.14,False,default,2.5,False,,,,,1,1.0,99.0,0.0001,0.0,706116.8874646963,0.0,1.175551,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5e-05,0.0,0.554403,0.0,0.0,0.0,1.0,0.46810666453298505,0.46810666453298505,n/a,2026-05-22,2026-05-22,False,
ROST,LONG,0.4653582254082352,4.653582254082352,7.22,5.6728,poor_rr (0.2:1),"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,5.9,NEUTRAL,retest_and_confirm,,,240.0,180.0,2.21,23.34,19056.0,27350.0,1.435,31130.0,628.0,14648.0,46.5,0.26,1.95,0.23,1.0,1.4,1.93,0.71,False,consolidation_break,3.0,False,234.81,207.55,240.0,0.19,1,1.0,99.0,1e-05,0.0,299756.0066764935,0.0,364.705882,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.211949,0.0,0.0,0.0,1.0,0.4653582254082352,0.4653582254082352,n/a,2026-05-22,2026-05-22,False,
SEDG,LONG,0.46413978218966956,4.641397821896696,5.96,5.2487,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.7,NEUTRAL,trend_continuation,,,70.0,35.0,12.99,43.5,125239.0,87118.0,0.696,75436.0,17197.0,119724.0,86.7,1.08,2.15,0.57,0.04,1.4,1.57,0.23,False,sustained_trend,5.0,False,,,,,1,0.7,99.0,0.000114,0.0,217771.003797954,0.0,3.795775,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.1e-05,0.0,0.549513,0.0,0.0,0.0,1.0,0.46413978218966956,0.46413978218966956,n/a,2026-05-22,2026-05-22,False,
JETS,LONG,0.46262182821096004,4.6262182821096,4.45,4.8681,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.1,NEGATIVE,ema_pullback,-2174224.25,,29.5,27.0,8.74,0.48,91083.0,204729.0,2.248,169451.0,6802.0,119559.0,86.9,0.475,0.0,0.58,0.8,1.2,1.8,0.07,False,default,2.5,False,,,,,1,1.0,99.0,0.000944,0.0,0.00019307406428955765,0.0,1.66299,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.407533,0.0,0.0,0.0,1.0,0.46262182821096004,0.46262182821096004,n/a,2026-05-22,2026-05-22,False,
