ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,bearish_vol_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
WIX,LONG,0.36658506553621173,3.6658506553621173,4.83,4.4819,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.0,NEUTRAL,retest_and_confirm,,,120.0,70.0,49.37,12.87,28868.0,28373.0,0.983,16619.0,18842.0,21780.0,93.5,0.924,1,1.0,99.0,0.000158,0.0,2.362655405790117e-13,0.0,9.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.533409,0.0,0.0,0.0,False,,0.0,0.71,0.93,1.4,1.61,0.19,False,default,2.5,False,1.0,0.36658506553621173,0.36658506553621173,n/a,2026-05-07,2026-05-07,,,,
GFS,LONG,0.3548853371997831,3.548853371997831,0.0,2.1293,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,0.31011287618317096,1e-05,4.9e-05,612.812946046025,988.0482126193004,1238.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.705392,0.725084,0.0,0.0,False,480.297468,,,,,,,,,,,,,,,,,,,,
AMZN,LONG,0.35223566197012135,3.5223566197012133,0.0,2.1134,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,8,1.0,1.2176668444096388,1e-06,1e-06,131.31658164716853,64.70566998685163,7.17842,0,0,0.639246,0.787423,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.576031,0.563413,0.0,0.0,False,10.75052,,,,,,,,,,,,,,,,,,,,
TOST,LONG,0.3514171525640561,3.514171525640561,6.57,4.8081,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.4,POSITIVE,trend_continuation,855294.62,29.41,50.0,25.0,70.18,14.91,173273.0,105515.0,0.609,47858.0,58437.0,172493.0,72.5,0.64,1,1.0,99.0,2.8e-05,0.0,0.010491635387150621,0.0,72.314286,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.545981,0.0,0.0,0.0,False,,1.56,0.69,1.0,1.4,1.12,0.81,False,default,2.5,False,1.0,0.3514171525640561,0.3514171525640561,n/a,2026-05-07,2026-05-07,,,,
DVN,LONG,0.34882759355118514,3.4882759355118513,3.76,4.2321,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",6.8,POSITIVE,trend_continuation,15610312.67,45.36,55.0,35.0,21.39,22.75,380779.0,151646.0,0.398,151998.0,193872.0,186555.0,54.9,0.374,3,1.0,0.13099870179583026,5.3e-05,1.9e-05,2387.021711237446,9110.860178438143,4.212394,1,1,0.0,0.489127,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.31465,0.20071,0.0,0.0,False,9.400837,0.0,0.35,1.0,1.4,0.29,0.73,False,default,2.5,False,1.0,0.34882759355118514,0.34882759355118514,n/a,2026-05-07,2026-05-07,,,,
INTC,LONG,0.3474466569735323,3.4744665697353225,0.0,2.0847,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,1.1944254961479173,4e-06,4e-06,700768.4787199162,1173398.392750205,11.245566,1,0,0.395905,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,1e-06,0.341365,0.337339,0.0,0.0,False,5.497271,,,,,,,,,,,,,,,,,,,,
GTES,LONG,0.3414994530821066,3.4149945308210663,6.26,4.5455,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.8,NEUTRAL,trend_continuation,,,26.0,24.0,0.08,7.62,12959.0,4476.0,0.345,7024.0,2655.0,7756.0,55.3,0.399,1,1.0,99.0,0.000212,0.0,3.705863533822289e-14,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.614079,0.0,0.0,0.0,False,,1.7,0.83,0.74,1.4,1.35,0.24,False,sustained_trend,5.0,False,1.0,0.3414994530821066,0.3414994530821066,n/a,2026-05-07,2026-05-07,,,,
JBTM,LONG,0.3414994530821066,3.4149945308210663,5.25,4.7225,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,7.2,NEUTRAL,trend_continuation,,,220.0,115.0,59.4,16.68,2278.0,1518.0,0.666,874.0,1485.0,1437.0,55.5,0.434,1,1.0,99.0,8.4e-05,0.0,1.7839942360131037e-14,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.501872,0.0,0.0,0.0,False,,0.0,0.46,1.0,1.4,1.72,0.67,False,consolidation_break,3.0,False,1.0,0.3414994530821066,0.3414994530821066,n/a,2026-05-07,2026-05-07,,,,
VMI,LONG,0.3414994530821066,3.4149945308210663,5.49,4.6545,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.5,NEUTRAL,trend_continuation,,,600.0,470.0,17.84,7.69,1083.0,825.0,0.762,1032.0,398.0,478.0,35.6,0.289,1,1.0,99.0,8.6e-05,0.0,8.194645390473983e-23,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.785622,0.0,0.0,0.0,False,,2.5,0.65,0.25,1.4,0.54,0.15,False,sustained_trend,5.0,False,1.0,0.3414994530821066,0.3414994530821066,n/a,2026-05-07,2026-05-07,,,,
CCL,LONG,0.3313111121520808,3.3131111215208082,4.57,4.0276,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.0,POSITIVE,ema_pullback,4951298.19,27.0,30.0,25.0,11.11,7.41,589202.0,554512.0,0.941,250049.0,446631.0,447034.0,76.6,0.53,1,1.0,99.0,3.6e-05,0.0,305231.6117257937,0.0,2.851013,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.075671,0.0,0.0,0.0,False,,0.0,0.94,1.0,1.2,1.25,0.18,False,default,2.5,False,1.0,0.3313111121520808,0.3313111121520808,n/a,2026-05-07,2026-05-07,,,,
