ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
LION,SHORT,0.4855255236691151,4.855255236691151,2.02,4.5336,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",7.5,NEUTRAL,unknown,,,17.0,8.0,38.72,34.72,142146.0,26322.0,0.185,41533.0,80982.0,45953.0,46.7,0.713,0.0,0.0,1.0,0.0,0.02,1.0,3.2728626438314304e+17,3,1.0,0.0,0.0,0.000336,0.0,4949.49688780071,,0,2,0.0,0.09405,0.294448,,,,
IVZ,SHORT,0.48327360140428144,4.832736014042815,0.0,2.8996,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5518865031698.038,9,0.7,99.0,0.000405,2.5e-05,556878.5585784642,6.079269264236204e-08,211.828862,0,2,0.487465,0.543647,242.365789,,,,
TSLL,SHORT,0.47676591328024154,4.767659132802415,3.58,4.5378,price_validation_failed,"confirmation_volume, ema_rally, not_extended, room_to_target","momentum_aligned, trend_aligned",5.4,POSITIVE,ema_rally,5419098.65,13.93,35.0,10.0,151.17,28.24,440567.0,186265.0,0.423,291994.0,125748.0,209090.0,49.1,0.901,0.0,0.21,1.0,1.2,0.26,0.91,165.08541028427553,4,1.0,0.0,0.0,2.5e-05,0.0,7625.679823242133,,0,2,0.0,0.051126,5.916636,,,,
BITX,SHORT,0.46584940009271114,4.658494000927112,3.29,4.5962,price_validation_failed,"confirmation_volume, ema_rally, room_to_target","momentum_aligned, not_extended, trend_aligned",6.4,NEUTRAL,ema_rally,,,20.0,14.0,4.33,26.97,152477.0,69489.0,0.456,74399.0,62740.0,84827.0,54.0,0.871,0.0,0.0,1.0,1.2,0.21,0.88,2.051418419721908,2,1.0,0.0,0.0,0.000123,0.0,1.1891016632584575e-17,,0,0,0.0,0.327716,1.289264,,,,
AAL,SHORT,0.44629733835139784,4.462973383513979,3.51,4.1845,price_validation_failed,"confirmation_volume, retest_and_confirm, room_to_target","momentum_aligned, not_extended, trend_aligned",4.5,POSITIVE,retest_and_confirm,8035355.24,12.87,15.0,10.0,16.64,22.24,1049557.0,1691454.0,1.612,814433.0,536291.0,1390287.0,75.4,0.546,0.0,0.0,1.0,1.4,0.44,0.67,3.2920794122403185,3,1.0,0.2930104561120808,1.4e-05,5.8e-05,97043.12530303534,165596.6933581287,2.115489,0,0,0.0,0.301255,0.61761,,,,
SOXX,SHORT,0.4411071798268806,4.4110717982688055,1.14,3.7675,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",6.1,NEUTRAL,unknown,,,450.0,275.0,8.6,33.63,48166.0,110245.0,2.289,101977.0,14572.0,41862.0,69.8,0.384,0.0,0.0,1.0,0.0,0.08,0.05,12153.481725094642,5,1.0,7.853192018413678e-05,3e-06,2.1e-05,15.641132454823419,49792.276879735844,0.094262,0,0,0.0,0.004526,8.05502,,,,
SMH,SHORT,0.4392345644954482,4.3923456449544815,0.0,2.6354,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,12.801012416724916,14,1.0,2.5063587739718316,1.1e-05,7e-06,22003.65493700515,15802.43790231382,1.985273,1,2,0.114059,0.236979,16.447795,,,,
HAYW,SHORT,0.4388757833933558,4.388757833933558,0.0,2.6333,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,36188635.24368219,2,1.0,99.0,5e-05,3.6e-05,49.36201049250427,1.364019675241052e-06,,0,0,0.0,0.0,1545.0,,,,
CRWV,SHORT,0.43177619539574846,4.3177619539574845,2.59,4.4759,price_validation_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",7.7,NEGATIVE,bounce_and_fail,-8544402.76,,150.0,70.0,26.37,41.03,1116821.0,1030036.0,0.922,1036219.0,426728.0,683910.0,53.2,0.902,0.0,0.0,1.0,1.0,0.38,0.22,1.6993974803247396,4,1.0,0.0,0.0,2.5e-05,0.0,240389.29143601638,,0,1,0.0,0.668857,2.521729,,,,
HUT,SHORT,0.4266464863417078,4.266464863417078,0.0,2.5599,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.1908864546097173,10,1.0,0.9627018466979643,0.000205,4.7e-05,9.384621668125913,9.748211972704587,3.41291,2,2,0.714215,0.53367,0.279573,,,,
NXE,SHORT,0.42385003665062804,4.238500366506281,0.0,2.5431,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1.1535323479518584e+18,5,1.0,99.0,2e-05,2.1e-05,1.2371813243512834e-05,8.922694749628887e-24,1.542548,0,0,0.0,0.598935,2.423886,,,,
UNP,SHORT,0.4155085974599142,4.155085974599142,0.0,2.4931,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,56534950541.52156,8,1.0,0.5977409052323506,2e-06,3e-06,51605.356649263085,51800.39331175102,4.912071,1,2,0.23152,0.0,41.354814,,,,
BE,SHORT,0.4004978640514661,4.004978640514661,3.5,4.7125,price_validation_failed,"momentum_aligned, room_to_target, volume_capitulation_reversal","confirmation_volume, not_extended, trend_aligned",8.3,NEGATIVE,unknown,-1659224.76,202.33,260.0,80.0,28.55,60.45,379297.0,371328.0,0.979,308805.0,184309.0,257511.0,44.5,1.105,0.0,0.0,1.0,1.4,0.82,0.28,168.17330432765073,9,1.0,0.014470486019501478,5e-06,2.6e-05,989.5854305709089,34193.2340502341,59.279551,0,2,0.106053,0.399463,0.936888,,,,
B,SHORT,0.3952494619501934,3.952494619501934,0.0,2.3715,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,23661098025369.598,19,1.0,99.0,3.5e-05,1.1e-05,5302.283889189309,2.5922089996696043,0.767301,2,2,0.016737,0.037582,1.539485,,,,
