ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
MRNA,SHORT,0.3378728615810527,3.3787286158105267,5.05,4.6244,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target","confirmation_volume, trend_aligned",7.1,NEGATIVE,resistance_ema_confluence,-40609.99,59.5,70.0,45.0,17.67,24.36,253805.0,290028.0,1.143,80003.0,156340.0,307490.0,93.3,0.891,0.0,0.46,1.0,1.6,1.96,0.03,False,default,2.5,False,2,1.0,0.0,0.0,6.2e-05,0.0,1.0871797231415846e-08,,0,1,0.0,1.1e-05,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.460206,0.0,0.0,1.0,0.3378728615810527,0.3378728615810527,n/a,2026-07-17,2026-07-17,,14.916252
AXON,SHORT,0.3154624605163391,3.1546246051633906,4.6,3.9973,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.2,NEUTRAL,trend_continuation,,,600.0,400.0,13.75,24.17,26453.0,26441.0,1.0,5577.0,16047.0,31270.0,99.4,0.89,0.0,0.96,1.0,1.4,1.09,0.16,False,default,2.5,False,1,1.0,0.0,0.0,1.3e-05,0.0,363187.53557237546,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,6e-06,0.0,0.735481,0.0,0.0,1.0,0.3154624605163391,0.3154624605163391,n/a,2026-07-17,2026-07-17,,3.083333
WFC,SHORT,0.31406638973504747,3.140663897350475,4.81,4.7933,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_resistance, room_to_target",trend_aligned,8.9,NEGATIVE,pullback_to_resistance,-5970408.48,86.23,97.5,70.0,12.94,18.92,386874.0,516648.0,1.335,69882.0,275712.0,557928.0,27.8,0.272,0.0,0.88,1.0,1.4,1.16,0.37,False,default,2.5,False,3,1.0,6.221725940767988e-13,2e-06,9e-06,2.740337881179245e-07,220223.28749833905,4.271756,0,0,0.0,0.000286,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.479295,0.423936,0.0,0.0,1.0,0.31406638973504747,0.31406638973504747,n/a,2026-07-17,2026-07-17,,8.52203
XOM,SHORT,0.2934070751013801,2.9340707510138007,1.07,2.608,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",4.1,POSITIVE,unknown,62783497.16,,160.0,130.0,7.85,12.38,540337.0,348190.0,0.644,82799.0,302801.0,502927.0,90.8,0.328,0.0,0.35,0.25,0.0,0.41,0.06,False,default,2.5,False,4,1.0,3.8228903364065106e-17,2e-06,6e-06,5.23031193293591e-16,13.681564137809838,6.259876,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.761336,0.469811,0.0,0.0,1.0,0.2934070751013801,0.2934070751013801,n/a,2026-07-17,2026-07-17,,4.157084
FIX,SHORT,0.29179816001188813,2.9179816001188814,6.24,4.351,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.1,NEUTRAL,trend_continuation,,,2000.0,1540.0,16.81,10.06,5259.0,7045.0,1.34,0.0,4804.0,7500.0,97.7,0.786,1.88,0.87,1.0,1.4,0.84,0.25,False,sustained_trend,5.0,False,2,0.7,0.0,0.0,3.5e-05,0.0,5.050795049229097e-24,,0,0,0.0,0.358212,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.507136,0.0,0.0,1.0,0.29179816001188813,0.29179816001188813,n/a,2026-07-17,2026-07-17,,9.6
DASH,SHORT,0.27786284608004497,2.7786284608004497,4.07,3.7703,watchlist_reeval_failed,"momentum_aligned, not_extended, pullback_to_resistance, room_to_target","confirmation_volume, trend_aligned",5.8,NEUTRAL,pullback_to_resistance,,,195.0,145.0,3.16,23.29,109923.0,58714.0,0.534,18182.0,71695.0,78760.0,75.7,0.621,0.0,0.76,1.0,1.4,0.85,0.06,False,default,2.5,False,2,1.0,0.03447878351955286,4e-06,8e-06,1.055280971291647e-07,3.060667644185297e-06,3.923077,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.549236,0.531665,0.0,0.0,1.0,0.27786284608004497,0.27786284608004497,n/a,2026-07-17,2026-07-17,,3.342857
SOXS,SHORT,0.2624782587118552,2.624782587118552,4.2,3.4724,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned","confirmation_volume, continuation_pattern, room_to_target",4.5,NEUTRAL,unknown,,,80.0,40.0,48.18,25.91,11070.0,6008.0,0.543,11757.0,4404.0,917.0,100.0,2.078,2.65,0.55,0.14,0.0,0.69,0.18,False,default,2.5,False,1,1.0,0.0,0.0,0.000355,0.0,1.9175583129334757e-20,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.351643,0.0,0.0,1.0,0.2624782587118552,0.2624782587118552,n/a,2026-07-17,2026-07-17,,1.514408
CRS,SHORT,0.2592005795464448,2.5920057954644484,4.4,3.336,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",3.6,NEUTRAL,trend_continuation,,,600.0,540.0,8.08,2.73,4272.0,5361.0,1.255,0.0,6336.0,3297.0,96.6,0.618,0.0,0.73,1.0,1.4,1.11,0.15,False,default,2.5,False,1,1.0,0.0,0.0,1.9e-05,0.0,349386.95101619733,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-05,0.0,0.79747,0.0,0.0,1.0,0.2592005795464448,0.2592005795464448,n/a,2026-07-17,2026-07-17,,
IWM,SHORT,0.25855788712344835,2.5855788712344836,5.24,4.1448,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.4,NEGATIVE,retest_and_confirm,-183926805.36,,300.0,290.0,2.63,0.79,2319471.0,6154598.0,2.653,1184955.0,2523308.0,4765806.0,28.9,0.204,0.0,0.79,1.0,1.4,1.78,0.26,False,default,2.5,False,1,1.0,0.0,0.0,7e-06,0.0,343340.99561593396,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.0,0.300513,0.0,0.0,1.0,0.25855788712344835,0.25855788712344835,n/a,2026-07-17,2026-07-17,,48.257812
NAMS,LONG,0.4808020881400903,4.808020881400903,2.04,3.996,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",4.9,NEUTRAL,unknown,,,40.0,25.0,34.82,15.74,3974.0,24917.0,6.27,0.0,11069.0,17822.0,88.1,0.889,0.0,0.32,1.0,0.0,0.05,0.67,False,default,2.5,False,1,0.7,99.0,0.000303,0.0,4.593019190100278e-68,0.0,5.298013,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.409477,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-07-20,2026-07-20,,
QXO,LONG,0.4369238300852144,4.369238300852144,1.53,3.5236,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",4.4,POSITIVE,unknown,1819093.27,13.52,25.0,13.0,84.64,3.99,408950.0,127375.0,0.311,47633.0,179361.0,309331.0,100.0,0.719,0.0,0.27,1.0,0.0,0.05,0.21,False,default,2.5,False,2,0.7,3.66731436131517e-24,0.000135,3.6e-05,8.010630255103247e-61,2.1843314932594108e-37,2.033877,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.569652,0.299094,0.0,0.0,1.0,0.4369238300852144,0.4369238300852144,n/a,2026-07-20,2026-07-20,,1.856342
ECHO,LONG,0.35930263505798365,3.5930263505798363,1.81,3.8195,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",7.4,NEGATIVE,unknown,-5690289.76,90.28,125.0,85.0,38.38,5.9,362607.0,193337.0,0.533,30861.0,208742.0,316341.0,89.2,0.651,0.0,0.39,1.0,0.0,0.3,0.11,False,default,2.5,False,2,0.7,1.8668880780163668,2.3e-05,1.2e-05,0.72284754247933,0.38719382859168533,46.692308,1,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.620005,0.646715,0.0,0.0,1.0,0.35930263505798365,0.35930263505798365,n/a,2026-07-20,2026-07-20,,175.0
NOK,LONG,0.35046162102372486,3.5046162102372485,1.5,3.2223,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.1,POSITIVE,unknown,6477155.45,10.08,15.0,10.0,48.81,0.79,2508821.0,786470.0,0.313,301425.0,1118218.0,1875648.0,92.7,0.837,0.0,0.0,1.0,0.0,0.23,0.28,False,default,2.5,False,1,1.0,99.0,1.7e-05,0.0,959256.9443405657,0.0,2.487186,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9e-06,0.0,0.5719,0.0,0.0,0.0,1.0,0.35046162102372486,0.35046162102372486,n/a,2026-07-20,2026-07-20,,
