ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,entry_price,stop_price,target_1,target_2,rr_ratio,time_stop_days,source
CMG,SHORT,0.8359162765290971,9.66144752649285,8.0,8.9969,33.37,37.37,25.36,21.36,2.0,5,fresh
QQQ,SHORT,0.6333769520732364,6.752394299306686,8.0,7.2514,582.06,619.41,507.35,470.0,2.0,5,fresh
IWM,SHORT,0.6192957725135151,6.550147644486219,8.0,7.1301,242.22,268.75,189.15,162.62,2.0,5,fresh
HOOD,SHORT,0.6137619791630109,6.470666292170493,8.0,7.0824,70.89,79.4,53.88,45.37,2.0,5,fresh
ORCL,SHORT,0.5528885441806998,5.596346883033768,9.0,6.9578,149.68,167.64,113.76,95.8,2.0,5,fresh
LEU,SHORT,0.5434560149972687,5.460868355417924,9.0,6.8765,186.76,209.17,141.94,119.53,2.0,5,fresh
AMAT,LONG,0.5694590301117408,5.25844462078178,8.0,6.3551,357.06,314.21,442.75,485.6,2.0,5,fresh
