ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_pattern_vol,price_pattern_candle,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
ACHR,LONG,0.4550174586299671,4.550174586299671,0.0,2.7301,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0572931666342842,2.0,1.0,99.0,0.001405,0.0,903.6740972612782,0.0,580.96875,,1.0,0.0,0.486076,0.0
HD,LONG,0.44068301301274854,4.406830130127485,0.0,2.6441,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6802192791131,9.0,1.0,0.6645176586163298,0.000629,0.000133,44.81812022706942,134.88917757397294,1.805253,2.756615,1.0,0.0,0.147102,0.518836
KRE,LONG,0.43084933355433713,4.308493335543371,0.0,2.5851,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,707.8026836872931,3.0,1.0,99.0,0.001572,9.6e-05,20640.84224428769,42.233123566110685,0.988091,1.670561,0.0,0.0,0.0,0.173208
AGRO,LONG,0.42155706475975463,4.215570647597547,0.0,2.5293,price_over_extended,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,99.0,0.004557,0.0,4.51919174882856,0.0,4.170492,,0.0,0.0,0.0,0.0
USAR,LONG,0.4121972921342345,4.121972921342345,0.0,2.4732,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,338.7406059231569,4.0,1.0,4.495593576022865,0.001047,0.000188,1.1054001283539132,0.7376557353290587,1.261801,0.111173,2.0,0.0,0.004253,0.0
CMG,LONG,0.4046433970269144,4.046433970269144,0.0,2.4279,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,283.2006198986447,4.0,1.0,1.3810646852553881e-05,0.000426,0.00085,0.021803702219960207,526.2534635474186,460.269231,37.623958,0.0,2.0,0.0,0.177056
SMH,LONG,0.39905814895089503,3.9905814895089504,0.0,2.3943,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.7142695953133326,6.0,1.0,7.094173175789032,0.000517,7.7e-05,4652.846002768022,1311.7373617681728,12.866619,0.53139,0.0,0.0,0.67604,0.437057
JBL,LONG,0.396428139794654,3.9642813979465403,5.19,4.7591,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned","bounce_and_fail, flag_breakout, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_continuation",6.1,NEUTRAL,unknown,,,300.0,240.0,18.28,5.37,32086.0,28445.0,0.887,12080.0,4265.0,13711.0,1.3,0.88,0.0,1.6,0.0,0.0,0.72,0.68,0.0,1.0,0.7,99.0,0.003263,0.0,2.0964847677299003,0.0,5.097015,,0.0,0.0,0.0,0.0
GLXY,LONG,0.3866205215788709,3.866205215788709,0.0,2.3197,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,27.760265475136645,5.0,0.7,2.097721651371142,0.001626,0.001187,261.88698559273195,187.26530192045766,0.594733,0.541756,0.0,0.0,0.510632,0.077731
RKLB,LONG,0.3834653041796088,3.834653041796088,0.0,2.3008,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,2.6051847368612626,6.0,1.0,1.6735647051627394,0.000695,0.000451,2048.191395990199,1223.8495408464235,1.575785,12.143567,1.0,0.0,0.244667,0.560673
AAOI,LONG,0.3772784877025362,3.772784877025362,0.0,2.2637,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,7.656940566811297,6.0,1.0,1.7056174987224684,0.000269,0.000579,1463.7507384886856,171.63880407946746,41.0,0.367273,0.0,0.0,0.0,0.606766
DDOG,LONG,0.37460560741783694,3.7460560741783695,4.66,4.371,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pattern_volume, room_to_target","bounce_and_fail, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",5.5,POSITIVE,unknown,446419.86,125.08,150.0,95.0,19.92,24.05,157136.0,137184.0,0.873,71325.0,56997.0,78754.0,0.0,0.93,0.99,1.2,0.5,0.0,0.09,0.96,6.1953828723739415,5.0,1.0,0.36945658823439786,0.000919,0.000429,0.7914030282814938,3.2131096865678157,0.758819,0.320559,0.0,0.0,0.474097,0.250817
WULF,LONG,0.36537833087926963,3.653783308792696,4.46,4.4449,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pattern_volume, trend_aligned","bounce_and_fail, flag_breakout, momentum_aligned, pullback_to_support, room_to_target, structural_breakout, trend_continuation",6.4,POSITIVE,unknown,11841373.45,15.12,20.0,11.0,32.45,27.15,1285698.0,775392.0,0.603,443760.0,501692.0,572500.0,1.28,0.92,0.0,1.2,0.33,0.0,0.39,0.34,11.685846616354006,6.0,1.0,99.0,0.000816,0.000276,213.26174728359064,4.558546490563278,0.743034,0.582372,0.0,1.0,0.064925,0.0
SQQQ,LONG,0.356774885520428,3.56774885520428,4.88,4.6679,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, pattern_volume, trend_aligned","bounce_and_fail, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.1,NEUTRAL,unknown,,,90.0,65.0,12.15,19.0,159466.0,81567.0,0.512,91644.0,33503.0,29955.0,1.71,0.03,0.0,1.2,0.35,0.0,1.31,0.27,2.7466050504714157,2.0,1.0,99.0,6.8e-05,0.0,1450.5360574799242,0.0,5.231884,,1.0,0.0,0.266908,0.0
CRWD,LONG,0.3438577394584664,3.438577394584664,0.0,2.0631,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,106.058345465522,13.0,1.0,0.7699769465140948,0.000252,0.000302,3.9766060235044955,3.227861270317674,0.211724,0.312874,3.0,4.0,0.511414,0.091562
ULTA,LONG,0.3425,3.4250000000000003,0.0,2.055,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,14.213342340545827,4.0,1.0,0.012754772158334687,6.4e-05,0.000751,0.0024071198792482607,0.06290769314592873,4.375,22.127525,1.0,0.0,0.0,0.162977
VST,LONG,0.33773796053244254,3.3773796053244256,0.0,2.0264,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,32.24599946324556,9.0,1.0,11.675194354212568,0.000577,0.001193,6.569917714860033,0.7034056046023677,0.266954,0.4885,0.0,2.0,0.243924,0.019658
UVXY,LONG,0.3367810987489566,3.367810987489566,5.66,4.8219,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, pattern_volume, strong_trend, trend_aligned","bounce_and_fail, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.2,NEUTRAL,unknown,,,75.0,35.0,38.63,35.3,161251.0,87246.0,0.541,96040.0,54969.0,28278.0,2.1,0.24,0.1,1.2,0.43,0.0,1.32,0.27,23221.15166271591,3.0,1.0,99.0,0.000491,4.8e-05,649.5277271551421,0.02837561183145872,1.288506,0.018011,1.0,0.0,0.014452,0.0
CRK,LONG,0.330521147057948,3.30521147057948,5.16,4.7406,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, pattern_volume, trend_aligned","bounce_and_fail, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_continuation",7.7,NEUTRAL,unknown,,,35.0,8.0,61.36,63.12,47991.0,24541.0,0.511,4998.0,16815.0,36552.0,1.29,0.54,0.0,1.2,0.3,0.0,0.94,0.89,15.807369130724151,2.0,1.0,0.12652326794296717,0.001297,0.000648,1.2770168160648112,10.093138098839269,0.507968,0.190824,0.0,0.0,0.0,0.0
ALAB,LONG,0.33,3.3000000000000003,0.0,1.98,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,22.792649161265313,4.0,1.0,0.0027498267567342425,8.3e-05,0.000722,0.07891961252276765,9.566616312524163,3.0,1.591286,0.0,1.0,0.0,0.29936
MU,LONG,0.3294213229704275,3.2942132297042748,0.0,1.9765,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,2.1274330136032717,12.0,1.0,0.8405374509827513,7.2e-05,8.7e-05,1360.3705457335302,3236.9064439496256,1.111049,1.569395,1.0,2.0,0.726308,0.43643
MRVL,LONG,0.32096921130424405,3.2096921130424407,0.0,1.9258,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,107.82759949765129,14.0,1.0,0.008541589302176137,0.000412,0.000618,2.9894880125474868,194.4400058212076,0.176902,0.263908,0.0,2.0,0.311048,0.020118
FCX,LONG,0.307267476554338,3.07267476554338,0.0,1.8436,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.9321482496005,9.0,1.0,0.6070522019670422,0.000277,0.000166,38.686973931447696,79.66154682844737,0.128169,0.150624,2.0,0.0,0.024562,0.006669
CRM,LONG,0.30725518412279607,3.072551841227961,0.0,1.8435,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,180.89762753110395,11.0,1.0,1.0471549844501762,0.000484,0.000355,697.6539771941125,249.8390833570445,0.38381,3.486042,1.0,2.0,0.175192,0.591784
TEM,LONG,0.30476455385811085,3.0476455385811088,0.0,1.8286,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,447.83658620817437,4.0,1.0,1.0378399252851355e-05,0.000353,0.000801,0.008158742131727233,262.0424059932526,1.319239,0.373733,1.0,0.0,0.0,0.01815
OPEN,LONG,0.2969485746149083,2.969485746149083,0.0,1.7817,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,5.067062477949921,2.0,1.0,99.0,0.000621,0.0,0.560273368700563,0.0,0.440754,,0.0,0.0,0.164824,0.0
DVA,LONG,0.29002676202406846,2.9002676202406845,5.58,4.0641,price_validation_failed,"not_extended, pattern_volume, support_ema_confluence, trend_aligned","bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, pullback_to_support, room_to_target, structural_breakout, trend_continuation",4.7,NEUTRAL,unknown,,,160.0,110.0,7.16,26.33,15242.0,21495.0,1.41,2978.0,16.0,15361.0,1.79,0.96,0.09,1.6,0.34,0.0,0.49,0.3,0.0,1.0,1.0,99.0,0.000542,0.0,0.0062153444480675035,0.0,8.560976,,0.0,0.0,0.0,0.0
DAL,LONG,0.2892160807095799,2.8921608070957987,0.0,1.7353,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,1.3060633617905193,17.0,0.7,0.06651057026654392,0.000775,0.001438,208.7036976418783,418.3870259128024,1.325973,0.35494,1.0,9.0,0.306202,0.770905
GS,LONG,0.2856766190476191,2.8567661904761907,0.0,1.7141,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,67.88643120575841,8.0,1.0,0.525208518252805,9.5e-05,0.000216,127.69865906051454,405.2316195141114,0.302573,0.285739,2.0,2.0,0.482806,0.00856
SBUX,LONG,0.27597803780572894,2.7597803780572896,0.0,1.6559,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,3.1304424334543683,7.0,1.0,2.5304802280959566,0.000244,0.00027,2.0740401413937266,0.6147173523721794,0.119185,0.088725,0.0,0.0,0.484276,0.485351
VRT,LONG,0.27289311326920695,2.7289311326920695,0.0,1.6374,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,130.0705106313219,12.0,1.0,1.79482014039979,0.000163,0.000182,154.32202489600593,61.415634526091296,0.101377,0.279414,0.0,2.0,0.357905,0.462572
GOOG,LONG,0.2683724198669805,2.6837241986698053,0.0,1.6102,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,29.913040125416657,11.0,1.0,0.004779074521889861,0.000214,0.000269,6.295394624787454,752.7332625896868,0.308006,0.195345,1.0,1.0,0.114742,0.498469
META,LONG,0.2669084662695932,2.6690846626959317,0.0,1.6015,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1688364515424123,11.0,1.0,1.6775325276918156,0.000187,9.3e-05,1143.1786673930676,1192.562668630052,0.295927,0.142808,1.0,1.0,0.742318,0.523336
PLTR,LONG,0.2663794285714286,2.6637942857142862,0.0,1.5983,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,3.0162440310914387,10.0,1.0,0.09366432464045335,2.4e-05,0.000189,253.6199930141271,1805.1696416089487,0.09577,0.083296,0.0,0.0,0.749312,0.263524
ZS,LONG,0.26197399022214574,2.6197399022214576,0.0,1.5718,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,2619.303483710185,8.0,1.0,0.0006014556528454209,0.000211,0.000741,0.09836963151007802,54.51753095161826,0.259155,0.942042,2.0,4.0,0.233872,0.068871
SCHW,LONG,0.2609401552051197,2.609401552051197,0.0,1.5656,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,22084.372342172464,5.0,1.0,0.007903121629367314,0.000304,0.000401,1.2149111574871527,230.58821838942382,0.254762,8.668542,0.0,1.0,0.00181,6.3e-05
CEG,LONG,0.2600393886833568,2.600393886833568,0.0,1.5602,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.3939486999208466,5.0,1.0,4.400260833596904,0.000582,9e-05,2.9585423228129804,2.6894244997695558,0.403799,0.083333,2.0,0.0,0.565863,0.0
EBAY,LONG,0.25437115482271067,2.5437115482271064,4.49,3.2989,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pattern_volume, room_to_target","bounce_and_fail, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",3.4,NEUTRAL,unknown,,,90.0,80.0,1.15,10.09,78887.0,77005.0,0.976,23542.0,18869.0,41570.0,0.0,0.79,0.95,1.2,0.37,0.0,0.17,1.0,284.1833767513586,2.0,1.0,99.0,0.000341,0.0,262.1198957642178,0.0,0.26715,,0.0,0.0,0.003507,0.0
CDE,LONG,0.2502364866460742,2.502364866460742,0.0,1.5014,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.8377820735136,2.0,1.0,99.0,0.000318,0.0,154.5470196692547,0.0,0.086359,,0.0,0.0,0.000447,0.0
AEM,LONG,0.24518294000000002,2.4518294000000003,0.0,1.4711,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,627.9546428708794,4.0,1.0,0.0003460279323424511,8.8e-05,0.001273,1.1327423731174666,1091.185871854639,1.378049,0.831949,1.0,1.0,0.0,0.163175
CVI,SHORT,0.6183333333333334,6.183333333333334,0.0,3.71,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.7590727809792,4.0,1.0,99.0,0.002242,0.005122,185.92027354515417,1.7803302226736537,2.583055,277.776578,0.0,2.0,0.000267,0.083231
RVMD,SHORT,0.6066155877825912,6.066155877825912,0.0,3.6397,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,,87.2336937139749,9.0,1.0,0.01020633440016267,0.018171,0.002454,3.6136937241873306,101.16109082021889,18.651656,5.330308,0.0,0.0,0.033045,0.001037
