ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
JPM,SHORT,0.23577078885082262,2.357707888508226,2.65,2.9339,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",4.8,POSITIVE,unknown,70229936.36,335.39,350.0,270.0,4.33,19.52,347966.0,366055.0,1.052,188813.0,192135.0,333073.0,76.7,0.271,0.0,0.6,1.0,0.0,1.05,0.0,False,default,2.5,False,1,0.7,0.0,0.0,3e-06,0.0,2534507.9232404586,,1.693202,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.0,0.449452,0.0,0.0,1.0,0.23577078885082262,0.23577078885082262,n/a,2026-07-08,2026-07-08,
POWL,LONG,0.504177422788218,5.04177422788218,1.83,4.1699,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.5,NEUTRAL,unknown,,,300.0,195.0,26.81,17.58,22294.0,13431.0,0.602,8766.0,7881.0,19078.0,82.2,0.898,0.0,0.34,1.0,0.0,0.49,0.01,False,default,2.5,False,4,1.0,99.0,0.000245,6.7e-05,8.519867190776908e-28,2.358330092678847e-44,5.068985,28.25,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.488437,0.748581,0.0,0.0,1.0,0.504177422788218,0.504177422788218,n/a,2026-07-08,2026-07-08,
WING,LONG,0.5026735996063596,5.0267359960635964,3.73,4.5724,watchlist_reeval_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",4.7,NEUTRAL,trend_continuation,,,180.0,130.0,14.13,17.58,17868.0,21504.0,1.203,10572.0,9031.0,19769.0,78.3,0.788,0.0,0.84,1.0,1.4,0.33,0.17,False,default,2.5,False,1,1.0,99.0,6.6e-05,0.0,239765.0231385372,0.0,354.333333,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.065958,0.0,0.0,0.0,1.0,0.5026735996063596,0.5026735996063596,n/a,2026-07-08,2026-07-08,
NVT,LONG,0.4737112948608299,4.737112948608299,3.46,4.4266,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",5.1,NEUTRAL,unknown,,,185.0,140.0,17.05,11.42,24193.0,8195.0,0.339,13837.0,10081.0,8470.0,96.9,0.62,0.0,0.79,1.0,0.0,1.36,0.31,False,default,2.5,False,1,1.0,99.0,4.8e-05,0.0,2.506051804530524e-39,0.0,13.8,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.443869,0.0,0.0,0.0,1.0,0.4737112948608299,0.4737112948608299,n/a,2026-07-08,2026-07-08,
ABVX,LONG,0.407046296045761,4.0704629604576095,5.03,4.6242,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.4,NEUTRAL,trend_continuation,,,150.0,60.0,6.58,57.37,135946.0,69324.0,0.51,108622.0,46792.0,49856.0,6.1,0.616,2.25,0.57,0.11,1.4,0.7,0.0,False,sustained_trend,5.0,False,4,1.0,1.695257036203503,0.000249,0.000139,0.00013576507562739132,0.00024025573596456152,10.020761,10.844291,1,0,0.441379,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558737,0.551194,0.0,0.0,1.0,0.407046296045761,0.407046296045761,n/a,2026-07-08,2026-07-08,
V,LONG,0.359901729780569,3.5990172978056902,5.47,4.5005,watchlist_reeval_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",5.3,NEGATIVE,trend_continuation,-46876867.14,347.41,360.0,320.0,3.39,8.1,230752.0,223722.0,0.97,122049.0,106431.0,225994.0,81.0,0.268,2.26,0.8,0.63,1.4,0.36,0.02,False,sustained_trend,5.0,False,4,1.0,99.0,6e-06,0.0,4809.467900664414,0.0,1.988602,,1,0,0.275237,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.527483,0.0,0.0,0.0,1.0,0.359901729780569,0.359901729780569,n/a,2026-07-08,2026-07-08,
AAOX,LONG,0.33788900597822724,3.3788900597822726,3.39,3.9864,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.4,NEUTRAL,bounce_and_fail,,,80.0,17.0,289.29,17.27,9596.0,19707.0,2.054,14153.0,11227.0,3923.0,34.0,2.601,0.0,0.49,1.0,1.0,0.67,0.23,False,default,2.5,False,1,1.0,99.0,0.0,0.0,1.6480766785992836e-43,0.0,37.222222,,1,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.001734,0.0,0.0,0.0,1.0,0.33788900597822724,0.33788900597822724,n/a,2026-07-08,2026-07-08,
MDB,LONG,0.2885238841492951,2.885238841492951,6.36,4.7906,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.2,NEUTRAL,trend_continuation,,,400.0,200.0,10.23,44.88,133863.0,76768.0,0.573,61132.0,41281.0,108218.0,53.5,0.66,1.67,0.8,1.0,1.4,1.43,0.07,False,sustained_trend,5.0,False,1,1.0,99.0,2.9e-05,0.0,0.001908087207546266,0.0,1.435644,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.184936,0.0,0.0,0.0,1.0,0.2885238841492951,0.2885238841492951,n/a,2026-07-08,2026-07-08,
RDW,SHORT,0.2966628041416336,2.966628041416336,6.38,5.0373,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,8.2,NEGATIVE,trend_continuation,-27862.15,,20.0,8.0,91.02,23.59,310524.0,158414.0,0.51,185997.0,127941.0,155000.0,44.9,1.067,1.89,0.71,0.64,1.4,1.74,0.0,False,sustained_trend,5.0,False,1,1.0,0.0,0.0,0.000134,0.0,4.688414905956547e-47,,57.745455,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.451363,0.0,0.0,1.0,0.2966628041416336,0.2966628041416336,n/a,2026-07-08,2026-07-08,
CCJ,SHORT,0.2831852066984182,2.831852066984182,5.48,4.7799,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",8.6,NEGATIVE,trend_continuation,-22768548.75,95.74,140.0,80.0,46.23,16.44,146219.0,220128.0,1.505,139221.0,106265.0,120861.0,34.3,0.544,1.89,0.77,0.13,1.4,1.19,0.09,False,sustained_trend,5.0,False,2,1.0,19.156939903103986,1.4e-05,2.2e-05,0.03818326733703307,0.001993181976357626,56.1,3250.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.688315,0.008844,0.0,0.0,1.0,0.2831852066984182,0.2831852066984182,n/a,2026-07-08,2026-07-08,
