ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio
PDD,LONG,0.8134602380168976,8.134602380168976,0.0,4.8808,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,963452.6659049597,25.0,1.0,99.0,0.003217,0.002593,250236.53294414352,0.5726175729206685,3.098858,0.465043,4.0,4.0,0.036301,0.82405,,,,,,,,,,
GFS,LONG,0.695913626010881,6.95913626010881,6.33,6.8786,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,7.5,NEUTRAL,support_ema_confluence,,,55.0,45.0,18.85,2.76,74408.0,18260.0,0.245,65335.0,195.0,27138.0,1.8228232250288219,3.0,1.0,99.0,0.002635,0.0,148810.29601940708,0.0,82.157407,,1.0,0.0,0.63031,0.0,1.57,0.66,0.54,1.6,1.77,0.19,,,,
XOP,LONG,0.6800708293992186,6.8007082939921855,0.0,4.0804,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,22.17353595444738,5.0,1.0,99.0,0.00066,0.0,135944.43364983556,0.0,17.980878,,2.0,0.0,0.581398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
GLNG,LONG,0.6686770482617843,6.686770482617844,0.0,4.0121,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,7399.699624139585,13.0,1.0,99.0,0.003246,0.002122,14353.529717005897,0.7862918221443466,16.678867,0.874732,2.0,4.0,0.000102,0.827428,0.0,0.0,0.0,0.0,0.0,0.0,,,,
MDB,LONG,0.6599273512288126,6.599273512288127,0.0,3.9596,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,63.20448523061831,11.0,1.0,99.0,0.002481,9.5e-05,0.1449822714836889,0.0003778126564635803,4.988722,0.513274,1.0,0.0,0.068244,0.0,0.0,0.36,0.0,0.0,0.0,0.0,,,,
RBLX,LONG,0.644165965031594,6.441659650315939,0.0,3.865,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,15062.901286549182,13.0,1.0,99.0,0.003385,0.004099,1803.3456770463958,0.19240688867069067,12.345711,0.920707,1.0,0.0,0.488153,0.812829,,,,,,,,,,
ETSY,LONG,0.6429920376435636,6.429920376435636,0.0,3.858,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,11.245061228621884,4.0,1.0,99.0,0.001973,0.0,25988.500919200105,0.0,52.416094,,2.0,0.0,0.106519,0.0,0.0,0.08,0.0,0.0,0.0,0.0,,,,
JPM,LONG,0.6075254614386236,6.075254614386236,0.0,3.6452,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,188660.42544103178,19.0,1.0,5.542677735424209,0.000852,0.000366,52470.94616575295,16228.652958139322,1.102401,0.131431,2.0,2.0,0.524959,0.481184,0.0,0.92,0.0,0.0,0.0,0.0,,,,
KWEB,LONG,0.6066424466887916,6.066424466887916,0.0,3.6399,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,9.694493186554325,8.0,1.0,88.28475159764992,0.001279,0.000187,108312.98707333053,8588.016569029982,0.806285,5.312721,1.0,0.0,0.683277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
IMVT,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.00747,0.0,203184.99331157035,0.0,52.736842,,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,,,
TSEM,LONG,0.5518060240192242,5.518060240192241,0.0,3.3108,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,47.766321386981026,4.0,0.7,95.53264277396205,0.000521,9.2e-05,71559.8211865966,2247.184389818868,50.583333,0.305147,0.0,0.0,0.392638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AAPL,LONG,0.531984829932668,5.31984829932668,0.0,3.1919,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,2.3147690009384028,32.0,1.0,2.0736041703518815,0.000376,0.000141,16002.607053416456,12862.151869210478,1.915742,0.252293,1.0,1.0,0.870813,0.625912,0.0,0.74,0.0,0.0,0.0,0.0,,,,
KPTI,LONG,0.5318663333333333,5.318663333333333,0.0,3.1912,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,4732.080282202717,5.0,1.0,99.0,0.103952,0.0,0.8854794765487515,0.0,0.260904,,2.0,0.0,0.429462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SLV,LONG,0.5312984332289447,5.312984332289447,0.0,3.1878,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,2.0099150040046627,5.0,1.0,5.172768773771133,0.000217,4.3e-05,158955.0095242884,122916.77163710106,4.396867,10.939616,1.0,0.0,0.316849,0.0,0.0,0.04,0.0,0.0,0.0,0.0,,,,
LNG,LONG,0.516992015600943,5.16992015600943,0.0,3.102,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,840375.6163666182,6.0,1.0,99.0,0.000309,0.000251,35125.68780262049,0.11556717733158128,40.527812,66.59,1.0,1.0,9e-06,0.258611,,,,,,,,,,
IBIT,LONG,0.5149744101558023,5.1497441015580225,0.0,3.0898,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,7.4722387645679005,21.0,1.0,2.5624146668510095,0.000375,0.000451,35177.55597066686,12480.258074806481,0.254049,7.866961,2.0,1.0,0.714243,0.674272,,,,,,,,,,
CRWV,LONG,0.5145315974153575,5.145315974153575,0.0,3.0872,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,46.4727660865575,4.0,1.0,99.0,0.000648,0.0,169828.05388932003,0.0,1.322645,,0.0,0.0,0.073025,0.0,0.0,0.88,0.0,0.0,0.0,0.0,,,,
WFC,LONG,0.48551219243441945,4.8551219243441945,0.0,2.9131,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,170115.4185544768,15.0,1.0,0.000248645134185532,0.001457,0.000261,2.780307469039654,12779.233588219251,0.155196,12.626428,2.0,3.0,0.502718,0.428618,0.0,0.97,0.0,0.0,0.0,0.0,,,,
NVDL,LONG,0.4853995430190724,4.853995430190724,0.0,2.9124,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,330059.33501171693,3.0,1.0,99.0,0.000618,0.000147,10691.936741336734,1.786292984689121,300.0,2.380952,1.0,0.0,3e-06,0.0,0.0,0.43,0.0,0.0,0.0,0.0,,,,
GOOG,LONG,0.47905317027365923,4.790531702736592,0.0,2.8743,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,6.5709107303750764,16.0,1.0,0.4128050106088511,0.00017,0.000521,144468.0593960243,159075.83008406826,0.09691,1.760051,4.0,8.0,0.60093,0.753408,,,,,,,,,,
ULTA,LONG,0.46885103010519585,4.688510301051958,0.0,2.8131,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,359701528.6852874,3.0,1.0,99.0,0.000263,0.000173,35329.82255444905,0.00039287931506524197,9.75,1.541667,0.0,0.0,0.022657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SNOW,LONG,0.46031596044201295,4.60315960442013,0.0,2.7619,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,112759.05496890728,14.0,1.0,99.0,0.000724,0.000678,624.0065630747797,0.15145455933354,0.31274,0.767727,4.0,1.0,0.300995,0.063987,,,,,,,,,,
MSFT,LONG,0.4587996321985496,4.587996321985496,0.0,2.7528,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,2.2678378494579228,18.0,1.0,1.081132611141741,9.1e-05,0.000112,111198.90102675463,82283.2647027986,0.708127,0.455498,3.0,4.0,0.67506,0.781351,,,,,,,,,,
FIG,LONG,0.45718120876235974,4.571812087623598,0.0,2.7431,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.30186269839515256,2.0,1.0,99.0,0.000926,0.0,133522.7516027993,0.0,2.15102,,1.0,0.0,0.23187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
