ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
KORU,LONG,0.9386482190069231,9.38648219006923,6.2,7.5932,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",5.2,NEUTRAL,trend_continuation,,,700.0,335.0,29.76,37.9,4950.0,11436.0,2.31,9712.0,4419.0,2255.0,76.2,1.503,1.96,0.0,0.76,1.4,1.98,0.09,11,1.0,99.0,0.004747,0.0,272169.28380193625,0.0,170.694444,10,0,0.652674,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.00152,0.0,0.757238,0.0,0.0,0.0,,,,,,,
FCEL,LONG,0.6964994530821067,6.964994530821067,0.0,4.179,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001689,0.0,34462.67805727466,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5e-06,0.0,0.076847,0.0,0.0,0.0,,,,,,,
SMMT,LONG,0.630420019469554,6.3042001946955395,7.06,6.2901,poor_rr (0.4:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.1,NEUTRAL,trend_continuation,,,25.0,20.0,4.56,16.35,43332.0,30631.0,0.707,19730.0,28746.0,25487.0,76.3,1.044,2.87,0.12,1.0,1.4,0.66,1.0,1,1.0,99.0,4.9e-05,0.0,674872.6288287338,0.0,21.771014,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.3e-05,0.0,0.381442,0.0,0.0,0.0,23.91,21.04,25.0,0.38,,,
SYF,LONG,0.5051813494761042,5.051813494761042,6.48,5.5899,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.6,NEUTRAL,trend_continuation,,,80.0,60.0,2.04,23.47,22409.0,40298.0,1.798,27909.0,16682.0,18116.0,38.0,0.328,2.4,0.0,1.0,1.4,1.31,0.36,1,1.0,99.0,1.9e-05,0.0,0.00013200574164791317,0.0,1666.666667,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.326893,0.0,0.0,0.0,,,,,,,
CRCL,LONG,0.49598078506049903,4.9598078506049905,6.31,5.6729,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.5,NEGATIVE,trend_continuation,-7230540.79,102.86,120.0,100.0,16.73,2.72,381766.0,277327.0,0.726,215442.0,152788.0,290863.0,91.5,0.988,1.71,0.87,1.0,1.4,0.91,0.41,5,1.0,99.0,0.000199,2.5e-05,661582.2620881358,7.370240056116283e-06,8.857671,2,0,0.281338,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.6e-05,0.0,0.714855,0.546425,0.0,0.0,,,,,5.478417,,
PTON,LONG,0.41015703745310383,4.101570374531038,5.95,4.7758,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.7,POSITIVE,trend_continuation,1331180.32,4.95,10.0,3.0,101.82,39.46,556962.0,214311.0,0.385,155980.0,244396.0,370897.0,79.6,0.849,2.62,0.58,1.0,1.4,0.34,0.0,1,1.0,99.0,0.000273,0.0,4.8127149795879175e-30,0.0,3.887723,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.585488,0.0,0.0,0.0,,,,,,,
DIA,LONG,0.375,3.75,0.0,2.25,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,2.5467339181793176,0.0,0.0,1.18537196709921,0.46544790511395195,172.0,0,0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.645876,0.421066,0.0,0.0,,,,,3.242812,,
XLI,LONG,0.375,3.75,5.22,4.781,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.7,NEGATIVE,ema_pullback,-1473826.32,170.76,185.0,145.0,8.34,15.09,101288.0,589555.0,5.821,258374.0,329021.0,103448.0,86.5,0.225,1.8,0.81,0.86,1.2,0.44,0.12,1,1.0,99.0,0.0,0.0,9.924671151719207e-12,0.0,1153.846154,0,0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.083392,0.0,0.0,0.0,,,,,,,
MRVL,LONG,0.37192912559363833,3.7192912559363833,0.0,2.2316,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,1.4e-05,0.0,1721145.2301890294,0.0,287.4,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9e-06,0.0,0.706258,0.0,0.0,0.0,,,,,,,
ANET,LONG,0.3522725273817182,3.522725273817182,0.0,2.1136,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,99.0,1.6e-05,0.0,10567.757337462092,0.0,2.430199,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.201858,0.0,0.0,0.0,,,,,,,
