ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi
TTMI,LONG,0.5688239895169249,5.688239895169249,5.76,5.6321,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.3,NEUTRAL,ema_pullback,,,200.0,85.0,15.98,50.71,24737.0,11294.0,0.457,22778.0,5643.0,7610.0,98.8,1.02,2.23,0.89,0.66,1.2,0.37,0.4,False,default,2.5,False,5,1.0,99.0,0.000327,3.8e-05,77072.37226748245,5.53330381231618,57.062577,0,0,2e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.1e-05,0.0,0.655175,0.364789,0.0,0.0,1.0,0.5688239895169249,0.5688239895169249,n/a,2026-06-01,2026-06-01,False,,,,,
NVT,LONG,0.5236344909223163,5.236344909223163,7.33,5.8972,poor_rr (1.4:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.4,NEUTRAL,flag_breakout,,,200.0,145.0,16.58,15.48,36254.0,12535.0,0.346,34364.0,6942.0,7483.0,96.7,0.578,2.07,0.59,1.0,1.6,1.68,0.4,False,consolidation_break,3.0,False,1,1.0,99.0,4.4e-05,0.0,541541.9346631427,0.0,13.8,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9e-06,0.0,0.443869,0.0,0.0,0.0,1.0,0.5236344909223163,0.5236344909223163,n/a,2026-06-01,2026-06-01,False,171.55,150.96,200.0,1.38,
BURL,LONG,0.5132101948829006,5.132101948829007,6.79,5.8431,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none,6.2,NEUTRAL,support_ema_confluence,,,390.0,260.0,24.2,17.2,8497.0,42116.0,4.957,29454.0,16117.0,5042.0,60.1,0.416,1.7,0.94,0.85,1.6,1.24,0.46,False,default,2.5,False,3,1.0,27.786086465559706,8.3e-05,2.2e-05,2.6979328380963246,0.19419307871515898,256.288436,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.121112,0.772347,0.0,0.0,1.0,0.5132101948829006,0.5132101948829006,n/a,2026-06-01,2026-06-01,False,,,,,13.25
TRIP,LONG,0.5065163738543761,5.065163738543761,6.71,5.7056,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.8,NEUTRAL,trend_continuation,,,20.0,8.0,65.29,33.88,147392.0,102373.0,0.695,43807.0,21687.0,184271.0,83.0,0.661,1.87,0.01,1.0,1.4,1.95,0.48,False,consolidation_break,3.0,False,1,1.0,99.0,0.000472,0.0,1.3389216142499668e-09,0.0,23.465863,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.499092,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-06-01,2026-06-01,False,,,,,
AS,LONG,0.5065163738543761,5.065163738543761,0.0,3.0391,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,4.133757492005261e-15,4e-05,6.4e-05,1.1002697518175806e-09,133083.49049811414,47.144928,0,0,0.0,1e-06,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,4e-06,0.459276,0.299877,0.0,0.0,,,,,,,False,,,,,31.451358
ACMR,LONG,0.5013927361589876,5.013927361589876,6.53,5.546,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.4,NEUTRAL,trend_continuation,,,100.0,75.0,21.88,8.59,34993.0,9292.0,0.266,14061.0,12682.0,17542.0,95.0,0.984,2.92,0.64,0.66,1.4,0.64,0.28,False,sustained_trend,5.0,False,2,1.0,99.0,0.000229,0.0,0.17437026205529121,0.0,154.37931,1,0,0.039691,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.074323,0.0,0.0,0.0,1.0,0.5013927361589876,0.5013927361589876,n/a,2026-06-01,2026-06-01,False,,,,,
ALHC,LONG,0.4808020881400903,4.808020881400903,2.09,4.371,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",6.7,NEUTRAL,unknown,,,20.0,10.0,50.38,24.81,21082.0,2083.0,0.099,2265.0,9163.0,11737.0,79.5,0.603,0.0,0.0,1.0,0.0,0.15,0.94,True,default,2.5,False,1,0.7,99.0,0.000172,0.0,7.214654355823503e-10,0.0,64.655172,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.396701,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-06-01,2026-06-01,False,,,,,
OKLO,LONG,0.4496183633964973,4.496183633964973,6.23,5.7171,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,8.0,NEGATIVE,trend_continuation,-6244752.82,,200.0,50.0,199.0,25.25,373862.0,257298.0,0.688,214516.0,90414.0,326230.0,59.6,1.009,1.74,0.99,1.0,1.4,0.58,0.52,False,sustained_trend,5.0,False,1,1.0,99.0,9.7e-05,0.0,832532.5616689188,0.0,1.638067,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.2e-05,0.0,0.165222,0.0,0.0,0.0,1.0,0.4496183633964973,0.4496183633964973,n/a,2026-06-01,2026-06-01,False,,,,,
RH,LONG,0.43559285470118936,4.355928547011894,6.33,5.197,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.6,NEUTRAL,trend_continuation,,,250.0,95.0,67.41,36.38,40616.0,35613.0,0.877,23451.0,7757.0,45021.0,75.5,0.859,1.67,0.37,1.0,1.4,1.68,0.21,False,default,2.5,False,1,1.0,99.0,0.000101,0.0,121659.6611239447,0.0,1.885496,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.5e-05,0.0,0.566747,0.0,0.0,0.0,1.0,0.43559285470118936,0.43559285470118936,n/a,2026-06-01,2026-06-01,False,,,,,
ON,LONG,0.4306125291509953,4.306125291509953,4.36,4.2211,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",3.8,POSITIVE,unknown,1306065.67,119.42,145.0,100.0,19.91,17.3,130466.0,109939.0,0.843,81154.0,34075.0,125176.0,95.0,0.712,2.75,0.41,0.33,0.0,0.77,0.1,False,default,2.5,False,5,1.0,99.0,4.6e-05,1.5e-05,76375.30640215924,2.615691164513512e-07,26.615843,3,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.399352,0.590283,0.0,0.0,1.0,0.4306125291509953,0.4306125291509953,n/a,2026-06-01,2026-06-01,False,,,,,12.189189
ZETA,LONG,0.4194324040296333,4.194324040296332,7.67,5.3782,poor_rr (1.6:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.9,POSITIVE,trend_continuation,4368421.01,,30.0,17.5,18.95,30.61,250279.0,92427.0,0.369,111178.0,64922.0,166606.0,68.5,0.798,2.32,0.09,1.0,1.4,1.86,1.0,False,sustained_trend,5.0,False,1,1.0,99.0,0.000268,0.0,1.492722498574785e-10,0.0,76.067708,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.287385,0.0,0.0,0.0,1.0,0.4194324040296333,0.4194324040296333,n/a,2026-06-01,2026-06-01,False,25.22,22.19,30.0,1.58,
RVMD,LONG,0.40454167786321354,4.045416778632135,8.36,5.7907,poor_rr (0.8:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.3,NEUTRAL,flag_breakout,,,180.0,50.0,9.97,69.45,57552.0,60561.0,1.052,82405.0,1177.0,34531.0,57.8,0.565,2.52,0.56,1.0,1.6,1.68,1.0,False,sustained_trend,5.0,False,2,1.0,99.0,3.4e-05,0.0,243451.29716462502,0.0,1.159914,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,0.0,0.385946,0.0,0.0,0.0,1.0,0.40454167786321354,0.40454167786321354,n/a,2026-06-01,2026-06-01,False,163.68,144.04,180.0,0.83,
IGV,LONG,0.39323861091503126,3.9323861091503125,7.46,4.7642,poor_rr (0.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,2.8,POSITIVE,trend_continuation,36749751.86,107.66,110.0,80.0,2.14,25.72,625847.0,1163974.0,1.86,492929.0,586862.0,710030.0,98.7,0.43,2.16,0.07,1.0,1.4,1.96,0.88,False,sustained_trend,5.0,False,1,1.0,99.0,3e-05,0.0,292022.5562161765,0.0,314.34375,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,7e-06,0.0,0.335696,0.0,0.0,0.0,1.0,0.39323861091503126,0.39323861091503126,n/a,2026-06-01,2026-06-01,False,107.7,94.78,110.0,0.18,
TSM,LONG,0.3876759042319715,3.876759042319715,7.15,5.2234,poor_rr (1.2:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.7,NEGATIVE,flag_breakout,-28228887.28,,500.0,400.0,14.78,8.18,790029.0,970915.0,1.229,555018.0,268255.0,937671.0,96.6,0.478,2.04,0.64,1.0,1.6,1.3,0.57,False,sustained_trend,5.0,False,4,1.0,99.0,4e-06,0.0,6.863629276920007e-19,0.0,69.036017,3,0,0.676903,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.457346,0.0,0.0,0.0,1.0,0.3876759042319715,0.3876759042319715,n/a,2026-06-01,2026-06-01,False,435.63,383.35,500.0,1.23,
NBIS,LONG,0.3803725237106007,3.803725237106007,6.97,5.2729,price_validation_failed,"confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.4,NEGATIVE,unknown,-314998.63,,300.0,10.0,13.42,96.22,483784.0,470983.0,0.974,334676.0,96427.0,523664.0,90.2,1.099,2.56,0.01,1.0,1.2,1.73,0.48,False,consolidation_break,3.0,False,4,1.0,99.0,0.000102,0.0,12.342723310558027,0.0,17.243307,1,0,0.531016,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.046828,0.0,0.0,0.0,1.0,0.3803725237106007,0.3803725237106007,n/a,2026-06-01,2026-06-01,False,,,,,
QCOM,LONG,0.36809197808427735,3.6809197808427734,0.0,2.2086,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,9.902497326759631,9e-06,2.2e-05,0.7085626835033235,0.14310787675520326,1.28694,1,0,0.353167,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.167391,0.493455,0.0,0.0,,,,,,,False,,,,,8.596215
INSM,LONG,0.35328208203196243,3.5328208203196243,0.0,2.1197,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,0.7,1.970830354270308e-25,2.4e-05,6.7e-05,3.2237792932014134e-24,8.178733614022818,83.666667,0,0,0.0,0.346154,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.117039,0.361664,0.0,0.0,,,,,,,False,,,,,140.75
PANW,LONG,0.3505128055083243,3.505128055083243,7.91,5.2856,poor_rr (1.6:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.8,NEGATIVE,trend_continuation,-2549531.05,300.5,360.0,150.0,19.81,50.08,290477.0,294500.0,1.014,186456.0,80831.0,317690.0,100.0,0.764,2.89,0.02,1.0,1.4,1.92,0.67,False,sustained_trend,5.0,False,4,1.0,99.0,1.1e-05,2e-06,234785.0580116217,4.99735435754337,2.562859,0,0,0.417923,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.348476,0.49067,0.0,0.0,1.0,0.3505128055083243,0.3505128055083243,n/a,2026-06-01,2026-06-01,False,300.48,264.42,360.0,1.65,1.730337
MRVL,LONG,0.34910041333459285,3.4910041333459283,0.0,2.0946,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,99.0,1.1e-05,2.2e-05,39176.83575416516,28.182948892282074,23.144756,3,2,0.000116,0.073677,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.408334,0.402215,0.0,0.0,,,,,,,False,,,,,4.244534
BE,LONG,0.33288165134930087,3.3288165134930088,0.0,1.9973,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,11,1.0,2.076163585126617,0.000163,0.000236,57.60953549157349,15.856040825706794,3.770104,1,2,0.096782,0.01817,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.520141,0.572456,0.0,0.0,,,,,,,False,,,,,8.320353
