ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
TTWO,LONG,0.6063909587727414,6.063909587727414,3.87,5.153,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",4.8,POSITIVE,ema_pullback,29210474.71,232.1,310.0,180.0,33.35,22.57,180086.0,80095.0,0.445,68649.0,101401.0,90131.0,95.2,0.55,0.0,0.62,0.63,1.2,0.42,1.0,False,default,2.5,False,2,1.0,99.0,0.000223,0.0,1076717.397673924,0.0,6.915136,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.7e-05,0.0,0.542599,0.0,0.0,0.0,1.0,0.6063909587727414,0.6063909587727414,n/a,2026-08-07,2026-08-07,False,,,,,
TRIP,LONG,0.5344681148288596,5.344681148288596,3.52,5.2083,price_validation_failed,"confirmation_volume, room_to_target, trend_continuation","momentum_aligned, not_extended, trend_aligned",7.4,NEUTRAL,trend_continuation,,,20.0,8.0,91.94,23.22,134277.0,105687.0,0.787,27329.0,29735.0,182900.0,35.1,0.545,0.0,0.0,1.0,1.4,0.12,1.0,True,default,2.5,False,2,1.0,99.0,0.000798,0.0,1.8236301875508932e-24,0.0,38.526881,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.360029,0.0,0.0,0.0,1.0,0.5344681148288596,0.5344681148288596,n/a,2026-08-07,2026-08-07,False,,,,,
SRRK,LONG,0.5065163738543761,5.065163738543761,5.63,5.7216,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,7.5,NEUTRAL,flag_breakout,,,60.0,45.0,13.98,14.51,12579.0,5780.0,0.459,7687.0,5374.0,5298.0,42.6,0.586,0.0,0.63,1.0,1.6,1.75,0.65,False,consolidation_break,3.0,False,1,1.0,99.0,0.000197,0.0,2.0251638452070432e-20,0.0,272.727273,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.203258,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-07,2026-08-07,False,,,,,
ROK,LONG,0.5065163738543761,5.065163738543761,3.35,4.7576,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.1,NEUTRAL,ema_pullback,,,560.0,380.0,26.75,13.99,10546.0,10614.0,1.006,11423.0,3813.0,5924.0,26.6,0.314,0.0,0.51,1.0,1.2,0.31,0.32,False,default,2.5,False,1,1.0,99.0,4.5e-05,0.0,7.60345609289875e-31,0.0,7.156425,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342728,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-07,2026-08-07,False,,,,,
CXW,LONG,0.5065163738543761,5.065163738543761,6.74,6.0146,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, trend_aligned",room_to_target,7.3,NEUTRAL,unknown,,,34.0,13.0,5.46,59.68,88824.0,14583.0,0.164,51187.0,24038.0,28182.0,54.8,0.459,2.29,0.57,0.0,1.6,1.36,0.92,False,default,2.5,False,3,1.0,5.647894294116791e-26,0.001027,0.000178,3.763174497893833e-57,3.3314845338144844e-32,3.313478,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.903551,0.418642,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-07,2026-08-07,False,2.330373,,,,
SKHY,LONG,0.4984106991712027,4.984106991712027,0.0,2.9905,error: Need at least 21 rows to compute support/resistance,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,10,1.0,99.0,2.4e-05,1e-06,3169.9325633028147,102.92599629070311,56.988603,3,0,0.727678,0.0,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,4,0.0,0.0,0.219703,0.131624,0.0,0.0,,,,,,,False,1.619385,,,,
RMD,LONG,0.48262247817550263,4.826224781755027,7.18,5.1871,poor_rr (0.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,3.1,NEUTRAL,trend_continuation,,,230.0,220.0,3.03,1.45,9150.0,10369.0,1.133,8638.0,5119.0,5762.0,97.6,0.46,2.06,0.57,1.0,1.4,1.73,0.43,False,sustained_trend,5.0,False,1,1.0,99.0,9e-06,0.0,3.0287154317938817e-28,0.0,66.75,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.325121,0.0,0.0,0.0,1.0,0.48262247817550263,0.48262247817550263,n/a,2026-08-07,2026-08-07,False,,223.24,196.45,230.0,0.25
TPL,LONG,0.4320799959538361,4.320799959538361,2.4,4.4404,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.8,NEUTRAL,unknown,,,560.0,300.0,57.46,15.65,16314.0,9897.0,0.607,3620.0,16875.0,5716.0,35.0,0.462,0.0,0.12,1.0,0.0,0.28,1.0,False,default,2.5,False,1,1.0,99.0,2.1e-05,0.0,3.4776347323666364e-11,0.0,8.111111,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.819098,0.0,0.0,0.0,1.0,0.4320799959538361,0.4320799959538361,n/a,2026-08-07,2026-08-07,False,,,,,
CW,LONG,0.3867070521671241,3.867070521671241,3.1,4.1235,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",6.3,NEUTRAL,trend_continuation,,,770.0,610.0,7.84,14.57,1557.0,1484.0,0.953,897.0,1205.0,939.0,80.4,0.443,0.0,0.72,0.37,1.4,0.13,0.48,False,default,2.5,False,2,1.0,1.8892126993287137e-13,1.9e-05,1.1e-05,6.811115597365832e-11,360.52666805521676,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.766599,0.844174,0.0,0.0,1.0,0.3867070521671241,0.3867070521671241,n/a,2026-08-07,2026-08-07,False,3.333333,,,,
DDOG,LONG,0.3772823233552848,3.772823233552848,0.0,2.2637,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,2.4456454285638847,3.9e-05,3.7e-05,166359.92797496976,68022.9137192052,9.021545,2,1,0.328278,0.068689,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.327175,0.116433,0.0,0.0,,,,,,,False,2.757799,,,,
PDD,LONG,0.37473811338067325,3.7473811338067327,6.78,4.9477,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.2,POSITIVE,trend_continuation,7722506.33,90.83,100.0,80.0,10.07,11.94,615586.0,448690.0,0.729,200057.0,246993.0,617226.0,70.4,0.416,2.11,0.66,1.0,1.4,1.53,0.08,False,sustained_trend,5.0,False,1,1.0,99.0,2.4e-05,0.0,1535369.9003665077,0.0,1.503456,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,0.0,0.365121,0.0,0.0,0.0,1.0,0.37473811338067325,0.37473811338067325,n/a,2026-08-07,2026-08-07,False,,,,,
GEO,LONG,0.3729797833890629,3.729797833890629,6.41,4.8879,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.5,NEUTRAL,ema_pullback,,,34.0,8.0,12.81,73.46,162975.0,29184.0,0.179,71329.0,26352.0,94478.0,9.4,0.487,2.19,0.89,0.51,1.2,0.78,0.86,False,default,2.5,False,1,0.7,99.0,0.000122,0.0,12887.666430130153,0.0,62.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.270111,0.0,0.0,0.0,1.0,0.3729797833890629,0.3729797833890629,n/a,2026-08-07,2026-08-07,False,,,,,
NXPI,LONG,0.35835123044136835,3.5835123044136834,3.21,3.9948,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.2,NEUTRAL,bounce_and_fail,,,320.0,210.0,38.06,9.4,40323.0,32407.0,0.804,19925.0,23538.0,29267.0,76.9,0.529,0.0,0.28,1.0,1.0,0.81,0.11,False,default,2.5,False,2,1.0,99.0,2.2e-05,6e-06,3.802575840124478e-14,1.37664985918403e-19,2.3,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.060541,0.374462,0.0,0.0,1.0,0.35835123044136835,0.35835123044136835,n/a,2026-08-07,2026-08-07,False,1.207493,,,,
BE,LONG,0.3579104961521426,3.579104961521426,0.0,2.1475,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,7,1.0,0.5495499450096429,0.000141,0.000114,169.33731438832424,410.8508933562666,3.4489,1,2,0.59284,0.363411,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.076916,0.060843,0.0,0.0,,,,,,,False,7.417609,,,,
STX,LONG,0.3568866109865548,3.5688661098655476,5.67,4.2054,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,3.6,POSITIVE,retest_and_confirm,10201521.52,852.71,1000.0,200.0,17.24,76.55,116836.0,161405.0,1.381,92399.0,45519.0,140323.0,83.1,0.905,1.6,0.97,0.27,1.4,1.11,0.32,False,default,2.5,False,6,1.0,99.0,1.4e-05,0.0,60055.93648771968,0.0,20.777107,1,0,0.415627,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.282917,0.0,0.0,0.0,1.0,0.3568866109865548,0.3568866109865548,n/a,2026-08-07,2026-08-07,False,,,,,
MRVL,LONG,0.35428493746483714,3.5428493746483714,0.0,2.1257,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,99.0,2e-05,1.7e-05,1735.9528975618348,0.010202422180887996,4.802789,1,2,0.022046,0.003161,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.00893,0.241832,0.0,0.0,,,,,,,False,9.693126,,,,
MSTR,LONG,0.34541963289186733,3.4541963289186732,5.0,4.0871,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.3,POSITIVE,trend_continuation,102591780.73,96.78,100.0,50.0,3.25,48.37,1419302.0,1234102.0,0.87,977579.0,487476.0,1188349.0,34.3,0.701,0.0,0.96,1.0,1.4,1.52,0.11,False,default,2.5,False,4,1.0,99.0,0.000167,0.0,1236.1906857138704,0.0,6.963694,0,0,0.480152,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.023456,0.0,0.0,0.0,1.0,0.34541963289186733,0.34541963289186733,n/a,2026-08-07,2026-08-07,False,,,,,
TWLO,LONG,0.3389984985426856,3.389984985426856,5.2,4.315,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,5.3,NEUTRAL,retest_and_confirm,,,220.0,130.0,13.87,32.71,50242.0,32481.0,0.646,30001.0,16450.0,36272.0,99.8,0.852,0.0,0.85,1.0,1.4,0.94,1.0,False,default,2.5,False,2,1.0,99.0,3.5e-05,0.0,3425.209658689303,0.0,15.751453,0,0,0.172522,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.539872,0.0,0.0,0.0,1.0,0.3389984985426856,0.3389984985426856,n/a,2026-08-07,2026-08-07,False,,,,,
VRT,LONG,0.3372560272137306,3.372560272137306,5.1,4.8163,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",8.0,NEGATIVE,pullback_to_support,-2219159.65,275.12,340.0,210.0,23.56,23.68,228631.0,251339.0,1.099,162533.0,95732.0,221705.0,37.2,0.65,0.0,0.93,1.0,1.4,1.58,0.19,False,default,2.5,False,6,1.0,0.5288811982121464,5.1e-05,2.4e-05,11.016615962872358,41.66007791584733,8.407048,1,0,1.7e-05,1e-06,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.093623,0.625547,0.0,0.0,1.0,0.3372560272137306,0.3372560272137306,n/a,2026-08-07,2026-08-07,False,2.04077,,,,
DELL,LONG,0.3369289684477959,3.369289684477959,4.9,3.5346,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",1.9,POSITIVE,ema_pullback,28241369.68,437.55,450.0,100.0,2.82,77.15,300299.0,363056.0,1.209,166601.0,153660.0,343094.0,99.3,0.941,1.62,0.83,0.03,1.2,0.99,0.22,False,default,2.5,False,4,1.0,0.01328464567103347,1.3e-05,4e-06,74.07248759703818,16727.39102674368,2.068509,1,1,0.633119,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.00493,0.253174,0.0,0.0,1.0,0.3369289684477959,0.3369289684477959,n/a,2026-08-07,2026-08-07,False,2.182432,,,,
TQQQ,LONG,0.3293293458942012,3.293293458942012,6.33,4.6856,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,5.7,POSITIVE,support_ema_confluence,33865843.12,71.89,80.0,60.0,11.06,16.7,882454.0,656605.0,0.744,622540.0,229093.0,687426.0,50.8,0.631,1.76,0.76,0.55,1.6,1.38,0.26,False,default,2.5,False,2,1.0,99.0,0.0,0.0,10905.085564477682,0.0,16.381469,0,0,0.253582,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.258364,0.0,0.0,0.0,1.0,0.3293293458942012,0.3293293458942012,n/a,2026-08-07,2026-08-07,False,,,,,
PH,LONG,0.3288875538094991,3.288875538094991,7.21,4.9274,poor_rr (0.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.6,NEUTRAL,trend_continuation,,,1100.0,930.0,2.82,13.07,7267.0,3949.0,0.543,5463.0,1788.0,3965.0,56.5,0.316,1.85,0.42,1.0,1.4,1.58,0.96,False,sustained_trend,5.0,False,1,0.7,99.0,2e-06,0.0,0.0003967042305820703,0.0,246.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.214946,0.0,0.0,0.0,1.0,0.3288875538094991,0.3288875538094991,n/a,2026-08-07,2026-08-07,False,,1069.8,941.42,1100.0,0.24
RGTI,LONG,0.32441373565647125,3.2441373565647122,4.6,4.2021,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,6.0,POSITIVE,ema_pullback,1172115.2,16.54,20.0,5.0,20.99,69.75,383094.0,292420.0,0.763,231937.0,147880.0,295697.0,48.5,0.977,0.0,0.84,1.0,1.2,1.21,0.35,False,default,2.5,False,2,1.0,99.0,0.000318,0.0,0.0008212228573448358,0.0,3.442209,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.590349,0.0,0.0,0.0,1.0,0.32441373565647125,0.32441373565647125,n/a,2026-08-07,2026-08-07,False,,,,,
HWM,LONG,0.32339256317496745,3.2339256317496745,4.74,4.159,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, trend_aligned",room_to_target,5.6,NEUTRAL,ema_pullback,,,300.0,220.0,3.55,24.06,23162.0,16700.0,0.721,11349.0,11967.0,16546.0,19.1,0.334,1.63,0.65,0.0,1.2,0.74,0.51,False,default,2.5,False,1,1.0,99.0,3e-06,0.0,4.777900261795673e-45,0.0,1520.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.080698,0.0,0.0,0.0,1.0,0.32339256317496745,0.32339256317496745,n/a,2026-08-07,2026-08-07,False,,,,,
WULF,LONG,0.31957008380188057,3.195700838018806,2.17,3.4289,price_validation_failed,"bounce_and_fail, not_extended","confirmation_volume, momentum_aligned, room_to_target, trend_aligned",5.9,POSITIVE,bounce_and_fail,4735145.26,17.59,30.0,17.0,70.31,3.49,1873161.0,744753.0,0.398,952328.0,450280.0,1215306.0,34.6,0.96,0.0,0.68,0.0,1.0,0.39,0.1,False,default,2.5,False,3,1.0,4.798507462686568,0.000357,7.4e-05,134.69124554946015,56.13880840941729,5.083978,0,0,0.090202,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.153755,0.001588,0.0,0.0,1.0,0.31957008380188057,0.31957008380188057,n/a,2026-08-07,2026-08-07,False,2.168219,,,,
ANET,LONG,0.30779384289556266,3.0779384289556266,0.0,1.8468,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,0.2808407541501873,6e-06,1.1e-05,9358.611166472863,16661.775451343663,22.732022,1,1,0.0,0.554554,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.063492,0.466258,0.0,0.0,,,,,,,False,5.504961,,,,
XOM,LONG,0.3020688173979974,3.0206881739799742,0.0,1.8124,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,3.4922389238389552e-15,2e-06,6e-06,5.560743340789075e-13,238.84720355886688,4.646953,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.294762,0.151528,0.0,0.0,,,,,,,False,1.733055,,,,
SNOW,LONG,0.30180479100524793,3.0180479100524793,6.59,3.766,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,1.4,POSITIVE,trend_continuation,43257019.99,,320.0,160.0,0.63,49.69,290007.0,261589.0,0.902,126956.0,71175.0,353465.0,83.2,0.76,2.5,0.56,0.0,1.4,1.67,0.46,False,sustained_trend,5.0,False,4,1.0,99.0,1.8e-05,5e-06,25.98041353332091,3.7899365796646836e-05,2.374214,0,1,1e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.078176,0.596964,0.0,0.0,1.0,0.30180479100524793,0.30180479100524793,n/a,2026-08-07,2026-08-07,False,3.666667,,,,
SITM,LONG,0.3006542528352192,3.006542528352192,0.0,1.8039,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,0.7,8.464513656081143e-07,3.8e-05,0.000117,0.011003002859869293,3249.7445532397564,4.769231,0,0,0.0,0.489012,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.40501,0.163836,0.0,0.0,,,,,,,False,21.65,,,,
