ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
COPX,LONG,0.676516373854376,6.765163738543761,5.75,6.7076,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,8.0,NEUTRAL,ema_pullback,,,100.0,75.0,20.08,9.94,172349.0,75860.0,0.44,32970.0,126389.0,88850.0,55.0,0.484,1.72,0.9,1.0,1.2,0.1,0.82,False,default,2.5,False,1,1.0,99.0,0.002792,0.0,327427.3316619975,0.0,4.129103,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.7e-05,0.0,0.253884,0.0,0.0,0.0,1.0,0.676516373854376,0.676516373854376,n/a,2026-05-15,2026-05-15,False,
W,LONG,0.5149380213584736,5.1493802135847355,0.0,3.0896,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,8.4e-05,0.000156,397901.08789913444,1.0238263006334594e-12,65.372549,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.050949,0.570937,0.0,0.0,,,,,,,False,32.541667
WING,LONG,0.514715915908069,5.14715915908069,4.37,5.2446,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,6.8,NEUTRAL,bounce_and_fail,,,210.0,120.0,64.6,5.94,22455.0,25993.0,1.158,13664.0,15091.0,19693.0,61.2,0.7,0.0,0.22,1.0,1.0,1.55,0.6,False,default,2.5,False,1,1.0,99.0,0.000202,0.0,535911.0164112749,0.0,15.846154,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9.2e-05,0.0,0.554011,0.0,0.0,0.0,1.0,0.514715915908069,0.514715915908069,n/a,2026-05-15,2026-05-15,False,
AS,LONG,0.4838558014076178,4.838558014076178,3.48,4.6433,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",5.9,NEUTRAL,trend_continuation,,,40.0,30.0,20.97,9.27,35965.0,26653.0,0.741,14056.0,35693.0,12869.0,77.0,0.589,0.0,0.54,1.0,1.4,0.29,0.25,False,default,2.5,False,1,1.0,99.0,2.1e-05,0.0,4.862154236471341e-12,0.0,40.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.071483,0.0,0.0,0.0,1.0,0.4838558014076178,0.4838558014076178,n/a,2026-05-15,2026-05-15,False,
MRVL,LONG,0.46769697913871194,4.676969791387119,6.46,5.0965,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.1,NEGATIVE,trend_continuation,-3868736.69,179.74,180.0,75.0,0.07,58.3,655529.0,831596.0,1.269,394216.0,489835.0,603074.0,99.2,0.972,2.68,0.64,0.29,1.4,1.28,0.17,False,sustained_trend,5.0,False,10,1.0,99.0,4.6e-05,9e-06,460.19754261604515,3.059569444589899e-07,10.016777,4,0,0.416976,0.637549,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.408054,0.118098,0.0,0.0,1.0,0.46769697913871194,0.46769697913871194,n/a,2026-05-15,2026-05-15,False,11.02173
AXTI,LONG,0.46548692490557897,4.65486924905579,0.0,2.7929,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,11,1.0,1.0319168250508572,0.000896,0.001094,27628.7631198962,32129.058213816257,369.404907,3,0,0.491074,0.017099,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.4e-05,1.4e-05,0.623083,0.661468,0.0,0.0,,,,,,,False,228.199414
TSM,LONG,0.4318391309677797,4.318391309677797,5.38,4.2532,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",2.4,POSITIVE,ema_pullback,30935210.6,407.34,420.0,300.0,3.08,26.37,845535.0,1101114.0,1.302,516413.0,467729.0,962507.0,83.7,0.451,1.93,0.71,0.19,1.2,1.19,0.17,False,default,2.5,False,6,1.0,99.0,9e-06,1e-06,263.2677938488956,1.4725370398384387e-11,58.528814,4,0,0.676903,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.457346,0.355049,0.0,0.0,1.0,0.4318391309677797,0.4318391309677797,n/a,2026-05-15,2026-05-15,False,1.663443
COHR,LONG,0.4211777030495588,4.211777030495588,0.0,2.5271,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,9,1.0,0.5075378151656608,6.2e-05,7.3e-05,723.1843752496875,2849.7753414241247,128.82,5,0,0.009539,0.467526,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.487776,0.471845,0.0,0.0,,,,,,,False,362.0
BG,LONG,0.40309303480232217,4.0309303480232215,3.06,4.6135,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.4,NEUTRAL,ema_pullback,,,160.0,120.0,31.22,1.59,27818.0,7852.0,0.282,4532.0,10202.0,20936.0,38.0,0.313,0.0,0.67,1.0,1.2,0.19,0.0,False,default,2.5,False,1,1.0,99.0,1.2e-05,0.0,3.87366747189478e-06,0.0,2.222222,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.552309,0.0,0.0,0.0,1.0,0.40309303480232217,0.40309303480232217,n/a,2026-05-15,2026-05-15,False,
WOLF,LONG,0.35422509846591227,3.542250984659123,0.0,2.1254,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,0.008999820630476834,7.9e-05,0.000981,1197.8217912391567,44364.65423110301,37.813187,0,0,0.0,0.34041,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2.9e-05,0.009962,0.732864,0.0,0.0,,,,,,,False,200.444444
