ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
DELL,LONG,0.8877874485340091,8.877874485340092,0.0,5.3267,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.3116253701330667,25.0,1.0,7.275084232952996,0.002779,0.00011,51909.05204352318,52324.669991894894,8.844921,8.758626,7.0,0.0,0.789848,0.307881,,,,
SATS,LONG,0.8783450238095238,8.783450238095238,8.1,8.7617,poor_rr (1.5:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakout, trend_aligned",none,9.7,NEGATIVE,structural_breakout,-1780343.77,122.77,150.0,85.0,22.1,30.81,242679.0,114514.0,0.472,68776.0,99734.0,188683.0,1.53,0.57,1.0,2.0,2.0,1.0,1880.0322654919664,16.0,1.0,8.54861464072489,0.007163,0.001483,537184.0000023408,80792.63973017111,5.005287,0.375483,1.0,0.0,0.508497,0.441778,122.85,112.92,137.51,1.48
INTU,LONG,0.8276013296454158,8.276013296454158,0.0,4.9656,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.65,0.0,0.0,0.0,0.0,1.8515048648317816,18.0,1.0,23.671165369767923,0.002114,0.000101,167715.30076387562,35426.076017802734,8.242764,0.331584,4.0,1.0,0.785167,0.468156,,,,
ARM,LONG,0.7755551126533983,7.755551126533983,0.0,4.6533,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.653369564655916,15.0,1.0,29.865723553169428,0.002694,6.4e-05,77020.34539906771,36104.42699194266,1.198494,0.373429,6.0,1.0,0.714615,0.0,,,,
ETSY,LONG,0.7384409910782278,7.384409910782278,0.0,4.4306,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.37,0.0,0.0,0.0,0.0,9.779833038164002,8.0,1.0,4.883734145254497,0.005283,0.000705,7185.710814166618,10299.49096390568,30.160531,0.519264,3.0,0.0,0.466745,0.0,,,,
PDD,LONG,0.6917403377116824,6.917403377116824,4.68,6.7627,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended","room_to_target, trend_aligned",9.5,NEGATIVE,flag_breakout,-5805278.83,,130.0,100.0,23.57,4.94,551315.0,467552.0,0.848,290922.0,336700.0,391245.0,0.0,0.45,0.02,1.6,1.6,1.0,998363.2302065312,19.0,1.0,2.6215586951690137,0.003824,0.001803,116367.35838707793,25893.358475711128,1.005562,0.877069,2.0,6.0,0.361288,0.210291,,,,
TSM,LONG,0.6688594519357475,6.6885945193574745,7.21,7.1073,weak_relative_strength (-2.9% vs SPY),"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned",room_to_target,8.0,NEGATIVE,support_ema_confluence,-19915562.99,,400.0,300.0,14.6,14.05,657178.0,893681.0,1.36,509324.0,404868.0,636667.0,1.92,0.89,0.0,1.6,1.89,0.91,371.1560372965813,15.0,1.0,7.093580203193249,0.001179,0.000243,422044.47965560126,118993.36232657623,1.544903,0.511872,1.0,0.0,0.10608,0.374685,,,,
HPE,LONG,0.6502907408534249,6.502907408534249,0.0,3.9017,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.979675014739174,5.0,1.0,99.0,0.001471,0.0,44308.258624753085,0.0,2.763154,,0.0,0.0,0.566916,0.0,,,,
MDB,LONG,0.630085873382468,6.30085873382468,0.0,3.7805,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.18,0.0,0.0,0.0,0.0,45.62701843317707,8.0,1.0,99.0,0.002377,0.0,0.012826134016839812,0.0,5.523277,,1.0,0.0,0.06279,0.0,,,,
AA,LONG,0.5886403153945414,5.886403153945414,0.0,3.5318,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.68,0.0,0.0,0.0,0.0,7.896188223008338,5.0,0.7,99.0,0.002031,0.0,0.07774106965580355,0.0,13.485066,,1.0,0.0,0.542359,0.0,,,,
GOOGL,LONG,0.587039989433353,5.87039989433353,0.0,3.5222,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.14,0.0,0.0,0.0,0.0,7.267475404002283,13.0,1.0,6.344432772625556,0.000273,6.9e-05,88481.30715453542,22314.065972625925,1.596937,0.178127,4.0,1.0,0.561198,0.305805,,,,
OKTA,LONG,0.5829427658418206,5.829427658418206,0.0,3.4977,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,60261.46312125787,15.0,1.0,1.3944226707566183,0.002487,0.003408,426.8386828825248,153.0521167770891,2.54987,1.846308,0.0,1.0,0.506149,0.626186,,,,
UBS,LONG,0.5616060110977112,5.616060110977113,0.0,3.3696,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,9771550.749827936,5.0,1.0,99.0,0.002015,0.001445,3603.9791138361816,0.0004687617694050627,2.917258,1.105852,0.0,0.0,0.48986,0.180206,,,,
IBIT,LONG,0.5291322768512917,5.291322768512917,0.0,3.1748,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,13.869890589968591,31.0,1.0,2.1009470230117087,0.000454,0.00074,23534.907068449385,20367.357984644885,0.282631,1.554393,3.0,1.0,0.818041,0.602095,,,,
GS,LONG,0.513821992570544,5.13821992570544,0.0,3.0829,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.85,0.0,0.0,0.0,0.0,15.857367036357632,12.0,1.0,11.587138866481334,0.000428,0.000148,23715.664200765532,6140.169149789589,0.295437,0.299904,4.0,0.0,0.644914,0.32539,,,,
CIEN,LONG,0.49447555743646715,4.944755574364671,0.0,2.9669,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4633903.937062924,3.0,1.0,99.0,0.000914,0.0,1322.2146876811541,0.0,5.507367,,1.0,0.0,4e-06,0.0,,,,
TQQQ,LONG,0.4925,4.925,0.0,2.955,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.6,0.0,0.0,0.0,0.0,49.35957048356613,2.0,1.0,24.679785241783065,7.1e-05,2.3e-05,310853.7188159296,12595.479084220387,13.744108,0.053636,1.0,0.0,0.0,0.0,,,,
XBI,LONG,0.48263709797096727,4.826370979709672,0.0,2.8958,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,1077.004158378802,7.0,1.0,0.38530421019584626,0.0002,0.000687,37724.75236502803,73431.75476694034,20.413807,0.937307,1.0,1.0,0.004645,0.034451,,,,
KBH,LONG,0.45,4.5,0.0,2.7,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.006531,0.0,0.0026687123168092227,0.0,46.747664,,0.0,0.0,0.0,0.0,,,,
BYD,LONG,0.44943224157996947,4.494322415799695,3.9,5.0172,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",8.0,NEUTRAL,support_ema_confluence,,,95.0,75.0,12.33,11.32,8216.0,7310.0,0.89,1128.0,4467.0,9931.0,0.0,0.6,0.21,1.6,1.49,0.0,0.6160724347598588,2.0,1.0,99.0,0.001349,0.0,6626.595825444034,0.0,205.444444,,2.0,0.0,0.381216,0.0,,,,
NVTS,LONG,0.4474059105619154,4.474059105619154,6.77,5.108,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.2,POSITIVE,flag_breakout,1476850.17,9.77,10.0,9.0,2.51,7.74,248404.0,80947.0,0.326,129767.0,62891.0,136693.0,1.6,0.73,0.62,1.6,1.68,0.54,0.8448232395888634,3.0,1.0,99.0,0.001599,0.0,0.000533569132720673,0.0,3.955726,,0.0,0.0,0.365716,0.0,,,,
HD,LONG,0.4464651439014948,4.464651439014948,0.0,2.6788,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.21,0.0,0.0,0.0,0.0,28003.77544344177,7.0,1.0,99.0,0.000623,0.00013,113.08397841687612,0.023882481941387725,2.621106,2.756615,0.0,0.0,0.000105,0.518836,,,,
IWM,LONG,0.44517809001087744,4.4517809001087745,0.0,2.6711,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.97,0.0,0.0,0.0,0.0,3.0768338879132715,11.0,1.0,0.5197474867355355,0.000119,7.2e-05,56573.03142344146,130616.5771661984,0.447382,0.061383,4.0,3.0,0.69999,0.398533,,,,
AMD,LONG,0.42768881558003485,4.276888155800348,0.0,2.5661,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,0.7658595896570287,9.0,1.0,0.34257582833142974,4.1e-05,0.000121,50855.8414232607,185564.17739308332,18.172338,0.097706,0.0,1.0,0.755914,0.655804,,,,
SPY,LONG,0.4257794189101122,4.257794189101122,0.0,2.5547,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.52,0.0,0.0,0.0,0.0,3.2199260023581076,8.0,1.0,1.548667746977954,1.5e-05,1e-05,177235.48674586337,190739.73645166727,0.217151,3.329138,1.0,0.0,0.588039,0.506952,,,,
GOOG,LONG,0.415155022697807,4.15155022697807,0.0,2.4909,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,5.173661805388077,21.0,1.0,0.07991387371659842,0.000185,0.000617,11829.637080984305,59211.93170005095,0.137086,4.77954,5.0,9.0,0.710882,0.609191,,,,
UPRO,LONG,0.40282183235938823,4.028218323593882,0.0,2.4169,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,90.96169460226899,5.0,1.0,0.005509821308670212,0.000165,0.000338,145.7236089654861,17631.982454818342,72.9,29.894737,1.0,2.0,0.45372,0.007801,,,,
