ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_candle,price_pullback_vol,price_confirm_vol
HD,LONG,0.44068301301274854,4.406830130127485,2.71,4.8164,price_validation_failed,"confirmation_volume, healthy_pullback_volume, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, pullback_to_support, structural_breakout, trend_aligned",9.0,NEGATIVE,unknown,-119224309.8,,425.0,320.0,32.5,0.23,131479.0,122384.0,0.931,35056.0,55496.0,76574.0,0.0,0.0,1.0,0.0,0.0,0.71,1.0
SMH,LONG,0.4273262720380646,4.273262720380647,3.78,4.4906,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",6.1,NEGATIVE,unknown,-18302415.55,,400.0,300.0,3.97,22.03,455154.0,879723.0,1.933,310560.0,276866.0,259892.0,0.0,0.52,0.98,1.2,0.0,0.59,0.49
AGRO,LONG,0.42155706475975463,4.215570647597547,3.84,4.4798,price_validation_failed,"confirmation_volume, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout",6.1,NEUTRAL,unknown,,,15.0,7.5,6.31,46.85,22099.0,3073.0,0.139,5764.0,3561.0,11531.0,3.0,0.0,0.16,0.0,0.0,0.0,0.68
USAR,LONG,0.4121972921342345,4.121972921342345,3.47,4.982,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",9.4,NEGATIVE,unknown,-137072.07,16.23,25.0,15.0,53.94,7.64,404405.0,188041.0,0.465,127258.0,134515.0,96426.0,0.0,0.19,0.38,1.2,0.0,0.7,1.0
CMG,LONG,0.4046433970269144,4.046433970269144,0.0,2.4279,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
JBL,LONG,0.396428139794654,3.9642813979465403,4.72,4.6181,price_validation_failed,"confirmation_volume, not_extended, support_ema_confluence, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support, room_to_target, structural_breakout",6.1,NEUTRAL,unknown,,,300.0,240.0,18.28,5.37,32086.0,28445.0,0.887,12080.0,4265.0,13711.0,1.56,0.88,0.0,1.6,0.0,0.0,0.68
GLXY,LONG,0.3866205215788709,3.866205215788709,0.0,2.3197,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
RKLB,LONG,0.3834653041796087,3.8346530417960873,3.34,4.4593,price_validation_failed,"confirmation_volume, not_extended, room_to_target, support_ema_confluence","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support, structural_breakout, trend_aligned",7.7,NEGATIVE,unknown,-1182714.03,67.3,100.0,7.0,48.74,89.59,484326.0,345492.0,0.713,238244.0,40607.0,383762.0,0.0,0.66,0.34,1.6,0.0,0.0,0.75
AAOI,LONG,0.3772784877025362,3.772784877025362,0.0,2.2637,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
DDOG,LONG,0.37460560741783694,3.7460560741783695,5.07,4.494,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",5.5,POSITIVE,unknown,446419.86,125.08,150.0,95.0,19.92,24.05,157136.0,137184.0,0.873,71325.0,56997.0,78754.0,0.0,0.93,0.99,1.2,0.0,1.0,0.96
