ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
MRVL,LONG,0.5957599624249655,5.957599624249656,0.0,3.5746,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,99.0,8e-05,2e-06,28526.53343203362,1100.4781432976067,105.727082,50.90184,7,0,0.397656,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.657598,0.197832,0.0,0.0,,,,
AXTI,LONG,0.5887373700079486,5.887373700079486,5.89,5.5307,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,4.1,POSITIVE,ema_pullback,1070674.52,74.76,105.0,45.0,40.96,39.59,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,93.2,1.888,2.38,0.66,0.42,1.2,0.53,0.71,11,1.0,99.0,0.003142,0.0,19602.152832990436,0.0,12.172617,,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.7e-05,0.0,0.519083,0.0,0.0,0.0,,,,
NPO,LONG,0.5114994530821066,5.1149945308210665,7.63,5.4465,poor_rr (0.2:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.0,NEUTRAL,flag_breakout,,,300.0,270.0,2.69,7.58,1104.0,1425.0,1.291,1162.0,615.0,752.0,93.8,0.504,1.86,0.38,1.0,1.6,1.79,1.0,1,1.0,99.0,0.000107,0.0,1.6332435246889692e-22,0.0,18.181818,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,292.14,258.43,300.0,0.23
SOXX,LONG,0.37178448125216795,3.7178448125216796,0.0,2.2307,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,2e-05,0.0,531543.4695963722,0.0,17.652174,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5e-06,0.0,0.288876,0.0,0.0,0.0,,,,
ANET,LONG,0.35016051547552324,3.5016051547552323,6.33,4.9298,price_validation_failed,"confirmation_volume, momentum_aligned, trend_aligned, trend_continuation","not_extended, room_to_target",6.4,NEGATIVE,trend_continuation,-1696831.35,,195.0,105.0,9.4,41.09,168226.0,128288.0,0.763,106905.0,63459.0,126150.0,91.2,0.669,2.65,0.0,0.0,1.4,1.91,0.37,4,1.0,99.0,1.6e-05,0.0,56.461091624537595,0.0,2.430199,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.201858,0.0,0.0,0.0,,,,
EL,LONG,0.3500501582945432,3.5005015829454322,4.61,4.4133,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.4,NEUTRAL,ema_pullback,,,105.0,75.0,35.27,3.38,107183.0,92321.0,0.861,39716.0,68194.0,143621.0,72.9,0.152,0.0,0.85,1.0,1.2,1.52,0.03,2,0.7,99.0,4.5e-05,0.0,1.7098644210852936e-07,0.0,8.16675,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,,,,
NVDA,LONG,0.34493516499193244,3.4493516499193246,7.53,4.4837,"wall_proximity (1.0%, 0.4 ATR to call wall)","confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,2.5,POSITIVE,flag_breakout,35614.69,208.04,210.0,150.0,1.0,27.86,8358444.0,7057590.0,0.844,3744753.0,3693596.0,7977685.0,63.4,0.436,2.16,0.06,1.0,1.6,1.71,1.0,5,1.0,9.428875876067266,1e-06,0.0,1466735.0912795267,622231.1590727161,85.105263,2.868687,0,0,0.73508,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.6259,0.557244,0.0,0.0,,,,
NVTS,LONG,0.33708111522034984,3.3708111522034985,6.82,4.5514,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.1,POSITIVE,trend_continuation,2005694.79,17.56,20.0,7.0,14.03,60.09,323940.0,141793.0,0.438,219096.0,90520.0,156117.0,95.5,1.433,2.67,0.0,0.33,1.4,1.43,1.0,1,1.0,99.0,0.000186,0.0,4435.115928705397,0.0,4.884892,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.417933,0.0,0.0,0.0,,,,
LITE,LONG,0.3323058817829109,3.323058817829109,5.85,3.8565,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,2.2,NEUTRAL,retest_and_confirm,,,890.0,800.0,1.25,8.99,84803.0,97602.0,1.151,80075.0,44958.0,57372.0,78.6,1.06,1.97,0.63,0.29,1.4,1.14,0.42,7,1.0,99.0,0.000105,5.2e-05,480.05356394055434,8.036729740243063e-06,34.375,6.2475,1,0,0.0,0.277727,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.001432,0.8145,0.0,0.0,,,,
PBR,LONG,0.3285797128462242,3.2857971284622423,5.24,4.0149,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.0,POSITIVE,trend_continuation,8371097.7,20.68,25.0,10.0,20.89,51.64,733795.0,830114.0,1.131,170265.0,293827.0,1099817.0,85.7,0.394,2.05,0.96,0.54,1.4,0.29,0.0,1,1.0,99.0,4e-06,0.0,501695.59359622083,0.0,9.518189,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.503891,0.0,0.0,0.0,,,,
