ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,entry_price,stop_price,target_1,target_2,rr_ratio,time_stop_days,source
IWM,SHORT,0.3457663027266527,4.275386351305196,9.0,6.1652,242.22,268.75,189.15,162.62,2.0,5,fresh
QQQ,SHORT,0.3333301138336679,3.996860771776472,9.0,5.9981,582.06,619.41,507.35,470.0,2.0,5,fresh
ORCL,SHORT,0.28924889510809026,3.009601162138365,9.0,5.4058,149.68,167.64,113.76,95.8,2.0,5,fresh
WFC,SHORT,0.28590085592119036,2.9346172130490906,7.0,4.5608,77.6,86.91,58.98,49.66,2.0,5,fresh
U,SHORT,0.21070496467057542,1.250501655704122,9.0,4.3503,18.39,20.6,13.98,11.77,2.0,5,fresh
AMAT,LONG,0.29874193711699193,1.815835451994647,8.0,4.2895,357.06,314.21,442.75,485.6,2.0,5,fresh
