ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
LQDA,SHORT,0.4658057424290473,4.658057424290473,2.48,4.073,watchlist_reeval_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",5.0,NEUTRAL,bounce_and_fail,,,65.0,40.0,6.59,34.4,125732.0,28336.0,0.225,20441.0,30799.0,96568.0,1.5,0.724,0.0,0.0,1.0,1.0,0.42,0.06,True,default,2.5,False,,,,,1,1.0,0.0,0.0,0.000306,0.0,8.95442913624764e-06,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0379,0.0,0.0,1.0,0.4658057424290473,0.4658057424290473,n/a,2026-05-21,2026-05-21,,76.02
FCEL,SHORT,0.3759976873706687,3.759976873706687,2.74,3.622,watchlist_reeval_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",4.6,NEUTRAL,bounce_and_fail,,,30.0,7.0,19.95,72.01,187708.0,47343.0,0.252,94462.0,59797.0,54121.0,99.0,1.75,0.0,0.0,1.0,1.0,0.41,0.32,True,default,2.5,False,,,,,1,1.0,0.0,0.0,0.000417,0.0,37.22212347377168,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.000968,0.0,0.0,1.0,0.3759976873706687,0.3759976873706687,n/a,2026-05-21,2026-05-21,,1.830255
INFQ,SHORT,0.3574687063105401,3.5746870631054013,2.7,3.7773,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.9,NEUTRAL,unknown,,,20.0,10.0,22.32,38.84,129518.0,49435.0,0.382,46229.0,51086.0,81638.0,71.6,1.228,0.0,0.23,1.0,0.0,0.47,1.0,False,default,2.5,False,,,,,1,1.0,0.0,0.0,0.000234,0.0,3.1293259146188225e-30,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.520879,0.0,0.0,1.0,0.3574687063105401,0.3574687063105401,n/a,2026-05-21,2026-05-21,,1.723404
MCHP,SHORT,0.313605926628415,3.13605926628415,4.17,3.839,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.1,POSITIVE,trend_continuation,8497258.32,93.39,120.0,62.5,28.44,33.1,257578.0,134601.0,0.523,75239.0,37070.0,268406.0,52.3,0.49,0.0,0.87,1.0,1.4,0.72,0.18,False,default,2.5,False,,,,,1,1.0,0.0,0.0,8e-06,0.0,1.4996628999640384e-13,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.423783,0.0,0.0,1.0,0.313605926628415,0.313605926628415,n/a,2026-05-21,2026-05-21,,5.685279
STX,SHORT,0.30346138760166774,3.034613876016677,2.49,3.3243,watchlist_reeval_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.3,NEUTRAL,bounce_and_fail,,,1000.0,200.0,23.04,75.39,95868.0,121585.0,1.268,66717.0,12323.0,100695.0,78.5,0.769,0.0,0.3,1.0,1.0,0.17,0.02,False,default,2.5,False,,,,,2,1.0,0.0,0.0,6e-06,0.0,0.0005622242362861854,,0,0,0.0,0.038611,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.582247,0.0,0.0,1.0,0.30346138760166774,0.30346138760166774,n/a,2026-05-21,2026-05-21,,16.70709
DE,SHORT,0.2809958372297302,2.8099583722973023,6.89,4.352,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.4,NEUTRAL,trend_continuation,,,700.0,520.0,32.29,1.73,34707.0,36962.0,1.065,28104.0,3687.0,29370.0,34.8,0.282,1.78,0.55,1.0,1.4,1.47,0.69,False,sustained_trend,5.0,False,,,,,1,1.0,0.0,0.0,4e-06,0.0,3.4131982106101364e-13,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.638142,0.0,0.0,1.0,0.2809958372297302,0.2809958372297302,n/a,2026-05-21,2026-05-21,,150.0
DAL,SHORT,0.2718142456588462,2.718142456588462,1.74,2.9811,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.5,POSITIVE,unknown,14626180.63,76.14,85.0,65.0,11.64,14.63,232404.0,276218.0,1.189,216136.0,31481.0,231985.0,54.4,0.447,0.0,0.28,1.0,0.0,0.21,0.26,False,default,2.5,False,,,,,1,1.0,0.0,0.0,1.1e-05,0.0,0.0007674962323600716,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.331258,0.0,0.0,1.0,0.2718142456588462,0.2718142456588462,n/a,2026-05-21,2026-05-21,,1.159292
EQT,LONG,0.3621898638209436,3.621898638209436,4.54,4.5529,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.9,NEGATIVE,retest_and_confirm,-3979801.32,57.91,70.0,50.0,20.86,13.67,159058.0,252857.0,1.59,190898.0,19752.0,148710.0,13.6,0.329,0.0,0.97,1.0,1.4,0.99,0.18,False,default,2.5,False,,,,,2,1.0,99.0,2.7e-05,0.0,9.683785150370414e-15,0.0,1.083213,0,0,1e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.15236,0.0,0.0,0.0,1.0,0.3621898638209436,0.3621898638209436,n/a,2026-05-22,2026-05-22,,
ON,LONG,0.36141887469234396,3.6141887469234395,6.42,4.7931,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.3,NEUTRAL,trend_continuation,,,145.0,100.0,24.78,13.94,131703.0,106338.0,0.807,84394.0,26962.0,106858.0,81.3,0.637,2.57,0.58,0.01,1.4,1.76,0.11,False,sustained_trend,5.0,False,,,,,1,1.0,99.0,1.1e-05,0.0,376875.53275460686,0.0,53.242424,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,0.0,0.678881,0.0,0.0,0.0,1.0,0.36141887469234396,0.36141887469234396,n/a,2026-05-22,2026-05-22,,
SNDK,LONG,0.2901932361501498,2.901932361501498,6.56,4.839,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.1,NEGATIVE,trend_continuation,-1373134.66,1478.01,2000.0,250.0,35.25,83.09,332935.0,429675.0,1.291,225506.0,77589.0,305115.0,22.6,0.938,2.61,0.7,0.26,1.4,1.5,0.09,False,sustained_trend,5.0,False,,,,,3,1.0,99.0,1.2e-05,5e-06,86811.28754920192,25.301824377080344,1.869136,0,0,0.020531,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.33696,0.313611,0.0,0.0,1.0,0.2901932361501498,0.2901932361501498,n/a,2026-05-22,2026-05-22,,1.527778
KTOS,LONG,0.26206333467123755,2.6206333467123755,5.04,4.2023,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",6.9,NEUTRAL,trend_continuation,,,60.0,50.0,6.8,11.0,63336.0,40036.0,0.632,24548.0,23787.0,43259.0,24.4,0.669,0.0,0.75,1.0,1.4,1.76,0.13,False,default,2.5,False,,,,,1,0.7,99.0,6.2e-05,0.0,0.0001177798551092625,0.0,6.269795,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.05088,0.0,0.0,0.0,1.0,0.26206333467123755,0.26206333467123755,n/a,2026-05-22,2026-05-22,,
FCX,LONG,0.1581182803375253,1.581182803375253,4.8,3.2306,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.0,POSITIVE,trend_continuation,11006417.21,61.91,70.0,50.0,12.92,19.34,637882.0,617768.0,0.968,420970.0,176133.0,617838.0,62.5,0.493,0.0,0.99,0.94,1.4,1.43,0.04,False,default,2.5,False,,,,,3,1.0,99.0,2.9e-05,7e-06,35.164113520729366,2.0907147108671872e-07,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.656713,0.112556,0.0,0.0,1.0,0.1581182803375253,0.1581182803375253,n/a,2026-05-22,2026-05-22,,2.109288
KORU,SHORT,0.395460358351444,3.95460358351444,3.66,4.1753,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.5,NEUTRAL,ema_rally,,,1400.0,600.0,79.41,23.11,6117.0,11869.0,1.94,11003.0,454.0,6529.0,96.3,2.007,0.0,0.78,1.0,1.2,0.57,0.11,False,default,2.5,False,,,,,11,1.0,99.0,0.000977,0.002973,1172.1068498617974,2.4221567214964858e-15,,5,0,0.701529,0.784239,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.509652,0.651335,0.0,0.0,1.0,0.395460358351444,0.395460358351444,n/a,2026-05-22,2026-05-22,,
TEVA,SHORT,0.3308703645143309,3.308703645143309,4.74,4.0564,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",4.9,POSITIVE,retest_and_confirm,5674077.79,34.03,41.0,26.0,20.34,23.69,312220.0,155268.0,0.497,137281.0,11695.0,313074.0,26.1,0.358,0.0,0.93,1.0,1.4,1.41,0.0,False,default,2.5,False,,,,,1,1.0,0.0,0.0,7e-06,0.0,4.9758813675886054e-17,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.396827,0.0,0.0,1.0,0.3308703645143309,0.3308703645143309,n/a,2026-05-22,2026-05-22,,1.970646
ASML,SHORT,0.32756154034455576,3.2756154034455576,1.81,3.2808,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.5,NEUTRAL,unknown,,,1700.0,1400.0,4.11,14.26,83044.0,106694.0,1.285,70612.0,25108.0,62530.0,73.2,0.485,0.0,0.27,1.0,0.0,0.19,0.34,False,default,2.5,False,,,,,4,1.0,3.2984343518032924e-06,1e-06,1e-05,14.483357748689375,1463659.8462511115,1.963636,1,1,0.0,0.482575,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,3e-06,0.753726,0.362318,0.0,0.0,1.0,0.32756154034455576,0.32756154034455576,n/a,2026-05-22,2026-05-22,,20.430252
