ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
CBRS,LONG,0.6228703976638998,6.228703976638998,0.0,3.7372,error: Need at least 21 rows to compute support/resistance,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,99.0,0.000127,0.0,6463.529458711613,0.0,85.740385,2,0,0.655623,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,1e-06,0.0,0.61754,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
ITT,LONG,0.5889563672065703,5.889563672065703,3.05,4.8798,price_validation_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.1,NEUTRAL,bounce_and_fail,,,200.0,190.0,3.8,1.39,3073.0,2290.0,0.745,2159.0,2935.0,269.0,70.3,0.328,1,1.0,99.0,3.3e-05,0.0,380988.1753407606,0.0,8.426966,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.2e-05,0.0,0.55878,0.0,0.0,0.0,False,0.0,0.31,1.0,1.0,0.59,0.16,False,default,2.5,False,1.0,0.5889563672065703,0.5889563672065703,n/a,2026-05-21,2026-05-21,,,,,
FWONK,LONG,0.5143026350579837,5.143026350579837,4.52,5.4875,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",7.8,NEUTRAL,ema_pullback,,,100.0,75.0,12.11,15.92,2612.0,1695.0,0.649,62.0,2000.0,2245.0,25.2,0.294,1,0.7,99.0,0.000267,0.0,274131.340257025,0.0,361.363636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.8e-05,0.0,0.2377,0.0,0.0,0.0,False,1.51,0.91,0.35,1.2,0.31,0.25,False,default,2.5,False,1.0,0.5143026350579837,0.5143026350579837,n/a,2026-05-21,2026-05-21,,,,,
CSX,LONG,0.5065163738543761,5.065163738543761,5.81,5.7156,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",7.2,NEUTRAL,trend_continuation,,,52.5,32.5,14.38,29.19,158916.0,84770.0,0.533,119916.0,5376.0,118394.0,33.4,0.235,1,1.0,99.0,4.4e-05,0.0,635.4661129340975,0.0,1.042394,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.399919,0.0,0.0,0.0,False,2.24,0.8,0.19,1.4,0.87,0.31,False,sustained_trend,5.0,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-21,2026-05-21,,,,,
RL,LONG,0.5065163738543761,5.065163738543761,5.77,4.8636,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,3.0,NEUTRAL,flag_breakout,,,380.0,300.0,1.36,19.98,2987.0,4139.0,1.386,3645.0,1626.0,1855.0,12.7,0.323,1,1.0,99.0,4.4e-05,0.0,4.1463611632489675e-07,0.0,27.454545,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.453938,0.0,0.0,0.0,False,0.0,0.39,1.0,1.6,1.78,1.0,False,consolidation_break,3.0,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-21,2026-05-21,,,,,
TKR,LONG,0.4808020881400903,4.808020881400903,6.32,5.02,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none,3.6,NEUTRAL,support_ema_confluence,,,120.0,115.0,0.9,3.3,6733.0,1866.0,0.277,6089.0,35.0,2475.0,72.9,0.393,1,0.7,99.0,7.1e-05,0.0,0.0010194292512043096,0.0,41.176471,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.464284,0.0,0.0,0.0,False,1.83,0.46,0.24,1.6,1.8,0.38,False,default,2.5,False,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-05-21,2026-05-21,,,,,
CMI,LONG,0.4801194388058653,4.8011943880586525,5.57,5.1116,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.2,NEUTRAL,ema_pullback,,,700.0,500.0,9.58,21.73,12615.0,10306.0,0.817,11230.0,790.0,10901.0,80.5,0.379,1,1.0,99.0,2.4e-05,0.0,1.4429610849091191e-18,0.0,3.187302,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342247,0.0,0.0,0.0,False,1.85,0.49,1.0,1.2,0.21,0.81,False,default,2.5,False,1.0,0.4801194388058653,0.4801194388058653,n/a,2026-05-21,2026-05-21,,,,,
BTU,LONG,0.4773925653618231,4.773925653618231,5.34,5.429,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target",trend_aligned,7.2,NEUTRAL,unknown,,,45.0,5.0,84.35,79.52,79601.0,57955.0,0.728,27987.0,9849.0,99720.0,41.8,0.62,1,1.0,99.0,0.000358,0.0,2.621381453249251e-15,0.0,10.859914,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.437035,0.0,0.0,0.0,False,0.0,0.74,1.0,1.6,1.52,0.49,False,default,2.5,False,1.0,0.4773925653618231,0.4773925653618231,n/a,2026-05-21,2026-05-21,,,,,
FLR,LONG,0.47705849743346157,4.770584974334616,3.84,5.1173,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support","confirmation_volume, room_to_target, trend_aligned",7.9,NEUTRAL,pullback_to_support,,,65.0,40.0,45.77,10.29,88760.0,37979.0,0.428,46964.0,18868.0,60907.0,42.4,0.511,1,1.0,99.0,0.000147,0.0,26331.411443733177,0.0,120.9,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.569876,0.0,0.0,0.0,False,0.0,0.65,0.01,1.4,1.61,0.16,False,default,2.5,False,1.0,0.47705849743346157,0.47705849743346157,n/a,2026-05-21,2026-05-21,,,,,
AKAM,LONG,0.46690306724461655,4.669030672446166,4.74,4.9365,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",5.9,NEUTRAL,unknown,,,150.0,140.0,2.57,4.27,114036.0,70679.0,0.62,53395.0,2957.0,128363.0,57.9,0.472,1,1.0,99.0,4.6e-05,0.0,732533.1443195323,0.0,8.797753,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.9e-05,0.0,0.544553,0.0,0.0,0.0,False,2.67,0.33,0.79,0.0,0.91,0.05,False,default,2.5,False,1.0,0.46690306724461655,0.46690306724461655,n/a,2026-05-21,2026-05-21,,,,,
