ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
PWR,LONG,0.6108449790842596,6.108449790842596,0.0,3.6651,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,16,1.0,0.5881345658551203,5.3e-05,4.1e-05,0.0020037912819954886,0.005678380987186919,21.648377,5.418333,0,1,1.9e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.45148,0.418218,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
NVMI,LONG,0.5223927527476729,5.22392752747673,1.66,4.97,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",9.3,NEGATIVE,unknown,-584752.38,,580.0,350.0,61.38,2.62,6391.0,5239.0,0.82,2049.0,5153.0,4428.0,39.4,0.618,1,0.7,99.0,5.7e-05,0.0,596135.969486021,0.0,87.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.9e-05,0.0,0.784665,0.0,0.0,0.0,False,0.0,0.28,1.0,0.0,0.26,0.12,False,default,2.5,False,1.0,0.5223927527476729,0.5223927527476729,n/a,2026-08-24,2026-08-24,,,,
KRE,LONG,0.5065163738543761,5.065163738543761,3.25,4.7676,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.3,NEGATIVE,ema_pullback,-51515516.87,,80.0,65.0,7.02,13.05,581922.0,1167729.0,2.007,438450.0,448205.0,862996.0,3.5,0.221,1,1.0,99.0,0.003009,0.0,1.63376853627512e-16,0.0,5.623862,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.451141,0.0,0.0,0.0,False,0.0,0.55,1.0,1.2,0.29,0.22,False,default,2.5,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-24,2026-08-24,,,,
DKS,LONG,0.4641312761679483,4.641312761679483,1.88,4.1247,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",6.2,NEGATIVE,unknown,-2111390.21,179.36,200.0,160.0,11.36,10.91,17070.0,22168.0,1.299,26245.0,2480.0,10513.0,86.8,0.523,1,1.0,99.0,5.5e-05,0.0,7.720146158270477e-24,0.0,127.290909,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.044698,0.0,0.0,0.0,False,0.0,0.03,1.0,0.0,0.3,0.56,False,default,2.5,False,1.0,0.4641312761679483,0.4641312761679483,n/a,2026-08-24,2026-08-24,,,,
EME,LONG,0.4613690502259985,4.613690502259985,1.72,4.6028,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",8.9,NEGATIVE,unknown,-57994.55,766.24,900.0,760.0,17.49,0.79,3510.0,1927.0,0.549,860.0,1168.0,3409.0,22.9,0.379,1,0.7,99.0,1.7e-05,0.0,460419.4578407387,0.0,1.3,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8e-06,0.0,0.600411,0.0,0.0,0.0,False,0.0,0.54,1.0,0.0,0.17,0.0,False,default,2.5,False,1.0,0.4613690502259985,0.4613690502259985,n/a,2026-08-24,2026-08-24,,,,
TEAM,LONG,0.4066341566012242,4.066341566012242,6.16,4.7012,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.1,POSITIVE,trend_continuation,2842539.9,,200.0,130.0,17.54,23.6,99180.0,72155.0,0.728,70020.0,15864.0,85451.0,11.2,0.617,4,1.0,0.07318766155459551,5.4e-05,2.5e-05,2.892805736270431,118.57759934490444,63.824916,20.307692,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53733,0.393092,0.0,0.0,False,2.98,0.42,0.16,1.4,1.2,0.0,False,sustained_trend,5.0,False,1.0,0.4066341566012242,0.4066341566012242,n/a,2026-08-24,2026-08-24,,,,
CMG,LONG,0.39801276605395475,3.9801276605395475,6.79,5.1271,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.5,POSITIVE,trend_continuation,1961269.33,37.92,40.0,29.0,5.47,23.53,420713.0,310654.0,0.738,305988.0,11616.0,413763.0,29.4,0.363,2,1.0,99.0,4.6e-05,0.0,0.19527227145733386,0.0,2.148266,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.265183,0.0,0.0,0.0,False,1.69,0.52,1.0,1.4,1.93,0.25,False,sustained_trend,5.0,False,1.0,0.39801276605395475,0.39801276605395475,n/a,2026-08-24,2026-08-24,,,,
COST,LONG,0.36782636611259517,3.6782636611259516,4.35,3.8241,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",3.4,POSITIVE,support_ema_confluence,20020273.98,969.53,1000.0,900.0,3.15,7.16,154839.0,175456.0,1.133,178060.0,38256.0,113979.0,64.7,0.232,7,1.0,1.1680896739814692e-07,1.2e-05,3e-06,1.2388413866571434e-08,0.26514261153309293,2.845185,3.238201,2,0,0.04091,0.080698,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.415256,0.686156,0.0,0.0,False,0.0,0.62,0.27,1.6,1.65,0.21,False,default,2.5,False,1.0,0.36782636611259517,0.36782636611259517,n/a,2026-08-24,2026-08-24,,,,
PBR,LONG,0.3658969304098361,3.658969304098361,6.44,4.7615,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.0,POSITIVE,trend_continuation,14346115.6,18.61,20.0,10.0,7.44,46.28,911444.0,941439.0,1.033,471221.0,199324.0,1182338.0,28.3,0.32,1,1.0,99.0,7e-06,0.0,442540.18151119165,0.0,2.11897,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.239227,0.0,0.0,0.0,False,1.67,0.91,1.0,1.4,0.86,0.6,False,sustained_trend,5.0,False,1.0,0.3658969304098361,0.3658969304098361,n/a,2026-08-24,2026-08-24,,,,
MOD,LONG,0.3526560123304918,3.526560123304918,1.97,3.4343,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.4,POSITIVE,unknown,377194.62,187.65,250.0,160.0,33.23,14.73,11169.0,8165.0,0.731,8736.0,3181.0,7417.0,29.4,0.709,1,1.0,99.0,5.8e-05,0.0,6.746942090341327e-24,0.0,5.641026,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.596226,0.0,0.0,0.0,False,0.0,0.54,1.0,0.0,0.28,0.15,False,default,2.5,False,1.0,0.3526560123304918,0.3526560123304918,n/a,2026-08-24,2026-08-24,,,,
CLF,LONG,0.34231062137626217,3.4231062137626216,6.67,4.8126,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.5,POSITIVE,ema_pullback,2002346.62,11.77,15.0,8.0,27.5,32.0,451708.0,241149.0,0.534,228981.0,64816.0,399060.0,22.3,0.627,1,1.0,99.0,0.000118,0.0,9.92515306994071e-66,0.0,3.225101,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.239306,0.0,0.0,0.0,False,1.67,0.91,1.0,1.2,1.37,0.53,False,default,2.5,False,1.0,0.34231062137626217,0.34231062137626217,n/a,2026-08-24,2026-08-24,,,,
HUM,LONG,0.3391413331302488,3.391413331302488,6.1,4.9257,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.0,NEGATIVE,ema_pullback,-216027.62,383.34,400.0,220.0,4.35,42.61,64804.0,50917.0,0.786,24865.0,20828.0,70028.0,54.1,0.5,2,1.0,99.0,1.2e-05,0.0,237730.7384540307,0.0,1.452499,,0,0,0.448502,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5e-06,0.0,0.487582,0.0,0.0,0.0,False,1.59,0.93,1.0,1.2,1.13,0.25,False,default,2.5,False,1.0,0.3391413331302488,0.3391413331302488,n/a,2026-08-24,2026-08-24,,,,
FN,LONG,0.3357207794092292,3.3572077940922918,3.01,4.2016,price_validation_failed,"confirmation_volume, hammer_at_support, not_extended, room_to_target","momentum_aligned, trend_aligned",8.1,NEGATIVE,unknown,-1807817.2,424.11,450.0,400.0,6.21,5.59,10739.0,9843.0,0.917,5500.0,7235.0,7847.0,16.8,0.64,3,1.0,99.0,3.3e-05,1.7e-05,1.6923217057513742e-18,1.80400564392142e-37,1.549911,84.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.534261,0.541302,0.0,0.0,False,0.0,0.29,1.0,1.2,0.19,0.34,False,default,2.5,False,1.0,0.3357207794092292,0.3357207794092292,n/a,2026-08-24,2026-08-24,,,,
PDD,LONG,0.3279468553710128,3.279468553710128,4.36,4.3677,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",7.1,NEGATIVE,ema_pullback,-10686190.4,87.04,100.0,80.0,14.92,8.07,596469.0,436814.0,0.732,295108.0,112829.0,625346.0,17.0,0.344,1,1.0,99.0,2.5e-05,0.0,8.297989843444159e-16,0.0,1.503456,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.365121,0.0,0.0,0.0,False,0.0,0.87,1.0,1.2,0.29,1.0,False,default,2.5,False,1.0,0.3279468553710128,0.3279468553710128,n/a,2026-08-24,2026-08-24,,,,
GDX,LONG,0.3099513099239177,3.099513099239177,7.39,4.9868,poor_rr (0.6:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.1,NEGATIVE,trend_continuation,-11301240.66,102.84,110.0,70.0,6.93,31.95,959965.0,1499138.0,1.562,847215.0,282499.0,1329389.0,79.3,0.509,1,1.0,99.0,0.0,0.0,7.931871520097613,0.0,9.018692,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.502717,0.0,0.0,0.0,False,2.54,0.26,1.0,1.4,1.77,0.42,False,sustained_trend,5.0,False,1.0,0.3099513099239177,0.3099513099239177,n/a,2026-08-24,2026-08-24,102.87,90.53,110.0,0.58
DELL,LONG,0.3096892167932124,3.0968921679321237,4.26,3.8064,price_validation_failed,"ema_pullback, not_extended, trend_aligned","confirmation_volume, momentum_aligned, room_to_target",4.9,NEGATIVE,ema_pullback,-2649444.2,,450.0,100.0,3.28,77.05,290180.0,354110.0,1.22,234964.0,49515.0,359811.0,79.1,0.801,2,1.0,99.0,1.5e-05,0.0,0.0022400649436705626,0.0,19.621951,,2,0,6e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.427851,0.0,0.0,0.0,False,1.52,0.86,0.09,1.2,0.35,0.23,False,default,2.5,False,1.0,0.3096892167932124,0.3096892167932124,n/a,2026-08-24,2026-08-24,,,,
