ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
FAS,SHORT,0.6127565529610908,6.127565529610908,5.73,5.7228,watchlist_reeval_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, trend_aligned",room_to_target,4.7,NEUTRAL,ema_rally,,,167.91,80.0,41.66,32.51,34310.0,20695.0,0.603,25669.0,2047.0,27289.0,,,2.41,0.62,0.12,1.2,1.02,0.34,116.08705817111368,4.0,1.0,0.0,0.0,0.002145,0.0,5312.737313691513,,52.791667,0.0,2.0,0.0,0.500801
XLK,SHORT,0.5474368940456695,5.474368940456696,5.88,6.0012,watchlist_reeval_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, trend_aligned",room_to_target,7.5,NEGATIVE,ema_rally,-15524103.3,,150.0,45.0,11.53,66.54,230142.0,454299.0,1.974,81455.0,221368.0,381618.0,,,2.07,0.42,0.0,1.2,1.82,0.37,45.69684907599885,12.0,1.0,0.07272329591553672,0.00014,0.000294,178.8034444725115,1756.201289338267,1.135914,7.987715,2.0,4.0,0.559312,0.591374
RBLX,SHORT,0.5411722919650719,5.411722919650719,4.7,4.7759,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",3.3,NEGATIVE,bounce_and_fail,-6326666.4,,90.0,55.0,62.31,0.81,240496.0,172788.0,0.718,147997.0,95738.0,169549.0,,,1.97,0.35,0.0,1.0,1.39,0.0,1866166.5462871601,9.0,1.0,99.0,0.000469,0.003278,7789.024382771299,0.003285936627699732,0.300334,0.938423,0.0,0.0,0.005014,0.810107
IBIT,SHORT,0.48991255743630713,4.8991255743630715,6.3,5.1396,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.0,POSITIVE,ema_rally,7245450.84,39.29,45.0,35.0,14.5,10.94,3537958.0,2481785.0,0.701,1415285.0,1910929.0,2693529.0,,,1.55,0.75,0.82,1.2,1.71,0.27,6.230162448144773,28.0,1.0,0.7446174700832806,0.000413,0.00065,4711.424441410116,11389.155284779597,0.27305,0.440703,2.0,1.0,0.815644,0.686766
CDNS,SHORT,0.47901444,4.7901444,5.48,5.1591,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.6,NEUTRAL,ema_rally,,,300.0,265.0,6.25,6.15,31300.0,40168.0,1.283,14424.0,37464.0,19580.0,,,1.6,0.63,0.53,1.2,1.52,0.0,0.0,1.0,1.0,0.0,0.0,0.022931,0.0,2617339.1867898838,,0.983574,0.0,0.0,0.0,0.0
NVO,SHORT,0.4282492206430141,4.282492206430141,5.61,4.6242,watchlist_reeval_failed,"confirmation_volume, not_extended, trend_aligned, trend_continuation","momentum_aligned, room_to_target",4.0,POSITIVE,trend_continuation,3137706.71,37.15,40.0,35.0,7.41,6.01,868979.0,679216.0,0.782,358037.0,394691.0,795467.0,,,2.57,0.41,0.17,1.4,0.31,0.75,131.96713352829786,3.0,1.0,0.0,0.0,0.000278,0.0,2152.2506156365284,,18.639142,0.0,1.0,0.0,0.239215
ADBE,SHORT,0.41291941716860703,4.12919417168607,5.8,4.9446,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,5.7,NEGATIVE,trend_continuation,-30894415.29,242.34,400.0,220.0,65.0,9.25,301662.0,201460.0,0.668,120536.0,114043.0,268543.0,,,2.5,0.34,0.16,1.4,1.0,0.4,3.2864722948981475,11.0,0.7,0.4606228018512581,0.000203,0.000841,898.2866066246156,1114.3752117653037,0.138177,0.373361,1.0,1.0,0.401381,0.692291
ITT,SHORT,0.3969066900622243,3.9690669006222428,5.48,4.2685,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,3.2,NEUTRAL,retest_and_confirm,,,190.0,185.0,0.01,2.63,2022.0,4051.0,2.003,5657.0,2.0,414.0,,,1.72,0.93,0.48,1.4,0.95,0.0,0.9364354783763713,2.0,0.7,0.0,0.0,0.000655,0.0,11675.705859142523,,9.366667,0.0,0.0,0.0,0.483587
BX,SHORT,0.3760395150542363,3.7603951505423625,6.17,4.9912,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume,6.3,NEGATIVE,resistance_ema_confluence,-10699357.28,,115.0,100.0,4.03,9.54,144841.0,244675.0,1.689,89623.0,71351.0,228542.0,,,2.44,0.8,0.5,1.6,0.83,0.0,272806.3176946703,6.0,1.0,20.046508437511232,0.000163,0.000447,2636.3817475226247,131.5132635561313,1.182544,1.931325,0.0,0.0,4e-06,0.181593
CLS,SHORT,0.3302605419361916,3.3026054193619157,4.24,3.9033,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, resistance_ema_confluence","room_to_target, trend_aligned",4.9,NEUTRAL,resistance_ema_confluence,,,320.0,175.0,12.85,38.28,50423.0,51369.0,1.019,41752.0,35136.0,24904.0,,,0.0,0.93,0.12,1.6,1.18,0.41,20618190.78808759,2.0,1.0,0.0,0.0,0.00019,0.0,5219.334329389645,,2.275,0.0,0.0,0.0,0.0
CAR,SHORT,0.3289453189041165,3.289453189041165,0.0,1.9737,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.001303,0.0,0.00104166084541129,15.792398,87.5,0.0,0.0,0.0,0.0
VIAV,SHORT,0.31419235105745497,3.1419235105745495,0.0,1.8852,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.000778,0.0,0.029427075997519078,,5.050505,0.0,0.0,0.0,0.0
IWM,SHORT,0.3025515464641943,3.025515464641943,5.55,4.2178,watchlist_reeval_failed,"confirmation_volume, ema_rally, not_extended, trend_aligned","momentum_aligned, room_to_target",5.2,NEGATIVE,ema_rally,-1805990873.32,,260.0,240.0,3.93,4.07,2652885.0,6761021.0,2.549,3304236.0,2277725.0,3831945.0,,,2.28,0.86,0.15,1.2,0.46,0.61,1.6004963790624593,2.0,1.0,0.0,0.0,3.1e-05,0.0,70721.10357116205,,0.780212,0.0,2.0,0.0,0.384542
