ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
GFS,LONG,0.619456389590043,6.19456389590043,0.0,3.7167,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,1.4619960560420911e-25,3.1e-05,1e-06,7.547735001344409e-28,0.025813116834862065,128.15,0.330214,1,0,0.530286,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.099607,0.382587,0.0,0.0,,,,,,
YPF,LONG,0.5970614669289354,5.970614669289354,5.44,6.0973,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.4,NEUTRAL,ema_pullback,,,50.0,40.0,22.25,2.2,73395.0,38888.0,0.53,26382.0,22469.0,63432.0,43.8,0.461,1.79,0.66,1.0,1.2,0.77,0.02,5,1.0,99.0,0.0001,0.0,0.006111699903238247,0.0,2.911707,,2,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.54494,0.0,0.0,0.0,,,,,,
CIEN,LONG,0.5439220135598227,5.4392201355982275,5.72,5.1556,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.6,NEUTRAL,trend_continuation,,,510.0,480.0,0.9,5.04,32405.0,25870.0,0.798,22561.0,18167.0,17547.0,63.5,0.808,2.32,0.11,0.0,1.4,1.61,0.28,33,1.0,0.0026461947629751207,0.000108,2.4e-05,0.027392860204824846,20.703585834345024,3.01972,0.292384,2,2,0.810792,0.362633,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.513653,0.473182,0.0,0.0,,,,,,
USO,LONG,0.5206933104714496,5.206933104714496,6.42,5.7495,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.1,NEGATIVE,ema_pullback,-10164356.72,,150.0,100.0,23.92,17.39,617850.0,930351.0,1.506,562150.0,490657.0,495394.0,82.7,0.708,1.87,0.94,0.98,1.2,1.19,0.24,4,1.0,99.0,0.00041,0.0,113291.13407707085,0.0,5.070713,,2,0,0.478951,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.000186,0.0,0.515664,0.0,0.0,0.0,,,,,,
CNC,LONG,0.4856408604073658,4.856408604073658,5.94,5.0302,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.1,POSITIVE,trend_continuation,4629932.43,38.68,40.0,20.0,3.59,48.21,267854.0,76507.0,0.286,25674.0,63012.0,255675.0,73.6,0.563,1.75,0.37,1.0,1.4,1.4,0.03,7,1.0,22.33758568439564,3.7e-05,1.7e-05,1.5810694876086084e-11,1.7695169813193998e-12,2.430559,2.871044,3,1,0.023518,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.595843,0.413698,0.0,0.0,,,,,,
LVS,LONG,0.4694058633313794,4.694058633313794,0.0,2.8164,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,12,1.0,1.4889698759299352,1.2e-05,1.1e-05,20.19020409410336,4.519949087058949,18.928593,2.92536,0,4,0.019461,0.388478,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.721313,0.203957,0.0,0.0,,,,,,
CRS,LONG,0.46778260990770315,4.6778260990770315,5.22,4.7649,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.3,NEUTRAL,trend_continuation,,,510.0,420.0,14.39,5.8,3478.0,3133.0,0.901,3167.0,1380.0,2064.0,94.1,0.565,1.82,0.2,0.0,1.4,1.76,0.04,6,1.0,99.0,2.7e-05,1.5e-05,2.6904298191614072e-08,1.0272764327453602e-10,6.7,33.866667,0,0,0.000505,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.206887,0.456267,0.0,0.0,,,,,,
VST,LONG,0.46776986051805214,4.677698605180521,0.0,2.8066,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,14,1.0,0.7342209607437402,1.2e-05,2.3e-05,0.06060089566412076,0.1100502417378263,39.015133,4.958231,4,2,0.073174,0.00107,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.027934,0.702267,0.0,0.0,,,,,,
AVTX,LONG,0.45660384197099546,4.566038419709955,0.0,2.7396,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,15,1.0,1.1186306919427114,0.003923,0.002754,6.714401498154877e-10,6.859816888137011e-10,0.338498,0.811291,0,1,0.187017,0.744566,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.100194,0.430717,0.0,0.0,,,,,,
KWEB,LONG,0.4434476194752232,4.434476194752232,4.45,4.5722,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.1,POSITIVE,trend_continuation,84316209.08,,33.0,25.0,9.22,17.26,2210083.0,781429.0,0.354,805615.0,1113544.0,1072353.0,82.6,0.351,0.0,0.34,1.0,1.4,1.48,0.23,11,1.0,0.003232543594635633,0.000199,0.000121,52.58388031303273,19520.434768568644,1326.879084,0.156334,3,0,0.550854,0.001333,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,5e-06,0.315954,0.220647,0.0,0.0,,,,,,
