ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
FCEL,LONG,0.6964994530821067,6.964994530821067,6.67,6.7235,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, volume_capitulation_reversal",not_extended,6.2,NEUTRAL,unknown,,,10.0,7.0,6.17,25.68,52514.0,14344.0,0.273,15354.0,25006.0,26498.0,88.7,1.265,1.84,0.0,1.0,1.4,1.44,1.0,1,1.0,99.0,0.001853,0.0,630490.2194824062,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.000106,0.0,0.076847,0.0,0.0,0.0,,,
GTES,LONG,0.5114994530821066,5.1149945308210665,6.02,4.9235,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,2.8,NEUTRAL,trend_continuation,,,26.0,24.0,1.64,6.18,9754.0,3786.0,0.388,12528.0,35.0,977.0,96.8,0.484,2.07,0.49,0.95,1.4,1.1,0.0,1,1.0,99.0,0.000216,0.0,1227004.1579762571,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.000115,0.0,0.614079,0.0,0.0,0.0,,,
JBTM,LONG,0.5114994530821066,5.1149945308210665,4.36,4.9655,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.5,NEUTRAL,trend_continuation,,,220.0,125.0,64.45,6.56,1819.0,1104.0,0.607,1082.0,479.0,1362.0,90.7,0.528,0.0,0.74,1.0,1.4,1.22,0.0,1,1.0,99.0,8.6e-05,0.0,590676.9975245211,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.3e-05,0.0,0.501872,0.0,0.0,0.0,,,
YPF,LONG,0.49770748287175975,4.977074828717598,7.14,5.9505,weak_relative_strength (-6.6% vs SPY),"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,6.6,NEUTRAL,retest_and_confirm,,,50.0,40.0,15.77,7.39,75721.0,39264.0,0.519,28262.0,23250.0,63473.0,66.3,0.495,1.86,0.73,1.0,1.4,1.79,0.35,1,1.0,99.0,3.6e-05,0.0,489525.0527715192,0.0,26.595745,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.1e-05,0.0,0.365372,0.0,0.0,0.0,,,
LCID,LONG,0.41431615258746274,4.1431615258746275,3.89,3.8786,price_validation_failed,"confirmation_volume, not_extended, room_to_target, volume_capitulation_reversal","momentum_aligned, trend_aligned",3.2,POSITIVE,unknown,63462.86,7.26,10.0,5.0,37.74,31.13,237541.0,292428.0,1.231,269047.0,60190.0,200732.0,98.8,1.072,0.0,0.02,1.0,1.4,0.47,1.0,1,1.0,99.0,0.000255,0.0,35776.08706266679,0.0,82.306931,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3e-06,0.0,0.16589,0.0,0.0,0.0,,,
FN,LONG,0.39742824943037086,3.9742824943037087,4.89,4.3941,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.7,NEUTRAL,trend_continuation,,,820.0,610.0,17.11,12.88,3622.0,5623.0,1.552,4041.0,2413.0,2791.0,98.9,0.964,2.02,0.07,0.0,1.4,1.25,0.15,1,1.0,99.0,2.3e-05,0.0,543948.7459528563,0.0,4.6875,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5e-06,0.0,0.247044,0.0,0.0,0.0,,,
FIG,LONG,0.3973087734439445,3.973087734439445,3.9,3.7565,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",3.0,POSITIVE,bounce_and_fail,563869.33,19.3,20.0,17.5,3.65,9.3,195243.0,129526.0,0.663,120612.0,90271.0,113886.0,93.9,1.06,0.0,0.61,1.0,1.0,0.54,0.74,1,1.0,99.0,0.000102,0.0,609356.0239275247,0.0,2.166197,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8e-05,0.0,0.525296,0.0,0.0,0.0,,,
APLD,LONG,0.3399091749532405,3.3990917495324053,6.43,4.5885,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.8,POSITIVE,trend_continuation,6068158.54,32.3,33.0,25.0,2.14,22.62,502624.0,214918.0,0.428,215126.0,154129.0,348287.0,38.0,1.078,1.69,0.5,1.0,1.4,1.23,0.62,4,1.0,1.0156768740688082e-08,0.000291,0.000166,0.0025941480714242356,255410.76474765656,7.89487,2,0,0.0,0.085222,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.3e-05,0.410047,0.594915,0.0,0.0,5.97567,,
PDD,LONG,0.33165477924189063,3.3165477924189064,3.46,4.3763,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",8.4,NEGATIVE,ema_pullback,-2024008.51,,125.0,90.0,25.63,9.55,663304.0,393562.0,0.593,278812.0,335053.0,443001.0,61.7,0.374,0.0,0.68,0.71,1.2,0.09,0.78,6,1.0,99.0,2.8e-05,1.3e-05,6.797146547365235,7.925020885419431e-21,2.443749,1,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.1561,0.150757,0.0,0.0,2.610623,,
STX,LONG,0.3270354320779872,3.2703543207798718,5.86,4.3132,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",4.6,NEUTRAL,trend_continuation,,,600.0,200.0,9.04,63.65,69859.0,79691.0,1.141,40631.0,28565.0,80354.0,99.0,0.843,2.43,0.0,0.0,1.4,1.76,0.27,5,1.0,0.00045703158293123746,3.5e-05,8e-06,0.0014674505566679194,4.81624447239362,4.099745,1,0,3.3e-05,0.48894,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.094002,0.55101,0.0,0.0,118.75,,
