ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio
EOSE,LONG,0.6065024774279698,6.065024774279698,5.47,5.5135,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.2,POSITIVE,trend_continuation,2513566.11,7.14,20.0,5.5,180.84,22.77,1075615.0,387910.0,0.361,339664.0,7282.0,1116579.0,95.2,1.333,314.915764851779,5,1.0,99.0,0.000231,2.3e-05,18407.517635496235,0.06742628102715427,2.269779,0.14862,0,0,0.118891,0.0,0.0,0.39,1.0,1.4,1.68,1.0,,,,
SOUN,LONG,0.5977177889492817,5.977177889492817,5.86,5.6466,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.5,POSITIVE,retest_and_confirm,1912182.28,7.68,10.0,6.0,30.27,21.84,566762.0,273977.0,0.483,503488.0,24373.0,312878.0,76.8,0.987,272.9360242074052,7,1.0,99.0,0.000238,0.0,21662.986607571678,0.0,1.185804,,0,0,0.37633,0.0,0.0,0.5,1.0,1.4,1.96,1.0,,,,
SEDG,LONG,0.5787211904761904,5.787211904761904,0.0,3.4723,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,411671972697.67706,11,1.0,1.7499555644586956e-12,0.000111,0.003478,7.301519654697247e-07,347700.24084181944,0.119157,16.930747,5,0,0.56043,0.0,,,,,,,,,,
SMR,LONG,0.5753785905219073,5.753785905219074,5.87,5.4979,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.3,POSITIVE,retest_and_confirm,607069.84,11.82,20.0,10.0,69.33,15.34,318238.0,188896.0,0.594,224372.0,95259.0,187503.0,88.5,1.19,48.74553642380256,6,1.0,1.8743116183502635,0.000166,8.3e-05,78218.314571074,83463.51140897308,0.947039,0.704751,0,0,0.038859,0.026525,0.0,0.6,1.0,1.4,1.87,1.0,,,,
VST,LONG,0.5526271620670413,5.526271620670413,0.0,3.3158,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,878942.4369780188,16,1.0,0.053726058193301354,1.6e-05,2.5e-05,4406.837069012038,82024.20235552455,38.589398,3.770935,4,3,0.500737,0.00107,,,,,,,,,,
LITE,LONG,0.5386510467102953,5.386510467102953,3.98,4.8473,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned","continuation_pattern, momentum_aligned",4.8,NEUTRAL,unknown,,,1000.0,350.0,18.48,58.53,85738.0,99257.0,1.158,95987.0,33316.0,55692.0,81.2,1.074,147.43346508765782,11,1.0,2.158449027146715,8.4e-05,4.3e-05,645050.9772696116,358619.1580103129,0.420531,2.825044,1,1,0.438082,0.305657,2.15,0.61,0.47,0.0,0.31,0.45,,,,
CELH,LONG,0.53838614,5.3838614,2.72,4.3279,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",4.1,POSITIVE,unknown,54838.88,34.95,60.0,30.0,71.55,14.22,329508.0,148696.0,0.451,113133.0,65401.0,299670.0,96.0,0.779,272495003.02899545,6,1.0,99.0,0.0001,1.7e-05,634.407658231364,0.00019331301914865653,1.639769,1.362844,0,1,0.0,0.001618,0.0,0.52,1.0,0.0,0.92,0.28,,,,
STNE,LONG,0.5332148271118058,5.332148271118058,5.64,5.3781,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.1,NEUTRAL,trend_continuation,,,20.0,12.0,33.51,19.89,100670.0,90239.0,0.896,41792.0,0.0,149117.0,91.9,0.596,822.8072290617381,3,1.0,0.880563928815855,6.4e-05,3.1e-05,1.7773317081057277e-29,4.0368033482720736e-29,19.683373,89.119048,1,1,0.001987,0.0,0.0,0.69,1.0,1.4,1.55,1.0,,,,
LMND,LONG,0.5309489843460433,5.309489843460433,4.94,5.2767,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.7,NEUTRAL,ema_pullback,,,75.0,50.0,16.55,22.3,77688.0,54060.0,0.696,36409.0,26803.0,68536.0,77.5,0.944,41969551264.89207,2,1.0,99.0,0.000228,0.0,38213.33604895337,0.0,1.510479,,0,0,0.0,0.0,0.0,0.55,1.0,1.2,1.86,0.33,,,,
NKE,LONG,0.5296696049758296,5.296696049758296,5.94,5.6703,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,6.2,POSITIVE,flag_breakout,18885515.4,45.33,60.0,42.5,32.33,6.26,1168257.0,778587.0,0.666,650196.0,291972.0,1004676.0,39.1,0.334,44.96198078066439,21,1.0,1.1314325741552897,3.9e-05,8e-06,3583.2661685337275,7917.542437756264,1.226512,0.523886,3,0,0.544065,0.474246,0.0,0.53,1.0,1.6,1.81,1.0,,,,
EWY,LONG,0.5259977361003286,5.259977361003286,5.62,5.356,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.2,NEGATIVE,trend_continuation,-3181185.09,,150.0,110.0,3.63,24.0,387200.0,329153.0,0.85,410615.0,81772.0,223966.0,76.6,0.527,2.696616867429903,8,1.0,1.8878782482108927,6.9e-05,3e-05,15370.135103658426,24424.459233360656,0.635729,0.069876,5,0,0.551471,0.346473,1.86,0.13,0.4,1.4,1.57,0.26,,,,
AAOI,LONG,0.5247345967962416,5.247345967962415,6.06,5.1417,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,3.5,NEUTRAL,trend_continuation,,,150.0,20.0,3.82,86.16,128150.0,114421.0,0.893,118605.0,48501.0,75465.0,98.6,1.6,8.789848426440084,2,1.0,99.0,5.2e-05,0.0,103123.9271129732,0.0,4.931442,,0,0,0.102147,0.0,2.55,0.07,0.11,1.4,1.23,0.7,,,,
NU,LONG,0.5243061154191339,5.243061154191339,4.71,4.9345,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.5,POSITIVE,trend_continuation,9299225.65,15.47,17.0,15.0,9.85,3.07,799358.0,439921.0,0.55,382169.0,165863.0,691247.0,85.5,0.478,49.21290087239308,16,1.0,2.3790437100301043,1.9e-05,9e-06,4396.043200946462,3079.699056118389,1.779884,1.080208,3,0,0.819045,0.495591,0.0,0.28,1.0,1.4,1.85,0.18,,,,
SYF,LONG,0.5184372457895943,5.184372457895943,0.0,3.1106,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,1.4734040833023579e+23,9,1.0,99.0,3.9e-05,8e-06,15530.503567729043,0.03892014726152703,333.625821,0.213994,0,0,0.350649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
APLD,LONG,0.5167334025961635,5.167334025961635,6.74,5.7257,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.6,POSITIVE,trend_continuation,7056969.74,30.84,40.0,25.0,29.83,18.86,540296.0,231065.0,0.428,291861.0,108795.0,370705.0,28.2,1.042,0.6873510489224542,8,1.0,3.8063881708435976,0.000165,4.9e-05,625313.821293375,54760.03262823549,0.41756,0.491956,0,2,0.430608,0.461615,1.6,0.26,1.0,1.4,1.68,0.81,,,,
FAS,LONG,0.5140047838095239,5.140047838095239,0.0,3.084,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1.0282146772009753e+19,8,1.0,5.741616513769315e-08,0.000149,0.00012,0.0004913551802081063,5134.670826897874,1.150871,19.558333,1,3,0.181002,0.084632,,,,,,,,,,
EL,LONG,0.5040055879179972,5.040055879179972,4.88,4.964,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.9,NEUTRAL,trend_continuation,,,80.0,60.0,5.94,20.55,107830.0,95613.0,0.887,80197.0,58632.0,117761.0,72.3,0.148,1552430012.4267948,7,1.0,65.12930518702616,4.6e-05,2.6e-05,8760.480782103075,100.88178536082604,5.475464,0.795006,1,0,0.069711,0.286679,0.0,0.86,1.0,1.4,1.61,0.0,,,,
ARRY,LONG,0.5015363380136124,5.015363380136124,5.81,5.4707,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,6.1,NEUTRAL,flag_breakout,,,9.0,5.0,12.5,37.5,68226.0,24449.0,0.358,51215.0,0.0,41460.0,74.1,0.914,0.0,1,0.7,99.0,5.7e-05,0.0,56804.82294594727,0.0,16.207407,,1,0,0.0,0.0,0.0,0.6,1.0,1.6,1.61,1.0,,,,
USO,LONG,0.49141954134316346,4.914195413431635,0.0,2.9485,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,26.2360932465855,3,1.0,2.3164717478889885,5.7e-05,6.9e-05,65506.82827821097,14139.354027932273,0.335677,0.117738,0,0,0.0,0.152871,,,,,,,,,,
