ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
MRVL,LONG,0.579338321444148,5.79338321444148,7.03,6.3057,poor_rr (1.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.5,NEGATIVE,trend_continuation,-1161762.47,156.83,180.0,75.0,14.61,52.25,565569.0,697677.0,1.234,347764.0,403756.0,511726.0,95.1,0.78,3.0,0.41,1.0,1.4,0.8,0.42,False,sustained_trend,5.0,False,157.05,138.21,180.0,1.22,12,1.0,0.16099917821355061,7.3e-05,1.2e-05,6.033106477967115,112.41870694454268,115.837181,34.031706,7,1,0.390447,0.337324,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.660451,0.192822,0.0,0.0,1.0,0.579338321444148,0.579338321444148,n/a,2026-04-27,2026-04-27,False
RCL,LONG,0.5175767069175987,5.175767069175987,1.89,4.2749,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.6,NEUTRAL,unknown,,,300.0,260.0,15.32,0.06,48498.0,60697.0,1.252,29283.0,46017.0,33895.0,93.9,0.609,0.0,0.6,1.0,0.0,0.13,0.16,False,default,2.5,False,,,,,1,1.0,99.0,4.6e-05,0.0,3095257.9437009725,0.0,9.443396,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9e-06,0.0,0.209031,0.0,0.0,0.0,1.0,0.5175767069175987,0.5175767069175987,n/a,2026-04-27,2026-04-27,False
USO,LONG,0.4390561024734489,4.390561024734489,6.25,5.3103,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.2,NEGATIVE,trend_continuation,-184439.64,135.46,200.0,100.0,47.7,26.15,659711.0,1025668.0,1.555,595792.0,541688.0,547899.0,82.0,0.75,2.08,0.74,0.28,1.4,1.75,0.0,False,sustained_trend,5.0,False,,,,,2,1.0,99.0,0.000656,0.0,81574.41322214926,0.0,8.21875,,1,0,5.9e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,7.9e-05,0.0,0.594816,0.0,0.0,0.0,1.0,0.4390561024734489,0.4390561024734489,n/a,2026-04-27,2026-04-27,False
SMH,LONG,0.4013472326502937,4.013472326502937,6.43,4.9757,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,5.2,NEGATIVE,trend_continuation,-12665190.19,,520.0,400.0,3.72,20.22,416000.0,897857.0,2.158,455179.0,458966.0,399712.0,98.5,0.438,2.63,0.21,0.06,1.4,1.64,0.5,False,sustained_trend,5.0,False,,,,,4,1.0,99.0,3.5e-05,0.0,141.07791200819906,0.0,72.211119,,3,0,0.731855,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.40082,0.0,0.0,0.0,1.0,0.4013472326502937,0.4013472326502937,n/a,2026-04-27,2026-04-27,False
FXI,LONG,0.37913053853780676,3.7913053853780676,3.69,4.6427,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.2,NEGATIVE,ema_pullback,-54413571.97,,40.0,36.0,9.72,1.25,1940419.0,2137225.0,1.101,715489.0,1881766.0,1480389.0,29.2,0.224,0.0,0.88,1.0,1.2,0.31,0.29,False,default,2.5,False,,,,,1,1.0,99.0,0.000251,0.0,0.0037559314047341105,0.0,4.633136,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.448939,0.0,0.0,0.0,1.0,0.37913053853780676,0.37913053853780676,n/a,2026-04-27,2026-04-27,False
BURL,LONG,0.3726105641932177,3.726105641932177,4.92,4.4991,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.8,NEUTRAL,ema_pullback,,,360.0,270.0,11.06,16.7,5004.0,25857.0,5.167,10178.0,17750.0,2933.0,71.6,0.454,1.51,0.72,0.85,1.2,0.3,0.33,False,default,2.5,False,,,,,4,1.0,0.00012182778816085196,5.8e-05,3.6e-05,21.218230984129843,522497.3211230332,,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.020512,0.038173,0.0,0.0,1.0,0.3726105641932177,0.3726105641932177,n/a,2026-04-27,2026-04-27,False
IWM,LONG,0.3593265843622788,3.5932658436227882,0.0,2.156,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,1.7029048381425893,3.3e-05,2.2e-05,3.1584703850467295,5.56426345319173,20.034491,8.521368,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558004,0.557219,0.0,0.0,,,,,,,False
LCID,LONG,0.33339589193699554,3.3339589193699553,1.63,3.296,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.7,NEGATIVE,unknown,-83218.6,,10.0,5.0,65.56,17.22,277072.0,315634.0,1.139,278321.0,75850.0,238535.0,97.9,1.073,0.0,0.0,1.0,0.0,0.1,0.52,True,default,2.5,False,,,,,1,1.0,99.0,0.000275,0.0,0.0020124801457089008,0.0,82.306931,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.16589,0.0,0.0,0.0,1.0,0.33339589193699554,0.33339589193699554,n/a,2026-04-27,2026-04-27,False
CHTR,LONG,0.3214750254859497,3.214750254859497,3.39,4.1444,price_validation_failed,"confirmation_volume, room_to_target, trend_continuation","momentum_aligned, not_extended, trend_aligned",7.6,NEUTRAL,trend_continuation,,,400.0,160.0,129.09,8.36,79003.0,61013.0,0.772,25364.0,37587.0,77065.0,52.6,0.476,0.0,0.0,1.0,1.4,0.02,0.97,True,default,2.5,False,,,,,1,1.0,99.0,1.6e-05,0.0,4.419370360413116,0.0,9.605405,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.52301,0.0,0.0,0.0,1.0,0.3214750254859497,0.3214750254859497,n/a,2026-04-27,2026-04-27,False
INTC,LONG,0.3038667976609795,3.038667976609795,0.0,1.8232,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,0.3085236997526065,3e-06,9e-06,813894.8706238887,1319015.1539031202,19.647651,9.481544,0,0,0.0,0.399902,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,3e-06,0.487122,0.477173,0.0,0.0,,,,,,,False
