ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
MRVL,LONG,0.6038993139002239,6.038993139002239,0.0,3.6234,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,99.0,8.4e-05,2e-06,295905.5271961262,11415.251907006013,105.727082,50.90184,7,0,0.397656,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.4e-05,0.0,0.657598,0.197832,0.0,0.0,,,,,,
FCEL,LONG,0.5371573196748876,5.371573196748876,0.0,3.2229,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001359,0.0,1909.939188256722,0.0,27.572549,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.076847,0.0,0.0,0.0,,,,,,
DOCU,LONG,0.5264522525615076,5.264522525615076,3.95,5.1173,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",6.5,NEUTRAL,trend_continuation,,,50.0,40.0,10.84,11.33,65568.0,55380.0,0.845,24949.0,36606.0,59393.0,68.2,0.564,0.0,0.71,1.0,1.4,0.53,0.31,1,1.0,99.0,0.000127,0.0,1.2457955605239799e-22,0.0,19.545045,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.330483,0.0,0.0,0.0,,,,,,
ORA,LONG,0.5114994530821066,5.1149945308210665,4.85,5.1725,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence","room_to_target, trend_aligned",5.8,NEUTRAL,support_ema_confluence,,,120.0,100.0,6.57,11.19,17968.0,5218.0,0.29,12589.0,8793.0,1804.0,87.1,0.406,0.0,0.86,0.12,1.6,1.58,0.69,1,1.0,99.0,9.9e-05,0.0,5.019340565768237e-07,0.0,20.689655,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.250847,0.0,0.0,0.0,,,,,,
PL,LONG,0.47393495803047975,4.739349580304798,5.18,5.4037,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.4,NEGATIVE,trend_continuation,-676536.15,38.06,45.0,20.0,18.19,47.47,150268.0,115100.0,0.766,117169.0,39729.0,108470.0,65.0,1.018,2.16,0.55,0.24,1.4,0.65,0.17,1,1.0,99.0,7.4e-05,0.0,802847.621334002,0.0,49.46,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.052878,0.0,0.0,0.0,,,,,,
CE,LONG,0.4715469531345713,4.715469531345713,5.78,5.1317,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,NEUTRAL,trend_continuation,,,75.0,60.0,16.44,6.85,27561.0,16902.0,0.613,16877.0,6958.0,20628.0,75.4,0.704,1.76,0.86,0.33,1.4,1.07,0.36,1,1.0,99.0,0.000132,0.0,5.00633404864937e-07,0.0,3.78458,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.125756,0.0,0.0,0.0,,,,,,
CRCL,LONG,0.3950164847687361,3.9501648476873608,5.48,4.8791,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.3,NEGATIVE,trend_continuation,-8727936.37,,120.0,65.0,20.36,34.8,390093.0,285833.0,0.733,226885.0,155675.0,293366.0,87.7,0.948,1.6,0.95,1.0,1.4,0.51,0.02,4,1.0,99.0,0.000183,0.0,36665.22626354434,0.0,8.857671,,2,0,0.281338,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,0.0,0.714855,0.0,0.0,0.0,,,,,,
AXTI,LONG,0.3823624227101453,3.823624227101453,5.48,4.3958,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.2,POSITIVE,trend_continuation,404532.53,73.39,105.0,45.0,42.95,38.73,186856.0,74013.0,0.396,124197.0,35511.0,101161.0,94.8,1.942,2.44,0.67,0.45,1.4,0.25,0.28,1,1.0,99.0,8.5e-05,0.0,388189.31721936684,0.0,2.039301,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.6e-05,0.0,0.321668,0.0,0.0,0.0,,,,,,
FXI,LONG,0.3791102638930351,3.791102638930351,3.44,4.7276,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",9.0,NEGATIVE,ema_pullback,-54258314.59,,40.0,36.0,9.66,1.31,1840693.0,2067587.0,1.123,726796.0,1818444.0,1363040.0,47.3,0.236,0.0,0.88,1.0,1.2,0.28,0.08,1,1.0,99.0,0.00025,0.0,202.2646894763789,0.0,4.633136,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.448939,0.0,0.0,0.0,,,,,,
AR,LONG,0.37818428368992635,3.7818428368992634,0.0,2.2691,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2.7e-05,4.4e-05,193238.6811879187,2.5834666082107725e-20,29500.0,3.135731,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.032448,0.255527,0.0,0.0,,,,,,
