ticker,direction,pattern,flow_score_raw,flow_score_scaled,price_score,final_score,options_context_score,gamma_regime,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,entry_price,stop_price,target_1,target_2,rr_ratio,time_stop_days,regime_score,agg_premium_alignment,agg_volume_unusualness,source,checks_passed,checks_failed
GOOG,SHORT,structural_breakdown,0.5982497315996008,5.982497315996008,7.87,7.7759,8.6,NEGATIVE,-97922431.53,290.74,320.0,250.0,10.05,14.03,884085,642914,0.727,394334,436536,696129,290.79,299.24,273.8,265.31,2.01,5,0.39,0.5498,0.2133,fresh,"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",none
TEAM,SHORT,structural_breakdown,0.6261954762069666,6.261954762069665,8.04,7.5472,7.5,NEUTRAL,,,120.0,55.0,75.43,19.6,81749,57044,0.698,35010,48108,55675,68.4,73.7,57.78,50.75,2.01,5,0.39,0.6755,0.3433,fresh,"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",none
