ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
BIRK,LONG,0.676516373854376,6.765163738543761,1.99,5.0796,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.5,NEUTRAL,unknown,,,45.0,35.0,23.47,3.97,13748.0,39672.0,2.886,27317.0,16341.0,9762.0,71.1,0.592,0.0,0.26,1.0,0.0,0.25,0.48,False,default,2.5,False,1,1.0,99.0,0.000148,0.0,798977.7588137137,0.0,1842.235294,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.02616,0.0,0.0,0.0,1.0,0.676516373854376,0.676516373854376,n/a,2026-08-12,2026-08-12,False,
DJT,LONG,0.520314470214727,5.20314470214727,1.57,4.0726,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.0,POSITIVE,unknown,20661.82,8.38,25.0,5.0,199.58,40.08,328327.0,197706.0,0.602,61693.0,119232.0,345108.0,74.7,0.789,0.0,0.34,0.71,0.0,0.03,0.48,False,default,2.5,False,2,0.7,99.0,0.000686,0.0,15688.233169063178,0.0,21.311756,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.005143,0.0,0.0,0.0,1.0,0.520314470214727,0.520314470214727,n/a,2026-08-12,2026-08-12,False,
TTWO,LONG,0.5103873395015174,5.103873395015174,4.94,5.3539,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",6.6,POSITIVE,ema_pullback,6124236.89,243.68,290.0,200.0,19.03,17.91,145963.0,104196.0,0.714,75431.0,80979.0,93749.0,46.4,0.398,1.57,0.96,0.04,1.2,1.09,0.08,False,default,2.5,False,2,1.0,99.0,0.000208,0.0,0.13893139923617756,0.0,6.915136,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.542599,0.0,0.0,0.0,1.0,0.5103873395015174,0.5103873395015174,n/a,2026-08-12,2026-08-12,False,
COKE,LONG,0.5065163738543761,5.065163738543761,6.61,5.4156,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.5,NEUTRAL,unknown,,,190.0,185.0,1.38,1.29,2435.0,7143.0,2.933,6604.0,1962.0,1012.0,40.0,0.357,1.54,0.9,0.89,1.6,1.21,0.48,False,default,2.5,False,1,1.0,99.0,3.7e-05,0.0,8.174157931920978e-28,0.0,30.03125,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.37493,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-12,2026-08-12,False,
REAL,LONG,0.4808020881400903,4.808020881400903,4.76,5.172,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.7,NEUTRAL,ema_pullback,,,15.0,10.0,30.1,13.27,65718.0,25852.0,0.393,38364.0,6090.0,47116.0,18.4,0.68,1.72,0.8,0.85,1.2,0.14,0.05,False,default,2.5,False,1,0.7,99.0,0.000543,0.0,0.5065857774712604,0.0,34.486207,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.194798,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-08-12,2026-08-12,False,
SIRI,LONG,0.4802843425985482,4.802843425985482,2.87,4.5024,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.2,POSITIVE,ema_pullback,8881606.96,28.39,33.0,13.0,16.22,54.22,280811.0,97977.0,0.349,64382.0,157634.0,156772.0,25.5,0.317,0.0,0.37,1.0,1.2,0.23,0.07,False,default,2.5,False,1,1.0,99.0,6.6e-05,0.0,7.634604297340588e-06,0.0,31.23155,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.295396,0.0,0.0,0.0,1.0,0.4802843425985482,0.4802843425985482,n/a,2026-08-12,2026-08-12,False,
PBR,LONG,0.4489905630340166,4.489905630340166,3.48,4.329,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.2,POSITIVE,ema_pullback,7130519.99,17.93,20.0,10.0,11.58,44.21,1012942.0,1027389.0,1.014,302855.0,499246.0,1238230.0,26.7,0.308,0.0,0.75,1.0,1.2,0.36,0.17,False,default,2.5,False,2,1.0,99.0,1.4e-05,0.0,6.623382718682647e-27,0.0,1.975302,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.311561,0.0,0.0,0.0,1.0,0.4489905630340166,0.4489905630340166,n/a,2026-08-12,2026-08-12,False,
MSFT,LONG,0.4260065166133826,4.260065166133826,5.37,4.181,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",2.2,POSITIVE,trend_continuation,427410988.38,492.05,500.0,350.0,1.64,28.85,2828272.0,1474857.0,0.521,1032015.0,909681.0,2361433.0,12.3,0.258,2.8,0.49,0.39,1.4,0.27,0.02,False,sustained_trend,5.0,False,8,1.0,11.092706071211978,2e-06,0.0,2862.7947671571023,1806.5531748025676,72.879276,2,1,0.783029,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.40787,0.409,0.0,0.0,1.0,0.4260065166133826,0.4260065166133826,n/a,2026-08-12,2026-08-12,False,56.56338
SKHY,LONG,0.40977267689561037,4.097726768956104,5.3,4.8189,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.9,NEGATIVE,retest_and_confirm,-6274973.22,,200.0,85.0,30.37,44.59,455452.0,539894.0,1.185,468441.0,176558.0,350347.0,2.1,0.755,0.0,0.88,1.0,1.4,1.87,0.15,False,default,2.5,False,8,1.0,3.128143383434754,1.6e-05,2e-06,2268.9463705716857,5077.332668991155,584.407256,0,0,0.665031,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.255828,0.461039,0.0,0.0,1.0,0.40977267689561037,0.40977267689561037,n/a,2026-08-12,2026-08-12,False,48.086957
SNDK,LONG,0.38218031754652093,3.8218031754652095,5.42,4.1969,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",3.3,POSITIVE,pullback_to_support,45572391.06,1374.87,1600.0,250.0,16.4,81.81,437814.0,515328.0,1.177,288545.0,137835.0,526762.0,1.9,0.863,0.0,0.99,1.0,1.4,1.87,0.16,False,default,2.5,False,3,1.0,99.0,7.4e-05,0.0,3767771.327974642,0.0,5.881793,0,0,0.62201,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-05,0.0,0.505385,0.0,0.0,0.0,1.0,0.38218031754652093,0.38218031754652093,n/a,2026-08-12,2026-08-12,False,
