ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
LOW,LONG,0.5409265177958755,5.409265177958755,7.0,5.8846,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.4,NEUTRAL,flag_breakout,,,230.0,195.0,4.23,11.63,66427.0,70113.0,1.055,75375.0,14767.0,46398.0,33.3,0.293,1.53,0.72,1.0,1.6,1.23,0.92,False,default,2.5,False,5,1.0,99.0,2.5e-05,0.0,90048.06304660162,0.0,8.129415,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.171924,0.0,0.0,0.0,1.0,0.5409265177958755,0.5409265177958755,n/a,2026-08-19,2026-08-19,False,,,,,
UTHR,LONG,0.5065163738543761,5.065163738543761,4.93,5.1916,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",5.9,NEUTRAL,support_ema_confluence,,,550.0,480.0,5.12,8.26,32823.0,30486.0,0.929,58375.0,0.0,4934.0,12.4,0.32,0.0,0.93,1.0,1.6,1.39,0.0,False,default,2.5,False,2,1.0,99.0,9.9e-05,3e-05,8688.554245754834,1.4235675905659594e-34,541.823529,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.282089,0.505954,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-19,2026-08-19,False,25.0,,,,
RMBS,LONG,0.49911438021697824,4.991143802169782,3.58,4.7896,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.1,NEUTRAL,ema_pullback,,,150.0,80.0,61.29,13.98,36022.0,27809.0,0.772,45324.0,0.0,18507.0,19.3,0.688,0.0,0.68,1.0,1.2,0.5,0.2,False,default,2.5,False,3,1.0,99.0,0.000164,0.0,0.1523059313080783,0.0,3.19224,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.48294,0.0,0.0,0.0,1.0,0.49911438021697824,0.49911438021697824,n/a,2026-08-19,2026-08-19,False,,,,,
REAL,LONG,0.4808020881400903,4.808020881400903,5.48,5.148,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.5,NEUTRAL,retest_and_confirm,,,12.5,10.0,8.07,13.54,74619.0,26284.0,0.352,50203.0,0.0,50700.0,5.2,0.608,0.0,0.98,0.83,1.4,1.99,0.28,False,default,2.5,False,1,0.7,99.0,0.00058,0.0,2.24789091607374e-09,0.0,34.486207,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.194798,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-08-19,2026-08-19,False,,,,,
AXTI,LONG,0.4700586726313158,4.7005867263131575,6.58,5.6243,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,6.5,NEGATIVE,trend_continuation,-301421.31,,100.0,45.0,32.61,40.33,166228.0,115316.0,0.694,163433.0,4282.0,113829.0,3.7,1.2,2.19,0.94,1.0,1.4,0.19,0.85,False,sustained_trend,5.0,False,1,1.0,99.0,0.000204,0.0,815816.5593436433,0.0,1.195006,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8.6e-05,0.0,0.568154,0.0,0.0,0.0,1.0,0.4700586726313158,0.4700586726313158,n/a,2026-08-19,2026-08-19,False,,,,,
RIOT,LONG,0.45123579280134624,4.512357928013462,4.56,4.7842,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,5.8,POSITIVE,bounce_and_fail,4504175.59,19.66,25.0,15.0,27.16,23.7,604036.0,328446.0,0.544,567359.0,31202.0,333921.0,27.6,0.837,0.0,0.84,0.96,1.0,1.2,0.56,False,default,2.5,False,1,1.0,99.0,0.00012,0.0,667249.4786377331,0.0,3900.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.000126,0.0,0.0,0.0,1.0,0.45123579280134624,0.45123579280134624,n/a,2026-08-19,2026-08-19,False,,,,,
OUST,LONG,0.43090334752494286,4.309033475249429,2.67,4.3955,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.2,NEUTRAL,unknown,,,60.0,40.0,46.2,2.53,84068.0,41973.0,0.499,55869.0,1000.0,69172.0,33.2,0.976,0.0,0.82,1.0,0.0,0.26,0.59,False,default,2.5,False,1,0.7,99.0,8.1e-05,0.0,240467.51685764838,0.0,5.092308,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.3e-05,0.0,0.430932,0.0,0.0,0.0,1.0,0.43090334752494286,0.43090334752494286,n/a,2026-08-19,2026-08-19,False,,,,,
SILJ,LONG,0.42408324364997024,4.240832436499702,0.0,2.5445,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,0.000659,0.001437,36279.2240149357,1.4944633102027119e-09,3.562044,0,0,0.0,0.025523,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.4e-05,0.0,0.368656,0.450771,0.0,0.0,,,,,,,False,43.268537,,,,
BIDU,LONG,0.4217493170220065,4.217493170220065,3.56,4.5167,price_validation_failed,"confirmation_volume, hammer_at_support, room_to_target","momentum_aligned, not_extended, trend_aligned",6.7,NEGATIVE,unknown,-19792678.31,,150.0,90.0,62.34,2.6,329243.0,185571.0,0.564,274002.0,41606.0,199206.0,6.9,0.41,0.0,0.0,1.0,1.2,0.36,1.0,True,default,2.5,False,1,1.0,99.0,4.3e-05,0.0,940128.1435215839,0.0,6.53913,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.2e-05,0.0,0.856621,0.0,0.0,0.0,1.0,0.4217493170220065,0.4217493170220065,n/a,2026-08-19,2026-08-19,False,,,,,
BMNR,LONG,0.3928431817983838,3.928431817983838,8.07,5.4852,poor_rr (1.7:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.5,POSITIVE,flag_breakout,14324442.59,20.82,25.0,15.0,20.11,27.94,1158396.0,431090.0,0.372,588708.0,8306.0,992472.0,20.8,0.781,2.0,0.51,1.0,1.6,1.95,1.0,False,sustained_trend,5.0,False,1,1.0,99.0,4e-05,0.0,415006.4597016266,0.0,19.900862,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-05,0.0,0.525667,0.0,0.0,0.0,1.0,0.3928431817983838,0.3928431817983838,n/a,2026-08-19,2026-08-19,False,,20.82,18.32,25.0,1.68
