ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
CRWD,LONG,0.47531084136539165,4.753108413653917,0,2.8519,error: No OHLCV data returned for ticker=CRWD,none,none,,,unknown,,,,,,,,,,,,,,,334.6773485151874,8.0,1.0,99.0,0.0,0.0,199899.63361090052,0.0,0.503807,,2.0,0.0,0.474773,0.0
QBTS,LONG,0.4705083452136952,4.705083452136952,0,2.8231,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,250.03930768518111,5.0,1.0,99.0,0.0,0.0,41748.742291417315,178.7573784514338,3.367118,4.073161,0.0,0.0,0.485679,0.365993
FIG,LONG,0.4653135181104431,4.653135181104431,0,2.7919,error: No OHLCV data returned for ticker=FIG,none,none,,,unknown,,,,,,,,,,,,,,,2.418492836044149,5.0,1.0,99.0,0.0,0.0,34181.02797659166,0.0,181.983051,,0.0,0.0,0.506257,0.0
AAPL,LONG,0.456069973945132,4.56069973945132,0,2.7364,error: No OHLCV data returned for ticker=AAPL,none,none,,,unknown,,,,,,,,,,,,,,,1.374456624359977,22.0,1.0,2.279740079885488,0.0,0.0,123805.55070482887,184643.361807089,0.641886,0.15846,3.0,0.0,0.803054,0.295948
GEV,LONG,0.45454450356243464,4.545445035624346,0,2.7273,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,8.826772285384484,22.0,1.0,0.2895756666680041,0.0,0.0,15310.139702359547,36602.963253818394,1.594438,1.558394,2.0,3.0,0.543938,0.652966
UVIX,LONG,0.45037180666666665,4.503718066666666,0,2.7022,error: No OHLCV data returned for ticker=UVIX,none,none,,,unknown,,,,,,,,,,,,,,,907.9150069874219,4.0,1.0,99.0,0.0,0.0,208169.1010433086,112.9587761366035,1.853419,0.408163,1.0,0.0,0.013233,0.0
PYPL,LONG,0.44780868090584547,4.478086809058455,0,2.6869,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2.813774995776108,6.0,1.0,0.48173640240619187,0.0,0.0,58548.343915615544,60768.02959375342,73.241613,27.622897,1.0,2.0,0.01704,0.671957
CTRA,LONG,0.40319716041707127,4.031971604170713,0,2.4192,error: No OHLCV data returned for ticker=CTRA,none,none,,,unknown,,,,,,,,,,,,,,,56.64197141965228,2.0,1.0,99.0,0.0,0.0,21795.796786422976,0.0,134.233264,,0.0,0.0,0.017348,0.0
DAL,LONG,0.39969,3.9969,0,2.3981,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,4.00636536134431,10.0,1.0,0.2314139348412319,0.0,0.0,1700.706604765586,4899.464692802255,12.939274,1.118415,0.0,0.0,0.51566,0.28876
IWM,LONG,0.3971119933003893,3.971119933003893,0,2.3827,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,0.4508291558502639,19.0,1.0,0.31598814314449675,0.0,0.0,105062.41996776484,457171.67112063704,0.104009,0.135264,3.0,4.0,0.747562,0.785361
