ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
KORU,LONG,0.8249594878196947,8.249594878196948,6.77,7.2358,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.4,NEUTRAL,trend_continuation,,,700.0,335.0,34.08,35.83,4950.0,11436.0,2.31,9712.0,4419.0,2255.0,72.9,1.469,1.95,0.34,1.0,1.4,1.6,0.48,7,1.0,99.0,0.003061,0.0,594301.3623755404,0.0,204.5,7,0,0.652674,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.002112,0.0,0.757238,0.0,0.0,0.0,,,,,,,
SMMT,LONG,0.6695804458908465,6.695804458908466,7.07,6.7689,poor_rr (0.5:1),"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,6.5,NEUTRAL,trend_continuation,,,25.0,20.0,6.38,14.89,43332.0,30631.0,0.707,19730.0,28746.0,25487.0,72.2,1.016,2.87,0.24,1.0,1.4,0.56,1.0,1,1.0,99.0,4.9e-05,0.0,937766.6523123317,0.0,21.771014,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.7e-05,0.0,0.381442,0.0,0.0,0.0,23.5,20.68,25.0,0.53,,,
WIX,LONG,0.5357875045395162,5.357875045395161,5.04,5.4109,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",6.1,NEUTRAL,trend_continuation,,,120.0,70.0,53.85,10.26,25960.0,24375.0,0.939,13339.0,16148.0,20848.0,88.4,0.808,0.0,0.82,1.0,1.4,1.65,0.17,1,1.0,99.0,0.000153,0.0,594156.2027020142,0.0,9.5,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.5e-05,0.0,0.533409,0.0,0.0,0.0,,,,,,,
NN,LONG,0.5346383320662336,5.346383320662335,3.15,5.2582,price_validation_failed,"confirmation_volume, not_extended, trend_continuation","momentum_aligned, room_to_target, trend_aligned",8.2,NEUTRAL,trend_continuation,,,30.0,15.0,82.26,8.87,260039.0,27144.0,0.104,53252.0,143207.0,91539.0,47.9,0.227,0.0,0.53,0.04,1.4,0.17,1.0,2,1.0,99.0,0.000961,0.0,3.185097708857687e-10,0.0,2.723989,0,0,0.468929,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.138796,0.0,0.0,0.0,,,,,,,
LOGI,LONG,0.5114994530821066,5.1149945308210665,5.42,5.0835,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.5,NEUTRAL,trend_continuation,,,120.0,90.0,21.68,8.74,9227.0,12769.0,1.384,7724.0,7469.0,6803.0,88.8,0.408,1.79,0.39,1.0,1.4,0.57,0.27,1,1.0,99.0,4.7e-05,0.0,2.2424076397796595e-09,0.0,6.024096,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.393726,0.0,0.0,0.0,,,,,,,
CRCL,LONG,0.44777428675120845,4.4777428675120845,6.81,5.0619,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,3.9,POSITIVE,trend_continuation,656934.64,103.31,120.0,100.0,16.21,3.16,381766.0,277327.0,0.726,215442.0,152788.0,290863.0,97.6,1.03,1.71,0.85,1.0,1.4,0.97,0.87,2,1.0,99.0,4.9e-05,0.0,517268.33942634996,0.0,7.737624,2,0,0.475699,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.8e-05,0.0,0.59415,0.0,0.0,0.0,,,,,,,
AAOI,LONG,0.4200045578667451,4.200045578667451,4.97,4.551,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned","continuation_pattern, momentum_aligned",4.8,NEUTRAL,unknown,,,200.0,20.0,39.56,86.04,112905.0,108010.0,0.957,94239.0,53338.0,73338.0,95.1,1.566,2.57,0.63,0.59,0.0,0.37,0.8,1,1.0,99.0,8.5e-05,0.0,857362.7171642067,0.0,2.752688,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.8e-05,0.0,0.233146,0.0,0.0,0.0,,,,,,,
PTON,LONG,0.41015703745310383,4.101570374531038,6.03,4.7998,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.7,POSITIVE,trend_continuation,1388080.79,4.97,10.0,3.0,101.21,39.64,556962.0,214311.0,0.385,155980.0,244396.0,370897.0,88.1,0.884,2.62,0.56,1.0,1.4,0.42,0.03,1,1.0,99.0,0.000273,0.0,6.687489493794427e-30,0.0,3.887723,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.585488,0.0,0.0,0.0,,,,,,,
MRVL,LONG,0.3955026971564897,3.955026971564897,0.0,2.373,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,99.0,1e-05,0.0,598373.450365688,0.0,105.380368,2,0,0.482096,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,0.0,0.209452,0.0,0.0,0.0,,,,,,,
SATS,LONG,0.37964557298320617,3.796455729832062,5.89,5.2652,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,8.0,NEGATIVE,trend_continuation,-2766816.96,,150.0,100.0,20.75,19.5,322252.0,147431.0,0.458,81623.0,201305.0,186755.0,72.2,0.645,1.81,0.98,0.55,1.4,0.42,0.72,3,1.0,8.536101779554064e-09,0.000257,0.0001,4.208587997138178e-28,9.860679044897797e-20,2.79202,0,0,0.477696,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.236975,0.063842,0.0,0.0,,,,,1.587619,,
