ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
AXTI,LONG,0.7458968266666667,7.458968266666667,8.29,7.0365,poor_rr (1.7:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.1,POSITIVE,flag_breakout,3820196.42,74.68,105.0,40.0,39.76,46.76,196357.0,71877.0,0.366,164082.0,15722.0,88430.0,96.7,1.896,2.35,0.38,1.0,1.6,1.96,1.0,75.13,66.11,90.46,1.7,45.31410630012192,9,1.0,92.48211798353567,0.002622,0.00047,1437127.4823966648,31079.034817358148,1.136986,0.315976,1,1,0.779154,0.616902
DAVE,LONG,0.7178519200000001,7.178519200000001,6.83,6.9383,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.5,NEUTRAL,trend_continuation,,,240.0,210.0,5.26,7.89,18417.0,5687.0,0.309,16013.0,413.0,7678.0,67.8,0.742,1.99,0.0,1.0,1.4,1.79,0.65,,,,,9469436612.634079,19,1.0,1.8313175282297324e-08,0.000872,0.000465,8.097261997886536e-05,9580.024977452545,2.856607,15.628246,2,1,0.120377,0.435115
U,LONG,0.7159369584635277,7.159369584635277,4.76,5.8877,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.4,POSITIVE,trend_continuation,9277176.26,25.48,40.0,20.0,56.92,21.54,460553.0,222822.0,0.484,300410.0,104174.0,278791.0,82.1,0.855,0.0,0.22,1.0,1.4,1.7,0.44,,,,,13.411374038562473,11,1.0,3.3197979063454093,0.000128,1.8e-05,36626.72484351976,29420.846992733717,6.032184,9.227069,1,0,0.374878,0.112234
RGTI,LONG,0.7115307511562989,7.115307511562989,7.11,6.5507,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.3,POSITIVE,trend_continuation,1268917.34,18.98,20.0,14.0,5.46,26.18,355135.0,341778.0,0.962,347407.0,16562.0,332944.0,69.8,1.081,1.94,0.0,1.0,1.4,1.78,1.0,,,,,2.21949891225076,9,1.0,99.0,0.000127,0.0,9238.025372828795,0.0,15.048357,,1,0,0.696987,0.0
KWEB,LONG,0.689667875874313,6.89667875874313,5.8,6.1683,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.9,POSITIVE,trend_continuation,108032797.6,,33.0,28.0,9.69,6.93,2604445.0,881166.0,0.338,1539565.0,763504.0,1182542.0,72.1,0.33,0.0,0.52,1.0,1.4,1.87,1.0,,,,,14.24438544892802,11,1.0,99.0,0.000232,0.0,38477.44491945173,0.0,0.523494,,6,0,0.554564,0.0
SIMO,LONG,0.6851848645014071,6.851848645014071,5.63,5.9749,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.3,NEUTRAL,trend_continuation,,,140.0,90.0,2.99,33.79,17266.0,1953.0,0.113,12051.0,2467.0,4701.0,96.1,0.808,1.85,0.12,0.46,1.4,1.54,0.26,,,,,629030281.4212946,15,1.0,99.0,0.000639,8.5e-05,35083.595987780114,0.00011402454009789164,215.398504,176.0,0,3,0.0,0.577604
OGN,LONG,0.658786077318246,6.58786077318246,7.81,6.6769,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.2,NEUTRAL,trend_continuation,,,10.0,5.0,7.87,46.06,89627.0,46747.0,0.522,48201.0,17767.0,70406.0,97.9,0.977,2.96,0.0,1.0,1.4,1.45,1.0,,,,,3582651611798278.0,6,1.0,99.0,0.000149,1.8e-05,1490.1794366372387,0.003048018181161609,8.875528,162.220339,2,0,0.0,0.0
KOD,LONG,0.6464634944408115,6.4646349444081155,4.07,5.5933,price_validation_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",5.7,NEUTRAL,unknown,,,45.0,35.0,12.84,12.24,8929.0,7957.0,0.891,7553.0,1613.0,7720.0,15.2,0.995,2.66,0.65,0.54,0.0,0.14,0.07,,,,,3.892994262195538e+25,4,1.0,41.085682622959894,8e-05,2.5e-05,62727.46848165966,1526.7476278124607,7.299678,24.390244,1,1,0.0,0.0
CIFR,LONG,0.6163000509473014,6.163000509473014,3.62,5.4075,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned","continuation_pattern, room_to_target",6.2,POSITIVE,unknown,5787924.03,17.05,20.0,10.0,17.54,41.23,829309.0,436540.0,0.526,456084.0,175025.0,634740.0,48.8,1.104,1.78,0.49,0.0,0.0,0.67,0.69,,,,,54.94818891107171,6,1.0,99.0,0.000158,4e-06,77701.75640125395,2402.433691887539,2.092595,0.978482,0,0,0.118969,0.0
PRAX,LONG,0.599875222539946,5.99875222539946,5.79,6.1764,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,7.2,NEUTRAL,trend_continuation,,,410.0,130.0,26.11,60.01,2586.0,8806.0,3.405,4283.0,195.0,6914.0,45.6,0.764,1.75,0.78,0.45,1.4,0.61,0.8,,,,,1.333074862923547e+26,5,1.0,99.0,5.3e-05,0.0,128.62988698274089,0.0,31.3125,,2,0,0.653926,0.0
