ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
MRVL,LONG,0.5794417763003065,5.794417763003064,7.35,5.9022,poor_rr (1.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,POSITIVE,trend_continuation,14847470.59,156.81,180.0,75.0,14.75,52.19,565569.0,697677.0,1.234,347764.0,403756.0,511726.0,95.5,0.787,3.0,0.42,1.0,1.4,0.78,0.75,False,sustained_trend,5.0,False,156.87,138.04,180.0,1.23,12,1.0,0.1609991782135505,7.3e-05,1.2e-05,7.278787247565593,135.63026833424496,115.837181,34.031706,7,1,0.390447,0.337324,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.660451,0.192822,0.0,0.0,1.0,0.5794417763003065,0.5794417763003065,n/a,2026-04-27,2026-04-27,False
USO,LONG,0.4390561024734489,4.390561024734489,6.23,5.3043,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.2,NEGATIVE,trend_continuation,-8545276.76,,200.0,100.0,48.32,25.84,659711.0,1025668.0,1.555,595792.0,541688.0,547899.0,82.2,0.758,2.08,0.76,0.31,1.4,1.68,0.0,False,sustained_trend,5.0,False,,,,,2,1.0,99.0,0.000656,0.0,98417.42406792368,0.0,8.21875,,1,0,5.9e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9.5e-05,0.0,0.594816,0.0,0.0,0.0,1.0,0.4390561024734489,0.4390561024734489,n/a,2026-04-27,2026-04-27,False
FN,LONG,0.4120643752958883,4.120643752958883,0.0,2.4724,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,99.0,7.7e-05,0.000219,0.01845800610241441,2.374629305824226e-15,12.911932,51.613636,0,0,0.0,0.292166,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.247044,0.471274,0.0,0.0,,,,,,,False
SMH,LONG,0.3976946067168661,3.9769460671686607,6.76,5.0565,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,5.2,NEGATIVE,trend_continuation,-29039012.94,,520.0,400.0,3.51,20.38,416000.0,897857.0,2.158,455179.0,458966.0,399712.0,98.8,0.44,2.63,0.2,0.02,1.4,1.68,0.83,False,sustained_trend,5.0,False,,,,,4,1.0,99.0,3.5e-05,0.0,170.20685953225077,0.0,72.211119,,3,0,0.731855,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.40082,0.0,0.0,0.0,1.0,0.3976946067168661,0.3976946067168661,n/a,2026-04-27,2026-04-27,False
CRCL,LONG,0.3802219764860584,3.8022197648605838,3.62,4.2471,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",6.3,NEGATIVE,ema_pullback,-479721.74,96.51,120.0,60.0,24.26,37.87,356651.0,257765.0,0.723,162686.0,156543.0,295187.0,83.4,0.94,0.0,0.82,1.0,1.2,0.24,0.35,False,default,2.5,False,,,,,3,1.0,99.0,0.00016,0.0,1.095238549185263,0.0,9.779189,,2,0,0.281338,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.714855,0.0,0.0,0.0,1.0,0.3802219764860584,0.3802219764860584,n/a,2026-04-27,2026-04-27,False
FXI,LONG,0.37913053853780676,3.7913053853780676,3.88,4.8397,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",8.9,NEGATIVE,ema_pullback,-58443565.39,,40.0,36.0,9.72,1.25,1940419.0,2137225.0,1.101,715489.0,1881766.0,1480389.0,45.0,0.235,0.0,0.88,1.0,1.2,0.31,0.49,False,default,2.5,False,,,,,1,1.0,99.0,0.000251,0.0,0.0045314342969663204,0.0,4.633136,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.448939,0.0,0.0,0.0,1.0,0.37913053853780676,0.37913053853780676,n/a,2026-04-27,2026-04-27,False
IWM,LONG,0.3593265843622788,3.5932658436227882,0.0,2.156,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,1.7029048381425875,3.3e-05,2.2e-05,3.810612997541247,6.713140239294177,20.034491,8.521368,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558004,0.557219,0.0,0.0,,,,,,,False
EL,LONG,0.34671865174532157,3.4671865174532157,4.48,4.3176,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.2,NEUTRAL,ema_pullback,,,105.0,75.0,35.98,2.87,106200.0,89081.0,0.839,34149.0,68503.0,144406.0,73.8,0.155,0.0,0.94,1.0,1.2,1.21,0.14,False,default,2.5,False,,,,,2,0.7,99.0,4.4e-05,0.0,3.9735745849218994e-11,0.0,8.16675,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,1.0,0.34671865174532157,0.34671865174532157,n/a,2026-04-27,2026-04-27,False
INTC,LONG,0.30554993119088447,3.0554993119088447,0.0,1.8333,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,0.3085236997526066,3e-06,9e-06,981943.1542922802,1591357.7386107827,19.647651,9.481544,0,0,0.0,0.399902,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,4e-06,0.487122,0.477173,0.0,0.0,,,,,,,False
SOXX,LONG,0.3031804010460049,3.031804010460049,7.16,4.3439,poor_rr (0.3:1),"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,3.4,NEUTRAL,trend_continuation,,,470.0,400.0,3.82,11.64,47438.0,96312.0,2.03,68400.0,31650.0,43700.0,95.9,0.435,2.9,0.16,0.17,1.4,1.53,1.0,False,sustained_trend,5.0,False,452.71,398.38,470.0,0.32,1,1.0,99.0,1.8e-05,0.0,123.5260290537381,0.0,17.652174,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.288876,0.0,0.0,0.0,1.0,0.3031804010460049,0.3031804010460049,n/a,2026-04-27,2026-04-27,False
