ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
LCID,LONG,0.5230897143436275,5.230897143436275,2.08,4.3994,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.8,NEGATIVE,unknown,-311317.35,,10.0,5.0,43.58,28.21,204752.0,277077.0,1.353,247497.0,37834.0,196498.0,95.8,1.034,0.0,0.0,1.0,0.0,0.08,1.0,1,1.0,99.0,0.000236,0.0,503914.76764265576,0.0,82.306931,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5e-05,0.0,0.16589,0.0,0.0,0.0,,,
SATS,LONG,0.3881093498672215,3.881093498672215,5.39,5.3975,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",9.2,NEGATIVE,trend_continuation,-914442.28,135.86,150.0,100.0,10.41,26.39,324516.0,137751.0,0.424,72026.0,206677.0,183564.0,51.4,0.612,2.14,0.13,0.0,1.4,1.72,0.0,3,1.0,8.536101779554003e-09,0.000239,9.3e-05,7.8047144841271e-26,1.828636697566388e-17,2.79202,0,0,0.477696,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.236975,0.063842,0.0,0.0,1.587619,,
SOXX,LONG,0.3632058395253314,3.6320583952533143,5.77,4.507,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",4.8,NEUTRAL,trend_continuation,,,450.0,290.0,8.21,30.27,40142.0,101666.0,2.533,83518.0,20258.0,38032.0,74.8,0.392,2.59,0.0,0.0,1.4,1.77,0.0,1,1.0,99.0,9.5e-05,0.0,7.178531117801197e-09,0.0,582.8,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.320583,0.0,0.0,0.0,,,
PONY,LONG,0.3414994530821066,3.4149945308210663,4.35,4.2525,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",6.2,NEUTRAL,trend_continuation,,,12.5,10.0,8.55,13.16,96487.0,23551.0,0.244,83699.0,15535.0,20804.0,69.3,0.892,0.0,0.39,1.0,1.4,1.55,0.02,1,1.0,99.0,0.000275,0.0,224.5668227465856,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.367252,0.0,0.0,0.0,,,
CIEN,LONG,0.3321393414102093,3.3213934141020927,5.39,4.0177,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.7,NEUTRAL,trend_continuation,,,510.0,480.0,1.65,4.33,32405.0,25870.0,0.798,22561.0,18167.0,17547.0,61.4,0.799,2.31,0.17,0.0,1.4,1.49,0.01,3,1.0,99.0,3.3e-05,1e-05,0.07141235730750171,6.530439419244893e-07,22.028571,1,0,0.464773,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.613022,0.444494,0.0,0.0,8.272727,,
PDD,LONG,0.33179163360472236,3.3179163360472237,4.76,4.407,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",6.6,POSITIVE,retest_and_confirm,22017768.07,104.15,125.0,100.0,19.98,4.02,647082.0,384333.0,0.594,271573.0,330557.0,429285.0,55.5,0.363,1.56,0.67,0.18,1.4,0.87,0.09,6,1.0,99.0,2.8e-05,1.2e-05,95.73943950463187,1.1162582009161952e-19,2.443749,1,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.1561,0.150757,0.0,0.0,2.610623,,
DIA,LONG,0.3278720852059578,3.278720852059578,0.0,1.9672,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,2.5467339181793216,0.0,0.0,305.4556977113993,119.94016945821014,172.0,0,0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.645876,0.421066,0.0,0.0,3.242812,,
INTC,LONG,0.3253584904005021,3.2535849040050207,5.75,4.2518,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.5,POSITIVE,trend_continuation,27065996.69,65.45,70.0,35.0,6.87,46.56,2461469.0,2317613.0,0.942,967454.0,1396770.0,2414858.0,90.9,0.736,2.82,0.0,0.4,1.4,0.83,0.3,4,1.0,0.00015463950760776312,8e-06,4e-06,0.021946840434360876,141.92259645593384,45.522396,1,0,0.124095,0.39683,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.587319,0.076291,0.0,0.0,22.784014,,
WULF,LONG,0.3174271591474557,3.1742715914745565,5.49,4.4541,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",6.1,POSITIVE,trend_continuation,14758894.41,21.11,25.0,11.0,18.43,47.89,1424540.0,675807.0,0.474,725607.0,618647.0,756093.0,51.4,0.995,1.96,0.0,0.0,1.4,1.85,0.28,3,1.0,99.0,0.000136,7.5e-05,68.42381689264442,0.4367215139642775,45.449125,0,0,0.005034,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.074976,0.509915,0.0,0.0,1.765654,,
ALAB,LONG,0.30278474340193173,3.0278474340193173,6.01,4.3769,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",5.3,NEUTRAL,trend_continuation,,,200.0,80.0,14.8,54.08,102070.0,84320.0,0.826,64925.0,33907.0,87558.0,76.4,0.966,2.46,0.0,0.31,1.4,1.7,0.14,1,1.0,99.0,5.5e-05,0.0,0.00479361992416641,0.0,23.857143,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.632484,0.0,0.0,0.0,,,
