ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
POET,SHORT,0.647676798955921,6.47676798955921,4.17,5.5494,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_resistance, room_to_target",trend_aligned,5.3,POSITIVE,pullback_to_resistance,2641072.8,,10.0,5.0,36.8,31.6,722646.0,84919.0,0.118,222164.0,4260.0,581141.0,53.0,0.961,0.0,0.34,1.0,1.4,0.75,0.68,,,,,4.0068183533178,3,1.0,0.24957457808686573,6e-05,0.000198,9146.117401796206,18323.415533558175,0.103746,2.266304,0,1,0.0,0.344235
EWI,SHORT,0.6000000000000001,6.000000000000001,2.88,5.124,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, room_to_target","momentum_aligned, not_extended, trend_aligned",6.3,NEUTRAL,bounce_and_fail,,,60.0,52.0,1.86,11.72,1351.0,6763.0,5.006,270.0,7591.0,253.0,83.4,0.279,0.0,0.0,1.0,1.0,0.21,0.67,,,,,0.0,1,1.0,0.0,0.0,0.000318,0.0,42906.06932058575,,592.285714,0,0,0.0,0.0
HPQ,SHORT,0.5805846810623791,5.805846810623791,2.61,4.4059,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",3.6,POSITIVE,ema_rally,6028641.21,,20.0,18.0,0.2,9.82,178618.0,174119.0,0.975,164799.0,53970.0,133968.0,78.3,0.449,0.0,0.38,0.83,1.2,0.08,0.12,,,,,9.511832847867403,10,1.0,0.1874588223346963,2.8e-05,7.1e-05,35.62398806871223,285.0545065713773,3.763966,3.823282,0,0,0.611641,0.350719
BAX,SHORT,0.5532305259434824,5.532305259434825,0.22,3.7322,watchlist_reeval_failed,none,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, room_to_target, trend_aligned",4.5,NEUTRAL,unknown,,,20.0,17.5,5.88,7.36,64041.0,42089.0,0.657,34439.0,11705.0,59986.0,92.9,0.558,0.0,0.0,0.0,0.0,0.05,0.17,,,,,5.453197442995551e+31,2,1.0,0.0,0.0,7.1e-05,0.0,47318.322329437884,,23.022574,0,0,0.0,0.0
GSAT,SHORT,0.5373571598339604,5.373571598339604,3.28,4.4708,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target, volume_capitulation_reversal","momentum_aligned, trend_aligned",4.0,NEUTRAL,unknown,,,90.0,60.0,12.35,25.1,90839.0,56455.0,0.621,87595.0,5173.0,54526.0,0.0,0.128,0.0,0.05,1.0,1.4,0.22,0.62,,,,,53270.54366474325,3,1.0,99.0,7e-06,7.8e-05,192.44640413957745,0.1308136978903812,1.144263,7.709447,0,0,1.9e-05,0.0
EOSE,SHORT,0.47370950446240295,4.73709504462403,3.35,4.0335,watchlist_reeval_failed,"confirmation_volume, ema_rally, room_to_target","momentum_aligned, not_extended, trend_aligned",3.3,POSITIVE,ema_rally,3031554.35,7.61,10.0,5.5,31.58,27.63,1088668.0,391516.0,0.36,358983.0,9821.0,1111380.0,90.5,1.298,0.0,0.0,1.0,1.2,0.15,1.0,,,,,7.619474371582359,2,1.0,0.2624852978650618,3.1e-05,8.8e-05,11249.245675998305,42856.66956395138,0.20878,0.390922,0,0,0.0,0.0
VSCO,LONG,0.5973581348682141,5.973581348682141,6.56,6.0148,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,5.3,NEUTRAL,support_ema_confluence,,,55.0,50.0,1.69,7.55,21763.0,11744.0,0.54,12993.0,6367.0,14147.0,43.9,0.64,1.64,0.2,1.0,1.6,1.86,0.26,,,,,1.1168866473369029e+17,4,1.0,99.0,8.8e-05,0.0,5.041102980744422,0.0,11.366577,,0,0,0.0,0.0
CROX,LONG,0.5829850615348807,5.829850615348807,6.19,5.5719,watchlist_reeval_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",4.0,NEUTRAL,trend_continuation,,,110.0,85.0,4.4,19.32,30762.0,27327.0,0.888,22301.0,17271.0,18517.0,82.4,0.63,2.71,0.0,0.0,1.4,1.85,0.23,,,,,1.6824406515332622e+19,7,1.0,99.0,8.8e-05,8e-06,1889.6988869101615,11.088582100933575,1.482671,0.678445,4,0,1e-06,0.0
LYFT,LONG,0.5684518065185522,5.684518065185522,6.18,5.5563,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.3,POSITIVE,trend_continuation,4385392.84,15.21,35.0,12.0,130.26,21.05,427713.0,240416.0,0.562,192270.0,147313.0,328546.0,87.7,0.791,1.67,0.0,1.0,1.4,1.88,0.22,,,,,3325698998.328034,7,1.0,99.0,0.000107,5.5e-05,3945.3044291147207,2.7261801661544837e-05,1.233696,0.241976,1,0,0.491179,0.001652
NBIS,LONG,0.39999131795184617,3.9999131795184617,6.15,5.465,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,8.1,NEGATIVE,trend_continuation,-1148633.48,,200.0,10.0,27.37,93.63,433462.0,378085.0,0.872,345073.0,106754.0,359720.0,51.4,0.9,2.38,0.0,0.26,1.4,1.12,1.0,,,,,3.38154693191601,7,1.0,3.9215212063301905,3.2e-05,1.7e-05,40587.17760344257,25874.638608307163,0.927909,1.190474,1,0,0.49019,0.067573
