ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
DAVE,LONG,0.7178519200000001,7.178519200000001,6.95,6.9943,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.6,NEUTRAL,trend_continuation,,,240.0,210.0,4.83,8.27,18417.0,5687.0,0.309,16013.0,413.0,7678.0,46.9,0.685,2.0,0.0,1.0,1.4,1.82,0.73,9469436612.634066,19,1.0,1.8313175282297304e-08,0.000872,0.000465,9.04514794206214e-05,10701.486901662081,2.856607,15.628246,2,1,0.120377,0.435115,,,,
SIMO,LONG,0.6882276957258103,6.882276957258103,5.83,6.0301,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.2,NEUTRAL,trend_continuation,,,140.0,90.0,2.09,34.37,17266.0,1953.0,0.113,12051.0,2467.0,4701.0,96.8,0.826,1.86,0.03,0.39,1.4,1.69,0.45,629030281.4212908,15,1.0,99.0,0.000639,8.5e-05,39190.57035968912,0.0001273725408020915,215.398504,176.0,0,3,0.0,0.577604,,,,
OGN,LONG,0.6590568230515795,6.590568230515795,8.11,6.5283,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.0,NEUTRAL,trend_continuation,,,10.0,5.0,4.93,47.53,89627.0,46747.0,0.522,48201.0,17767.0,70406.0,98.2,1.033,2.97,0.0,1.0,1.4,1.74,1.0,3582651611798265.0,6,1.0,99.0,0.000149,1.8e-05,1664.62360587082,0.0034048268891259765,8.875528,162.220339,2,0,0.0,0.0,,,,
RGTI,LONG,0.6523446106303329,6.523446106303329,4.94,5.6237,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.4,POSITIVE,trend_continuation,1118890.16,18.32,20.0,14.0,9.77,23.16,355135.0,341778.0,0.962,347407.0,16562.0,332944.0,67.8,1.057,0.0,0.04,1.0,1.4,1.5,1.0,1.0342304107980438,8,1.0,99.0,0.000123,0.0,8091.593393880209,0.0,16.917489,,1,0,0.783454,0.0,,,,
LRCX,LONG,0.6411938501300579,6.411938501300579,5.1,5.396,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,3.3,POSITIVE,trend_continuation,9937756.38,261.89,370.0,240.0,41.53,8.2,258206.0,260652.0,1.009,169263.0,142844.0,206751.0,94.7,0.69,2.12,0.18,0.21,1.4,0.66,0.53,4.3672337083023685,31,1.0,0.41061436311202076,1.7e-05,1.1e-05,7249.527873652886,24445.827342672383,3.624743,3.349703,9,3,0.623363,0.800678,,,,
CIFR,LONG,0.6024872538566831,6.024872538566831,3.93,5.4314,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned","continuation_pattern, room_to_target",6.2,POSITIVE,unknown,5953243.35,16.97,20.0,10.0,17.72,41.14,829309.0,436540.0,0.526,456084.0,175025.0,634740.0,45.6,1.087,1.78,0.5,0.0,0.0,0.65,1.0,32.30246932724701,5,1.0,19.2390998178541,0.000107,4e-06,12907.84225264334,2683.668648709794,2.567704,0.978482,0,0,0.152096,0.0,,,,
VSCO,LONG,0.5973581348682141,5.973581348682141,4.23,5.6958,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",7.2,NEUTRAL,ema_pullback,,,55.0,50.0,9.54,0.42,22070.0,11720.0,0.531,13309.0,6366.0,14115.0,57.0,0.679,0.0,0.76,1.0,1.2,1.25,0.01,1.1168866473369029e+17,4,1.0,99.0,8.8e-05,0.0,5.041102980744422,0.0,11.366577,,0,0,0.0,0.0,,,,
IBIT,LONG,0.593512514952854,5.93512514952854,0.0,3.5611,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.232625728259194,27,1.0,0.6441660362622621,2.4e-05,2e-05,7939.6326847938735,15406.805539731562,2.522885,0.180222,4,0,0.758917,0.711099,,,,
CAR,LONG,0.5875398791932928,5.875398791932928,0.0,3.5252,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5622401132413961,8,1.0,99.0,7.1e-05,0.0,15112.99728539651,0.0,20.260417,,2,0,0.816142,0.0,,,,
W,LONG,0.5842300999729213,5.842300999729213,0.0,3.5054,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,431682277.0894442,12,1.0,99.0,9.8e-05,0.00022,2.8589981301009096e-05,4.0283984573521065e-12,1.812352,2.286773,1,2,0.000136,0.250981,,,,
