ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio
PWR,LONG,0.515839908303749,5.158399083037491,3.47,4.2802,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",3.3,NEUTRAL,ema_pullback,,,700.0,540.0,4.74,19.2,15758.0,20984.0,1.332,14014.0,11680.0,11048.0,99.4,0.56,0.0,0.54,1.0,1.2,0.51,0.22,False,default,2.5,False,13,1.0,0.00035906094315655223,4.4e-05,2.7e-05,12.558696763460283,78697.13555970199,57.014991,47.4375,0,0,6e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.619191,0.492874,0.0,0.0,1.0,0.515839908303749,0.515839908303749,n/a,2026-07-02,2026-07-02,False,,,,
VSAT,LONG,0.5119131992512014,5.119131992512013,6.62,5.8056,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.3,NEUTRAL,trend_continuation,,,105.0,60.0,26.41,27.76,114596.0,58521.0,0.511,16867.0,77061.0,79189.0,87.6,0.931,1.99,0.68,1.0,1.4,1.42,0.14,False,sustained_trend,5.0,False,4,0.7,99.0,0.000654,0.000159,9.812034325072572e-13,5.485218737923248e-38,4.69826,566.833333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.228335,0.136637,0.0,0.0,1.0,0.5119131992512014,0.5119131992512014,n/a,2026-07-02,2026-07-02,False,,,,
ITT,LONG,0.5065163738543761,5.065163738543761,1.98,3.6066,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",2.4,NEUTRAL,unknown,,,190.0,185.0,1.71,0.96,4551.0,5871.0,1.29,9381.0,623.0,418.0,92.4,0.395,0.0,0.58,1.0,0.0,0.39,0.0,False,default,2.5,False,1,1.0,99.0,3.4e-05,0.0,1.1672045327571885e-45,0.0,8.426966,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.55878,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-02,2026-07-02,False,,,,
EQIX,LONG,0.4544347819678031,4.544347819678031,1.59,3.8492,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.5,NEUTRAL,unknown,,,1120.0,1000.0,11.77,0.2,3575.0,10707.0,2.995,2353.0,8945.0,2984.0,99.2,0.362,0.0,0.11,1.0,0.0,0.14,0.34,False,default,2.5,False,2,1.0,99.0,8e-06,4e-06,26978.453367357113,3.952992298740683e-36,17.2,49.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.647151,0.842842,0.0,0.0,1.0,0.4544347819678031,0.4544347819678031,n/a,2026-07-02,2026-07-02,False,,,,
ASTS,LONG,0.45405197982439044,4.5405197982439045,4.83,5.4793,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",8.8,NEGATIVE,support_ema_confluence,-1847768.96,85.24,100.0,70.0,17.47,17.77,869116.0,392451.0,0.452,484420.0,235166.0,541981.0,50.8,1.056,0.0,0.97,0.66,1.6,1.51,0.09,False,default,2.5,False,2,1.0,99.0,0.000377,0.0,2928461.689098099,0.0,5.031466,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.00012,0.0,0.526393,0.0,0.0,0.0,1.0,0.45405197982439044,0.45405197982439044,n/a,2026-07-02,2026-07-02,False,,,,
KWEB,LONG,0.450813188326497,4.50813188326497,3.65,4.3691,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",5.1,POSITIVE,unknown,44157799.75,24.98,35.0,24.0,40.06,3.96,2313198.0,792041.0,0.342,820346.0,1112888.0,1172005.0,81.1,0.347,0.0,0.74,1.0,0.0,1.7,0.21,False,default,2.5,False,4,1.0,99.0,0.001073,0.0,31921.271440585155,0.0,89.989373,,0,0,0.293801,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.1e-05,0.0,0.353287,0.0,0.0,0.0,1.0,0.450813188326497,0.450813188326497,n/a,2026-07-02,2026-07-02,False,,,,
MTSI,LONG,0.44872945991023167,4.4872945991023165,3.3,4.4536,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",6.1,NEUTRAL,ema_pullback,,,400.0,250.0,24.12,22.42,10182.0,4532.0,0.445,3605.0,8451.0,2658.0,97.7,0.825,0.0,0.29,1.0,1.2,0.25,0.56,False,default,2.5,False,3,1.0,99.0,8.2e-05,1e-05,5.264780993942803e-31,1.658079253546597e-36,18.470857,40.75,1,0,0.482903,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.25272,0.174674,0.0,0.0,1.0,0.44872945991023167,0.44872945991023167,n/a,2026-07-02,2026-07-02,False,,,,
SOXX,LONG,0.4293071310199777,4.293071310199777,4.98,4.8005,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.8,NEGATIVE,ema_pullback,-144922354.05,,700.0,500.0,23.61,11.71,130045.0,319416.0,2.456,268694.0,41712.0,139055.0,97.4,0.625,1.54,0.68,0.81,1.2,0.25,0.5,False,default,2.5,False,1,1.0,99.0,0.000124,0.0,3933782.997581855,0.0,6.205955,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.2e-05,0.0,0.101541,0.0,0.0,0.0,1.0,0.4293071310199777,0.4293071310199777,n/a,2026-07-02,2026-07-02,False,,,,
OKLO,LONG,0.4143981586442871,4.143981586442871,2.67,4.453,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",7.9,NEGATIVE,unknown,-3648910.86,,200.0,50.0,281.97,4.51,404547.0,258685.0,0.639,220290.0,105817.0,337125.0,22.5,0.903,0.0,0.65,1.0,0.0,0.83,0.2,False,default,2.5,False,1,0.7,99.0,6e-05,0.0,508423.0385365537,0.0,10.115385,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4.4e-05,0.0,0.795036,0.0,0.0,0.0,1.0,0.4143981586442871,0.4143981586442871,n/a,2026-07-02,2026-07-02,False,,,,
TER,LONG,0.4034215935632361,4.034215935632361,2.51,3.7501,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",4.9,NEUTRAL,ema_pullback,,,520.0,340.0,40.89,7.88,43214.0,35086.0,0.812,34747.0,15005.0,28548.0,100.0,1.092,0.0,0.48,0.37,1.2,0.11,0.35,False,default,2.5,False,7,1.0,99.0,3.8e-05,4e-06,8.816577618816044,6.2517686377827144e-15,31.672091,25.0,1,0,0.000203,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.147398,0.55377,0.0,0.0,1.0,0.4034215935632361,0.4034215935632361,n/a,2026-07-02,2026-07-02,False,,,,
