ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
FCEL,LONG,0.6964994530821067,6.964994530821067,6.58,6.8965,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, volume_capitulation_reversal",none,7.2,NEUTRAL,unknown,,,10.0,7.0,9.05,23.66,52514.0,14344.0,0.273,15354.0,25006.0,26498.0,63.7,1.124,1.83,0.06,1.0,1.4,1.29,1.0,1,1.0,99.0,0.001853,0.0,744454.5387413111,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.000119,0.0,0.073534,0.0,0.0,0.0,,,
LCID,LONG,0.42486670848864355,4.248667084886436,4.19,4.0413,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned,3.3,POSITIVE,unknown,72893.6,7.45,10.0,5.0,34.23,32.89,237541.0,292428.0,1.231,269047.0,60190.0,200732.0,98.9,1.077,0.0,0.15,1.0,1.4,0.64,1.0,1,1.0,99.0,0.000255,0.0,42242.797063642305,0.0,82.306931,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3e-06,0.0,0.16589,0.0,0.0,0.0,,,
PTON,LONG,0.3976898605190404,3.976898605190404,6.71,4.9014,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.5,POSITIVE,trend_continuation,1381215.02,5.0,10.0,3.0,100.2,39.94,551247.0,207788.0,0.377,139576.0,249158.0,370301.0,97.3,0.971,2.63,0.48,1.0,1.4,0.87,0.33,1,1.0,99.0,0.000264,0.0,1.0396311929874108e-28,0.0,3.887723,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.585488,0.0,0.0,0.0,,,
IWM,LONG,0.35200540080877146,3.5200540080877145,0.0,2.112,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,1.4655233362543278,1.7e-05,1.3e-05,311146.69947023067,849243.9302003284,23.641631,0,1,0.599104,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7e-06,5e-06,0.445784,0.432526,0.0,0.0,8.695279,,
APLD,LONG,0.3399091749532405,3.3990917495324053,6.69,4.6065,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.5,POSITIVE,trend_continuation,5851765.29,31.97,33.0,25.0,3.22,21.8,502624.0,214918.0,0.428,215126.0,154129.0,348287.0,55.5,1.119,1.68,0.54,1.0,1.4,1.08,0.98,4,1.0,1.0156768740688138e-08,0.000291,0.000166,0.003063053551447982,301577.5616882319,7.89487,2,0,0.0,0.085222,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.9e-05,0.410047,0.594915,0.0,0.0,5.97567,,
STX,LONG,0.33603746406122476,3.3603746406122474,6.02,4.4262,price_validation_failed,"confirmation_volume, momentum_aligned, trend_aligned, trend_continuation","not_extended, room_to_target",4.7,NEUTRAL,trend_continuation,,,600.0,200.0,9.46,63.51,69859.0,79691.0,1.141,40631.0,28565.0,80354.0,98.6,0.839,2.43,0.0,0.0,1.4,1.78,0.4,5,1.0,0.0004570315829312374,3.5e-05,8e-06,0.0017326997208406008,5.6868051975566445,4.099745,1,0,3.3e-05,0.48894,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.094002,0.55101,0.0,0.0,118.75,,
INTC,LONG,0.32519617133390777,3.2519617133390777,6.06,4.104,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,3.3,POSITIVE,trend_continuation,3228748.29,66.66,70.0,35.0,4.99,47.5,2511964.0,2384278.0,0.949,1041841.0,1426321.0,2428080.0,95.5,0.748,2.82,0.0,0.26,1.4,1.02,0.56,4,1.0,0.00015463950760776277,8e-06,4e-06,0.001839787174711819,11.897264826905484,45.522396,1,0,0.124095,0.39683,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.587319,0.076291,0.0,0.0,22.784014,,
HPE,LONG,0.3000957548778772,3.0009575487787723,7.21,4.2235,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,2.8,POSITIVE,trend_continuation,3604413.85,,30.0,17.0,3.54,41.33,171064.0,153191.0,0.896,82086.0,76057.0,166112.0,89.0,0.547,2.28,0.0,1.0,1.4,1.76,0.78,1,1.0,99.0,2.2e-05,0.0,1.0374216969684267e-17,0.0,1.872422,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.492039,0.0,0.0,0.0,,,
CRCL,LONG,0.29322728477195026,2.932272847719503,0.0,1.7594,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,14.084415558549313,3e-05,2.2e-05,0.002242382125637944,0.00015921016504492487,6.093117,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.852464,0.546425,0.0,0.0,5.478417,,
NOW,LONG,0.2801767147266004,2.8017671472660037,5.86,3.9189,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,3.8,POSITIVE,support_ema_confluence,547726.71,102.66,120.0,85.0,16.83,17.24,538530.0,422667.0,0.785,279551.0,210199.0,471447.0,96.6,0.67,0.0,0.67,1.0,1.6,1.77,0.82,2,1.0,2.24607293323679e-06,5e-06,2e-06,2.95007341461773e-08,0.013134361627190854,12.770667,0,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.047215,0.774521,0.0,0.0,1.258303,,
