ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
PWR,LONG,0.6180854945260792,6.180854945260792,0.0,3.7085,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,16,1.0,0.5881345658551201,5.3e-05,4.1e-05,0.0011416333415795001,0.0032351817873505946,21.648377,5.418333,0,1,1.9e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.45148,0.418218,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
PVH,LONG,0.521516373854376,5.21516373854376,2.32,4.4436,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",5.7,NEGATIVE,unknown,-246418.67,77.21,90.0,50.0,16.84,35.09,7377.0,24427.0,3.311,23717.0,0.0,8087.0,94.3,0.612,1,1.0,99.0,0.000286,0.0,3.08464261192958e-67,0.0,34.333333,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.459326,0.0,0.0,0.0,False,0.0,0.49,1.0,0.0,0.64,0.19,False,default,2.5,False,1.0,0.521516373854376,0.521516373854376,n/a,2026-08-24,2026-08-24,,,,
GFS,LONG,0.5084801342590993,5.0848013425909935,1.63,4.6514,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",8.1,NEGATIVE,unknown,-1138413.55,,55.0,45.0,19.7,2.07,44200.0,58422.0,1.322,16915.0,30685.0,55022.0,33.5,0.579,2,1.0,99.0,8.7e-05,0.0,4.2562582053348456e-29,0.0,16.062134,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.333085,0.0,0.0,0.0,False,0.0,0.26,1.0,0.0,0.16,0.21,False,default,2.5,False,1.0,0.5084801342590993,0.5084801342590993,n/a,2026-08-24,2026-08-24,,,,
NAMS,LONG,0.5065163738543761,5.065163738543761,3.54,4.7546,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",5.8,NEGATIVE,ema_pullback,-275628.84,26.83,35.0,25.0,30.35,6.89,5137.0,19392.0,3.775,5144.0,58.0,19327.0,89.8,0.904,1,1.0,99.0,0.000165,0.0,2.4161248266537932e-08,0.0,2.792287,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.801354,0.0,0.0,0.0,False,0.0,0.62,1.0,1.2,0.36,0.37,False,default,2.5,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-24,2026-08-24,,,,
KRE,LONG,0.5065163738543761,5.065163738543761,3.14,4.9146,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",7.2,NEGATIVE,ema_pullback,-52260172.74,,80.0,65.0,7.01,13.06,581922.0,1167729.0,2.007,438450.0,448205.0,862996.0,14.1,0.232,1,1.0,99.0,0.003009,0.0,9.308178202960196e-17,0.0,5.623862,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.451141,0.0,0.0,0.0,False,0.0,0.55,1.0,1.2,0.29,0.09,False,default,2.5,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-24,2026-08-24,,,,
DKS,LONG,0.4641312761679483,4.641312761679483,2.36,4.1887,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.8,NEGATIVE,unknown,-2149108.37,179.5,200.0,160.0,11.53,10.78,17070.0,22168.0,1.299,26245.0,2480.0,10513.0,91.6,0.553,1,1.0,99.0,5.5e-05,0.0,4.398450245462474e-24,0.0,127.290909,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.044698,0.0,0.0,0.0,False,0.0,0.05,1.0,0.0,0.31,1.0,False,default,2.5,False,1.0,0.4641312761679483,0.4641312761679483,n/a,2026-08-24,2026-08-24,,,,
NVMI,LONG,0.456907395681732,4.56907395681732,2.01,4.6675,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",8.9,NEGATIVE,unknown,-478255.01,,580.0,350.0,59.89,3.51,6391.0,5239.0,0.82,2049.0,5153.0,4428.0,30.8,0.605,1,0.7,99.0,5.7e-05,0.0,339640.51295916946,0.0,87.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.2e-05,0.0,0.784665,0.0,0.0,0.0,False,0.0,0.33,1.0,0.0,0.39,0.29,False,default,2.5,False,1.0,0.456907395681732,0.456907395681732,n/a,2026-08-24,2026-08-24,,,,
ABVX,LONG,0.45165411256390603,4.51654112563906,0.0,2.7099,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,1.4257604521223687e-62,0.000307,0.000226,2.3995031824092355e-61,25.244456516212445,10.020761,6.202083,1,0,0.441379,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558737,0.38698,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
TEAM,LONG,0.4066922475830254,4.066922475830254,6.21,4.7165,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.1,POSITIVE,trend_continuation,14908.0,171.4,200.0,130.0,16.73,24.12,99180.0,72155.0,0.728,70020.0,15864.0,85451.0,11.3,0.621,4,1.0,0.07318766155459551,5.4e-05,2.5e-05,1.6481374626752079,67.55800476474111,63.824916,20.307692,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53733,0.393092,0.0,0.0,False,2.99,0.39,0.1,1.4,1.32,0.0,False,sustained_trend,5.0,False,1.0,0.4066922475830254,0.4066922475830254,n/a,2026-08-24,2026-08-24,,,,
CMG,LONG,0.3973239368329549,3.973239368329549,6.84,4.9986,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.8,POSITIVE,trend_continuation,7120198.75,,40.0,29.0,5.21,23.72,420713.0,310654.0,0.738,305988.0,11616.0,413763.0,18.8,0.353,2,1.0,99.0,4.6e-05,0.0,0.11125377068196927,0.0,2.148266,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.265183,0.0,0.0,0.0,False,1.7,0.5,1.0,1.4,1.96,0.27,False,sustained_trend,5.0,False,1.0,0.3973239368329549,0.3973239368329549,n/a,2026-08-24,2026-08-24,,,,
