ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
CAH,SHORT,0.3153205750619074,3.1532057506190743,4.8,3.8566,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.2,POSITIVE,trend_continuation,126937.74,229.94,240.0,210.0,4.38,8.67,19942.0,15027.0,0.754,11123.0,1254.0,22592.0,17.3,0.255,1,1.0,0.0,0.0,5e-06,0.0,1.485102196910124e-67,,1.067114,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.602937,0.0,0.0,,0.0,0.82,1.0,1.4,1.57,0.0,False,default,2.5,False,1.0,0.3153205750619074,0.3153205750619074,n/a,2026-08-24,2026-08-24,,,,
KTOS,SHORT,0.2667208599633548,2.667208599633548,5.12,3.6096,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",3.7,POSITIVE,retest_and_confirm,137677.11,53.8,60.0,40.0,11.52,25.65,62122.0,36774.0,0.592,26115.0,20592.0,52189.0,9.4,0.617,1,0.7,0.0,0.0,4.6e-05,0.0,4.753820488460329e-19,,1.775801,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.626032,0.0,0.0,,0.0,0.64,1.0,1.4,1.96,0.13,False,default,2.5,False,1.0,0.2667208599633548,0.2667208599633548,n/a,2026-08-24,2026-08-24,,,,
DHR,SHORT,0.18163367445320486,1.8163367445320486,3.3,3.0182,watchlist_reeval_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",5.6,POSITIVE,trend_continuation,11903594.78,215.59,240.0,180.0,11.42,16.44,37245.0,27091.0,0.727,25001.0,7269.0,32066.0,51.4,0.312,1,1.0,0.0,0.0,2e-06,0.0,3.341428807311068e-37,,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.465488,0.0,0.0,,0.0,0.4,1.0,1.4,0.5,0.0,False,default,2.5,False,1.0,0.18163367445320486,0.18163367445320486,n/a,2026-08-24,2026-08-24,,,,
EME,LONG,0.4613690502259985,4.613690502259985,1.68,4.5908,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",8.9,NEGATIVE,unknown,-55652.7,765.04,900.0,760.0,17.63,0.67,3510.0,1927.0,0.549,860.0,1168.0,3409.0,22.6,0.378,1,0.7,99.0,1.7e-05,0.0,460419.4578407387,0.0,1.3,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8e-06,0.0,0.600411,0.0,0.0,0.0,,0.0,0.53,1.0,0.0,0.15,0.0,False,default,2.5,False,1.0,0.4613690502259985,0.4613690502259985,n/a,2026-08-24,2026-08-24,,,,
PYPL,LONG,0.27422934566091833,2.7422934566091834,6.13,4.1301,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.6,POSITIVE,trend_continuation,37010324.95,61.78,70.0,50.0,13.3,19.07,1296295.0,473830.0,0.366,314587.0,130904.0,1324634.0,11.0,0.297,1,1.0,99.0,1.6e-05,0.0,6.9196615130058765e-25,0.0,2.655272,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.263877,0.0,0.0,0.0,,2.7,0.66,0.05,1.4,1.32,0.01,False,sustained_trend,5.0,False,1.0,0.27422934566091833,0.27422934566091833,n/a,2026-08-24,2026-08-24,,,,
CIFR,LONG,0.24055839076316074,2.4055839076316072,3.12,3.3988,watchlist_reeval_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.3,POSITIVE,bounce_and_fail,2740571.62,15.45,20.0,15.0,29.49,2.88,1032509.0,437658.0,0.424,513834.0,307210.0,649123.0,38.8,1.048,1,0.7,99.0,0.000103,0.0,142.19020771960717,0.0,4.451049,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.503976,0.0,0.0,0.0,,0.0,0.53,1.0,1.0,0.33,0.25,False,default,2.5,False,1.0,0.24055839076316074,0.24055839076316074,n/a,2026-08-24,2026-08-24,,,,
PLTR,SHORT,0.3415055030051156,3.415055030051156,3.38,3.6615,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.7,POSITIVE,trend_continuation,132379046.89,,200.0,100.0,12.42,43.79,1707293.0,1718675.0,1.007,831726.0,416668.0,2177574.0,16.8,0.472,5,0.7,0.0,0.0,1.7e-05,0.0,1.4831686009689532e-06,,11.74635,0,0,0.0,0.703935,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.57864,0.0,0.0,,0.0,0.24,1.0,1.4,0.72,0.03,False,default,2.5,False,1.0,0.3415055030051156,0.3415055030051156,n/a,2026-08-24,2026-08-24,,,,
KWEB,SHORT,0.2649130072589223,2.649130072589223,5.41,4.2076,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.3,NEGATIVE,trend_continuation,-5418238.38,,30.0,25.0,14.35,4.71,1605179.0,743986.0,0.463,913291.0,223132.0,1212742.0,28.8,0.298,1,0.7,0.0,0.0,7.7e-05,0.0,1.043713666832049e-09,,3.181639,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.57331,0.0,0.0,,1.64,0.28,0.0,1.4,1.92,0.17,False,default,2.5,False,1.0,0.2649130072589223,0.2649130072589223,n/a,2026-08-24,2026-08-24,,,,
CRWD,SHORT,0.25226511749269,2.5226511749269,4.8,3.4013,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",3.5,POSITIVE,trend_continuation,11595680.18,189.64,200.0,87.5,5.37,53.9,593271.0,577853.0,0.974,263272.0,120955.0,786897.0,84.6,0.621,2,0.7,0.0,0.0,4e-06,0.0,0.01676989884428229,,1.597332,0,1,0.0,0.058944,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.454633,0.0,0.0,,0.0,0.43,1.0,1.4,1.81,0.16,False,default,2.5,False,1.0,0.25226511749269,0.25226511749269,n/a,2026-08-24,2026-08-24,,,,
WMT,SHORT,0.2161097084786914,2.161097084786914,5.47,3.9615,watchlist_reeval_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.2,NEGATIVE,ema_rally,-935711.02,105.26,120.0,100.0,13.99,5.01,678885.0,468693.0,0.69,432985.0,149131.0,565462.0,10.1,0.223,1,0.7,0.0,0.0,1e-06,0.0,1.3586570812443071e-40,,2.721973,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.5241,0.0,0.0,,1.84,0.19,0.23,1.2,1.58,0.43,False,default,2.5,False,1.0,0.2161097084786914,0.2161097084786914,n/a,2026-08-24,2026-08-24,,,,
