ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
MRNA,LONG,0.6912954830524797,6.9129548305247965,7.19,6.2735,poor_rr (1.7:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,3.3,POSITIVE,trend_continuation,12672554.18,,200.0,50.0,29.9,67.52,349881.0,540318.0,1.544,350042.0,119604.0,420553.0,96.0,0.965,2.9,0.22,0.4,1.4,1.27,1.0,False,sustained_trend,5.0,False,153.96,135.48,185.37,1.7,9,1.0,99.0,0.000236,2.1e-05,64213.08190739195,19.907225402007274,21.49162,13.398148,4,1,0.560012,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.315542,0.077846,0.0,0.0,1.0,0.6912954830524797,0.6912954830524797,n/a,2026-08-25,2026-08-25,False
PVH,LONG,0.521516373854376,5.21516373854376,1.99,4.5246,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",6.6,NEGATIVE,unknown,-401278.34,75.33,110.0,50.0,46.02,33.63,9325.0,24850.0,2.665,25602.0,106.0,8467.0,69.1,0.504,0.0,0.34,1.0,0.0,0.28,0.37,False,default,2.5,False,,,,,1,1.0,99.0,0.000292,0.0,4.196715096929598e-68,0.0,34.333333,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.459326,0.0,0.0,0.0,1.0,0.521516373854376,0.521516373854376,n/a,2026-08-25,2026-08-25,False
GFS,LONG,0.5111705170482155,5.111705170482155,1.89,4.8029,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",8.4,NEGATIVE,unknown,-1145437.58,,55.0,45.0,19.67,2.09,43677.0,58561.0,1.341,17433.0,29310.0,55495.0,34.3,0.581,0.0,0.3,1.0,0.0,0.18,0.41,False,default,2.5,False,,,,,2,1.0,99.0,9.1e-05,0.0,5.790720454187746e-30,0.0,16.062134,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.333085,0.0,0.0,0.0,1.0,0.5111705170482155,0.5111705170482155,n/a,2026-08-25,2026-08-25,False
NAMS,LONG,0.5065163738543761,5.065163738543761,4.47,5.1136,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,6.2,NEGATIVE,ema_pullback,-283067.46,27.72,35.0,25.0,26.38,9.73,5411.0,19408.0,3.587,5217.0,259.0,19343.0,90.1,0.908,0.0,0.88,1.0,1.2,0.98,0.42,False,default,2.5,False,,,,,1,1.0,99.0,0.000171,0.0,3.287183901587144e-09,0.0,2.792287,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.801354,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-25,2026-08-25,False
KRE,LONG,0.5065163738543761,5.065163738543761,3.21,5.1356,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",8.2,NEGATIVE,ema_pullback,-57499266.22,,80.0,65.0,7.65,12.53,591273.0,1174118.0,1.986,448143.0,450185.0,867063.0,25.2,0.24,0.0,0.44,1.0,1.2,0.04,0.53,False,default,2.5,False,,,,,1,1.0,99.0,0.002932,0.0,1.2663953949867671e-17,0.0,5.623862,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.451141,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-25,2026-08-25,False
ABVX,LONG,0.4540264871102567,4.5402648711025675,0.0,2.7242,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,1.4257604521223642e-62,0.000304,0.000223,3.2645698376216177e-62,3.4345564496076793,10.020761,6.202083,1,0,0.441379,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558737,0.38698,0.0,0.0,,,,,,,False
TEAM,LONG,0.4068048731497627,4.068048731497627,6.03,4.603,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,3.8,POSITIVE,trend_continuation,5473873.7,168.64,200.0,130.0,18.48,22.99,100987.0,74362.0,0.736,72780.0,16190.0,86379.0,8.1,0.595,2.97,0.49,0.23,1.4,0.89,0.04,False,sustained_trend,5.0,False,,,,,4,1.0,0.07318766155459538,5.4e-05,2.5e-05,0.22423224475582704,9.191395379748174,63.824916,20.307692,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53733,0.393092,0.0,0.0,1.0,0.4068048731497627,0.4068048731497627,n/a,2026-08-25,2026-08-25,False
XLI,LONG,0.3892376789211025,3.892376789211025,3.3,4.2962,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",6.8,NEGATIVE,ema_pullback,-299956.27,178.86,195.0,170.0,9.03,4.95,142643.0,411880.0,2.887,265595.0,147808.0,141120.0,21.7,0.174,0.0,0.45,1.0,1.2,0.16,0.48,False,default,2.5,False,,,,,1,0.7,99.0,6.3e-05,0.0,6.477557172077656e-09,0.0,4.647305,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.397079,0.0,0.0,0.0,1.0,0.3892376789211025,0.3892376789211025,n/a,2026-08-25,2026-08-25,False
COST,LONG,0.3686206522041254,3.6862065220412537,4.25,3.7381,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",3.1,POSITIVE,support_ema_confluence,12688845.78,965.01,1000.0,900.0,3.62,6.74,161827.0,178980.0,1.106,185408.0,41090.0,114309.0,67.0,0.234,0.0,0.74,0.38,1.6,1.48,0.04,False,default,2.5,False,,,,,7,1.0,1.1680896739814617e-07,1.2e-05,3e-06,9.60272518626469e-10,0.02055220031509561,2.845185,3.238201,2,0,0.04091,0.080698,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.415256,0.686156,0.0,0.0,1.0,0.3686206522041254,0.3686206522041254,n/a,2026-08-25,2026-08-25,False
FN,LONG,0.3359649728942384,3.359649728942384,1.94,3.9018,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",8.2,NEGATIVE,unknown,-578968.55,,450.0,400.0,5.24,6.45,12486.0,10333.0,0.828,7286.0,7472.0,8061.0,15.8,0.635,0.0,0.36,1.0,0.0,0.33,0.25,False,default,2.5,False,,,,,3,1.0,99.0,3.4e-05,1.7e-05,1.3117821572729587e-19,1.3983525752068303e-38,1.549911,84.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.534261,0.541302,0.0,0.0,1.0,0.3359649728942384,0.3359649728942384,n/a,2026-08-25,2026-08-25,False
HUM,LONG,0.3224570764495092,3.224570764495092,6.29,4.8993,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.0,NEGATIVE,trend_continuation,-180944.13,383.83,400.0,220.0,4.21,42.68,66482.0,54012.0,0.812,25922.0,22453.0,72119.0,52.5,0.493,1.54,0.97,1.0,1.4,1.34,0.04,False,sustained_trend,5.0,False,,,,,2,1.0,99.0,1.2e-05,0.0,18427.40300969327,0.0,1.452499,,0,0,0.448502,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.487582,0.0,0.0,0.0,1.0,0.3224570764495092,0.3224570764495092,n/a,2026-08-25,2026-08-25,False
ADBE,LONG,0.31849544187656614,3.1849544187656615,0.0,1.911,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,0.04214953294353291,1.9e-05,8.5e-05,2.914504900541066e-17,6.914678994060467e-16,1.8774,34.334119,0,1,0.325955,0.145067,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.182471,0.121385,0.0,0.0,,,,,,,False
NVTS,LONG,0.30869312595881165,3.0869312595881166,0.0,1.8522,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,0.000311,0.000219,2.717056394516154,4.884180585953999e-25,1453.396714,3.585259,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.449381,0.055534,0.0,0.0,,,,,,,False
