ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
LRCX,LONG,0.3639442605758665,3.639442605758665,0.0,2.1837,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,26.159275279919143,12.0,1.0,0.10435223272332668,0.000364,0.000363,4647.689894915897,44538.48062109516,0.137301,0.830124,2.0,1.0,0.482415,0.440237
CNR,LONG,0.3610768287007037,3.610768287007037,0.0,2.1665,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,194365.36194393277,2.0,1.0,1.0289899290681877e-05,0.001617,0.001784,0.14924074832270218,14503.616032262693,0.75188,2.926984,0.0,0.0,0.0,0.0
CEG,LONG,0.3549262333516663,3.549262333516663,0.0,2.1296,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.64,0.0,0.0,0.0,0.0,117109.91171391746,6.0,1.0,99.0,0.000599,8.8e-05,239.93042679967579,0.0052883082774857,0.412991,0.083333,2.0,0.0,1.9e-05,0.0
BE,SHORT,0.736733739368946,7.367337393689461,5.66,7.0417,price_validation_failed,"momentum_aligned, not_extended, room_to_target, structural_breakdown","confirmation_volume, trend_aligned",8.3,NEGATIVE,structural_breakdown,-4302107.63,,200.0,80.0,37.98,44.81,326286.0,279712.0,0.857,148526.0,234477.0,222995.0,0.0,0.85,1.0,2.0,1.5,0.31,63.182943462144834,9.0,1.0,0.15370821730940687,0.000305,0.00428,31230.74116153121,162545.590382668,0.133186,2.103056,0.0,0.0,0.118562,0.483561
IBIT,SHORT,0.6457231644683127,6.457231644683127,6.54,6.9106,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,8.6,NEGATIVE,retest_and_confirm,-52800949.46,39.22,45.0,35.0,14.66,10.82,3471898.0,2372254.0,0.683,1235980.0,1935843.0,2672329.0,1.62,0.72,0.78,1.4,1.77,0.26,8.906873289672365,23.0,1.0,1.32624543575781,0.000259,0.00049,31691.164084122676,21904.11590534897,0.22455,7.28867,1.0,1.0,0.772023,0.655115
CRM,SHORT,0.6091993337802504,6.091993337802504,5.94,6.208,price_validation_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume,6.9,NEGATIVE,resistance_ema_confluence,-42565342.71,,220.0,180.0,19.65,2.11,372603.0,320641.0,0.861,159571.0,204209.0,329464.0,1.62,0.32,0.26,1.6,1.88,0.26,5.873327880625408,19.0,1.0,1.1442162603861128,0.000132,0.000841,41138.773791364496,12840.596415089998,0.283642,0.606923,2.0,10.0,0.507235,0.728507
ADBE,SHORT,0.5863302042399338,5.863302042399337,0.0,3.518,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30815.877967313118,19.0,1.0,0.1848978033517613,0.000443,0.00119,10969.036155309186,43145.35216542296,0.248709,0.279046,1.0,1.0,0.386043,0.692297
GLNG,SHORT,0.581683621299131,5.81683621299131,0.0,3.4901,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,7399.699624139581,13.0,1.0,99.0,0.003246,0.002122,11348.007317603046,0.6216481609324148,16.678867,0.874732,2.0,4.0,0.000102,0.827428
PEG,SHORT,0.5773438061093162,5.773438061093162,0.0,3.4641,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,26967349.820369896,2.0,1.0,3.708187888913897e-08,0.0005,0.000642,0.004960174545880403,133762.7621488512,530.4,29.619048,0.0,1.0,0.0,0.0
RBLX,SHORT,0.5675285618382067,5.675285618382066,0.0,3.4052,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,8263.685514229473,12.0,1.0,99.0,0.003385,0.003986,1425.7385007566713,0.17382429921977222,12.345711,0.910667,1.0,0.0,0.488153,0.812802
