ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
KORU,LONG,0.9386482190069231,9.38648219006923,6.05,7.5482,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",5.2,NEUTRAL,trend_continuation,,,700.0,335.0,28.97,38.28,4950.0,11436.0,2.31,9712.0,4419.0,2255.0,76.5,1.513,1.97,0.0,0.72,1.4,1.93,0.03,11,1.0,99.0,0.004747,0.0,215823.85030530964,0.0,170.694444,10,0,0.652674,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.001205,0.0,0.757238,0.0,0.0,0.0,,,,,,,
FCEL,LONG,0.6964994530821067,6.964994530821067,0.0,4.179,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001689,0.0,27328.094361912008,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4e-06,0.0,0.076847,0.0,0.0,0.0,,,,,,,
SMMT,LONG,0.6080383039953237,6.080383039953237,7.08,6.0242,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.3,NEUTRAL,trend_continuation,,,25.0,20.0,1.71,18.63,43332.0,30631.0,0.707,19730.0,28746.0,25487.0,68.4,0.991,2.89,0.0,0.96,1.4,0.83,1.0,1,1.0,99.0,4.9e-05,0.0,535158.145639531,0.0,21.771014,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1e-05,0.0,0.381442,0.0,0.0,0.0,,,,,,,
AXTI,LONG,0.528945562896362,5.289455628963619,7.38,5.6987,poor_rr (1.7:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.2,POSITIVE,trend_continuation,1467817.15,,105.0,45.0,20.77,48.24,182387.0,69650.0,0.382,118179.0,33396.0,100462.0,97.1,2.025,2.51,0.29,1.0,1.4,1.8,0.38,9,1.0,99.0,0.002645,0.0,23238.20758894676,0.0,327.333333,1,0,0.004609,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9e-06,0.0,0.177103,0.0,0.0,0.0,86.94,76.51,104.68,1.7,,,
SYF,LONG,0.5051813494761042,5.051813494761042,6.72,5.4419,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.5,NEUTRAL,trend_continuation,,,80.0,60.0,1.65,23.76,22409.0,40298.0,1.798,27909.0,16682.0,18116.0,40.3,0.337,2.41,0.0,1.0,1.4,1.42,0.49,1,1.0,99.0,1.9e-05,0.0,0.00010467745304276648,0.0,1666.666667,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.326893,0.0,0.0,0.0,,,,,,,
NVTS,LONG,0.5043925380412415,5.043925380412415,0.0,3.0264,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.000225,0.0,658262.1190646735,0.0,4.884892,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.8e-05,0.0,0.417933,0.0,0.0,0.0,,,,,,,
CRCL,LONG,0.4739353788459687,4.739353788459687,6.32,5.0657,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,4.0,POSITIVE,retest_and_confirm,6551981.32,104.61,120.0,100.0,14.97,4.19,381766.0,277327.0,0.726,215442.0,152788.0,290863.0,90.3,0.978,1.72,0.79,1.0,1.4,1.11,0.3,5,1.0,99.0,0.000199,2.5e-05,524619.1969313701,5.844427278366291e-06,8.857671,2,0,0.281338,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.8e-05,0.0,0.714855,0.546425,0.0,0.0,,,,,5.478417,,
SATS,LONG,0.3753598447001124,3.7535984470011243,5.37,4.5278,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,5.2,POSITIVE,trend_continuation,6133226.45,122.39,150.0,100.0,22.59,18.27,322252.0,147431.0,0.458,81623.0,201305.0,186755.0,80.1,0.666,1.8,0.86,0.65,1.4,0.3,0.35,3,1.0,8.536101779553882e-09,0.000257,0.0001,2.4017277035343932e-28,5.62722368022166e-20,2.79202,0,0,0.477696,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.236975,0.063842,0.0,0.0,,,,,1.587619,,
INTU,LONG,0.3698898383758582,3.698898383758582,4.94,4.3314,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.0,NEUTRAL,trend_continuation,,,500.0,300.0,22.35,26.59,63196.0,53270.0,0.843,32881.0,31970.0,51615.0,91.8,0.584,0.0,0.85,1.0,1.4,1.38,0.31,2,1.0,99.0,1.1e-05,0.0,5.490223973289739e-29,0.0,12.492674,1,0,0.480327,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.512492,0.0,0.0,0.0,,,,,,,
MRVL,LONG,0.36168938305262793,3.6168938305262794,0.0,2.1701,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,1.4e-05,0.0,1364827.7473674717,0.0,287.4,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7e-06,0.0,0.706258,0.0,0.0,0.0,,,,,,,
ANET,LONG,0.3522725273817182,3.522725273817182,0.0,2.1136,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,99.0,1.6e-05,0.0,8379.9833904954,0.0,2.430199,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.201858,0.0,0.0,0.0,,,,,,,
VMI,LONG,0.3414994530821066,3.4149945308210663,5.69,4.1745,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,3.8,NEUTRAL,trend_continuation,,,470.0,400.0,0.7,14.3,828.0,593.0,0.716,875.0,281.0,265.0,57.8,0.312,1.83,0.0,0.26,1.4,1.8,0.41,1,1.0,99.0,9.8e-05,0.0,0.00011760282963249626,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.785622,0.0,0.0,0.0,,,,,,,
IWM,LONG,0.33750417896713325,3.3750417896713323,0.0,2.025,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,1.465523336254329,1.8e-05,1.3e-05,11421.847703281517,31174.79584453196,23.641631,0,1,0.599104,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.442457,0.430218,0.0,0.0,,,,,8.695279,,
