ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
COKE,LONG,0.5118501934879207,5.118501934879207,4.62,4.9053,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.8,NEUTRAL,trend_continuation,,,190.0,170.0,5.02,6.03,2309.0,5471.0,2.369,3838.0,3101.0,841.0,95.2,0.494,0.0,0.97,1.0,1.4,1.25,0.01,False,default,2.5,False,1,1.0,99.0,3.7e-05,0.0,18259.391117331757,0.0,30.03125,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.37493,0.0,0.0,0.0,1.0,0.5118501934879207,0.5118501934879207,n/a,2026-07-17,2026-07-17,False,
ALKS,LONG,0.5065163738543761,5.065163738543761,6.13,5.4916,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.6,NEUTRAL,ema_pullback,,,55.0,41.0,5.19,21.58,14448.0,10100.0,0.699,4386.0,12653.0,7509.0,87.3,0.567,2.5,0.72,0.52,1.2,1.18,0.0,False,default,2.5,False,1,1.0,99.0,6.9e-05,0.0,2.268677492752882e-33,0.0,130.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.46261,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-17,2026-07-17,False,
VSH,LONG,0.49528514657932415,4.952851465793241,3.22,4.5224,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.4,NEUTRAL,bounce_and_fail,,,65.0,35.0,71.75,7.52,68809.0,67285.0,0.978,47342.0,14146.0,74606.0,84.4,1.118,0.0,0.3,1.0,1.0,0.83,0.09,False,default,2.5,False,1,1.0,99.0,0.00152,0.0,588291.2657006441,0.0,168.6,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000931,0.0,0.697389,0.0,0.0,0.0,1.0,0.49528514657932415,0.49528514657932415,n/a,2026-07-17,2026-07-17,False,
PBR,LONG,0.48898090920690424,4.889809092069043,4.4,4.7649,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.0,POSITIVE,trend_continuation,1909111.38,17.83,20.0,10.0,12.11,43.95,984333.0,991766.0,1.008,209153.0,603060.0,1163886.0,70.5,0.377,0.0,0.54,1.0,1.4,1.11,0.34,False,default,2.5,False,3,1.0,99.0,1.9e-05,0.0,98635.18386232194,0.0,3.811953,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.311561,0.0,0.0,0.0,1.0,0.48898090920690424,0.48898090920690424,n/a,2026-07-17,2026-07-17,False,
RMD,LONG,0.48108330593401855,4.810833059340186,4.66,4.7034,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.5,NEUTRAL,trend_continuation,,,220.0,195.0,10.29,2.25,6527.0,14370.0,2.202,7790.0,6472.0,6635.0,90.9,0.394,0.0,0.91,1.0,1.4,1.35,0.0,False,default,2.5,False,1,1.0,99.0,1e-05,0.0,0.0008729722056212793,0.0,66.75,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.325121,0.0,0.0,0.0,1.0,0.48108330593401855,0.48108330593401855,n/a,2026-07-17,2026-07-17,False,
SIMO,LONG,0.4509818753135814,4.509818753135814,0.0,2.7059,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,9,1.0,0.8287434491025308,0.0002,0.000253,110021.16953907128,106205.28672241452,25.220474,0,1,0.170765,0.353116,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.8e-05,2.9e-05,0.380813,0.497143,0.0,0.0,,,,,,,False,18.638157
BE,LONG,0.4498081581231934,4.498081581231935,0.0,2.6988,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,13,1.0,1.7747472528147235,0.000208,0.000233,100891.54307894793,48727.20065298734,11.583224,4,2,0.778405,0.726202,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,2e-06,0.308776,0.289835,0.0,0.0,,,,,,,False,7.617655
RKLB,LONG,0.416551972189265,4.16551972189265,3.22,4.4088,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,6.8,NEGATIVE,bounce_and_fail,-771467.72,70.55,110.0,60.0,56.01,14.91,674293.0,439719.0,0.652,319712.0,154853.0,639447.0,89.9,1.024,0.0,0.21,1.0,1.0,0.67,0.34,False,default,2.5,False,1,1.0,99.0,4.8e-05,0.0,1370558.7429234455,0.0,5.714026,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8e-06,0.0,0.217827,0.0,0.0,0.0,1.0,0.416551972189265,0.416551972189265,n/a,2026-07-17,2026-07-17,False,
INOD,LONG,0.40631971653000265,4.063197165300027,3.26,3.8896,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.4,NEUTRAL,bounce_and_fail,,,120.0,50.0,92.6,19.75,34031.0,34781.0,1.022,38946.0,9468.0,20398.0,93.3,1.143,0.0,0.32,1.0,1.0,0.76,0.19,False,default,2.5,False,2,1.0,99.0,0.000443,0.0,3.6718014507837595e-54,0.0,41.6,2,0,0.473029,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.607861,0.0,0.0,0.0,1.0,0.40631971653000265,0.40631971653000265,n/a,2026-07-17,2026-07-17,False,
DXYZ,LONG,0.39581547813175627,3.9581547813175626,0.0,2.3749,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,0.005645,0.006207,0.0001816808979431799,1.0507143100242877e-40,8.845815,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.635401,0.397718,0.0,0.0,,,,,,,False,11.386364
