ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
KORU,LONG,0.7302816766581302,7.3028167665813015,0.0,4.3817,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,18,1.0,0.032081120473732454,0.004031,0.003071,377.79138684394457,23552.25635920507,174.0,12,0,0.688886,0.784239,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,5e-05,0.561427,0.651335,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
CW,LONG,0.6557851673678209,6.557851673678209,7.04,6.4309,weak_relative_strength (-5.1% vs SPY),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,NEUTRAL,trend_continuation,,,870.0,690.0,17.11,7.12,1577.0,1341.0,0.85,1206.0,994.0,718.0,88.1,0.447,1,0.7,99.0,6.7e-05,0.0,1413596.4432991405,0.0,23.333333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.7e-05,0.0,0.521474,0.0,0.0,0.0,False,1.57,0.77,1.0,1.4,1.77,0.53,False,sustained_trend,5.0,False,1.0,0.6557851673678209,0.6557851673678209,n/a,2026-05-06,2026-05-06,,,,,
AXTI,LONG,0.5752358997029422,5.752358997029422,0.0,3.4514,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,7,1.0,99.0,0.00054,0.000711,229612.11200856432,5414.571986779588,14.679741,4,1,0.401768,0.263544,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8.1e-05,1e-06,0.423265,0.637231,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
EA,LONG,0.5533719731557905,5.5337197315579045,0.0,3.3202,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,0.7,0.2501533899372678,3.9e-05,6.6e-05,130464.85797428724,782309.1544372307,66.568771,0,0,0.48855,0.365672,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,8e-06,0.370254,0.243755,0.0,0.0,False,,,,,,,,,,,,,,,,,12.315271,,,,
BWA,LONG,0.5114994530821066,5.1149945308210665,6.94,5.1795,price_validation_failed,"confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,2.7,NEUTRAL,unknown,,,60.0,55.0,0.99,7.42,46401.0,11116.0,0.24,36128.0,12983.0,8406.0,86.5,0.425,1,1.0,99.0,6e-05,0.0,0.02179567663196603,0.0,833.333333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.173028,0.0,0.0,0.0,False,1.68,0.34,1.0,1.2,1.72,1.0,False,consolidation_break,3.0,False,1.0,0.5114994530821066,0.5114994530821066,n/a,2026-05-06,2026-05-06,,,,,
ORA,LONG,0.5114994530821066,5.1149945308210665,5.83,5.0465,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,3.7,NEUTRAL,trend_continuation,,,120.0,105.0,4.48,8.58,17814.0,8044.0,0.452,12219.0,8913.0,4726.0,98.0,0.439,1,1.0,99.0,9.2e-05,0.0,8.016542719404104e-23,0.0,20.689655,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.250847,0.0,0.0,0.0,False,1.6,0.88,0.0,1.4,1.22,0.72,False,sustained_trend,5.0,False,1.0,0.5114994530821066,0.5114994530821066,n/a,2026-05-06,2026-05-06,,,,,
WBD,LONG,0.5013407229233764,5.0134072292337635,4.95,5.5917,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,8.0,NEGATIVE,ema_pullback,-33609464.09,27.18,29.0,25.0,6.62,8.09,574377.0,1316991.0,2.293,151642.0,459693.0,1280033.0,22.8,0.163,2,0.7,99.0,5.6e-05,0.0,402.18357391193206,0.0,12.706656,0,0,1e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.350035,0.0,0.0,0.0,False,0.0,0.97,1.0,1.2,1.36,0.42,False,default,2.5,False,1.0,0.5013407229233764,0.5013407229233764,n/a,2026-05-06,2026-05-06,,,,,
MTSI,LONG,0.48578516736782085,4.8578516736782085,0.0,2.9147,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,0.7,1.2997093073093244,3.3e-05,2.5e-05,1186.718968244613,913.0649150319424,52.875,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.419099,0.445556,0.0,0.0,False,,,,,,,,,,,,,,,,,205.125,,,,
SGI,LONG,0.48578516736782085,4.8578516736782085,5.92,5.4449,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,6.2,NEUTRAL,flag_breakout,,,85.0,60.0,8.11,23.68,75873.0,2887.0,0.038,10315.0,50806.0,17639.0,98.8,0.641,1,0.7,99.0,0.000124,0.0,0.00441816525194608,0.0,1250.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.309492,0.0,0.0,0.0,False,0.0,0.86,1.0,1.6,1.71,0.75,False,default,2.5,False,1.0,0.48578516736782085,0.48578516736782085,n/a,2026-05-06,2026-05-06,,,,,
CMI,LONG,0.4846977583020506,4.8469775830205055,7.52,6.0395,poor_rr (1.0:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.8,NEUTRAL,trend_continuation,,,800.0,500.0,11.77,30.14,11676.0,9567.0,0.819,3118.0,9402.0,8723.0,66.8,0.357,1,1.0,99.0,2.3e-05,0.0,1.5681536584157845,0.0,3.187302,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342247,0.0,0.0,0.0,False,2.34,0.31,1.0,1.4,1.95,0.52,False,sustained_trend,5.0,False,1.0,0.4846977583020506,0.4846977583020506,n/a,2026-05-06,2026-05-06,,715.76,629.87,800.0,0.98
